,Name,link,Games Played,MinPerGame,FGPerGame,FGAPerGame,FG%PerGame,3pPerGame,3PAPerGame,3p%PerGame,2pPerGame,2pAPerGame,2p%PerGame,eFG%PerGame,FTPerGame,FTAPerGame,FT%PerGame,ORGPerGame,DRBPerGame,TotalRebPerGame,AstPerGame,StealPerGame,BlkPerGame,TOVPerGame,FoulsPerGame,PtsPerGame,FGPer100Poss,FGAPer100Poss,FG%Per100Poss,3pPer100Poss,3PAPer100Poss,3p%Per100Poss,2pPer100Poss,2pAPer100Poss,2p%Per100Poss,FTPer100Poss,FTAPer100Poss,FT%Per100Poss,ORGPer100Poss,DRBPer100Poss,TotalRebPer100Poss,AstPer100Poss,StealPer100Poss,BlkPer100Poss,TOVPer100Poss,FoulsPer100Poss,PtsPer100Poss,ORtg,DRtg,Year,League,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,MVPs,All-Star Games,All-NBA Teams
453,Anthony Cook,cookan01,116,12.9,1.4,3.3,0.439,0.0,0.1,0.0,1.4,3.2,0.446,0.439,0.7,1.4,0.524,1.5,2.2,3.7,0.3,0.4,0.8,0.6,1.2,3.6,4.9,11.1,0.439,0.0,0.2,0.0,4.9,10.9,0.446,2.5,4.8,0.524,5.0,7.5,12.6,1.0,1.3,2.7,1.9,4.1,12.3,100.0,112.0,Career,NBA,11.0,0.46399999999999997,0.016,0.434,10.4,18.5,14.1,2.8,1.2,3.4,12.8,12.8,0.2,0.9,1.0,0.033,-4.2,0.0,-4.2,-0.8,0,0,0
454,Brian Cook,cookbr01,421,13.4,2.2,4.9,0.439,0.6,1.6,0.382,1.6,3.3,0.467,0.502,0.5,0.7,0.7829999999999999,0.7,1.9,2.6,0.6,0.3,0.3,0.6,1.9,5.5,8.5,19.2,0.439,2.4,6.3,0.382,6.0,12.9,0.467,2.0,2.6,0.7829999999999999,2.8,7.5,10.3,2.3,1.2,1.2,2.3,7.3,21.4,105.0,107.0,Career,NBA,13.1,0.524,0.32899999999999996,0.135,6.3,16.4,11.4,7.5,1.2,1.8,10.2,19.7,4.8,5.3,10.2,0.086,-1.1,-1.3,-2.4,-0.6,0,0,0
455,Daequan Cook,cookda02,328,18.3,2.3,6.3,0.369,1.3,3.8,0.359,1.0,2.5,0.38299999999999995,0.47600000000000003,0.5,0.6,0.813,0.2,1.9,2.1,0.7,0.4,0.1,0.5,1.5,6.4,6.7,18.1,0.369,3.9,10.9,0.359,2.8,7.3,0.38299999999999995,1.4,1.7,0.813,0.7,5.5,6.2,2.1,1.1,0.4,1.6,4.2,18.6,100.0,110.0,Career,NBA,9.1,0.494,0.599,0.09300000000000001,1.5,12.2,6.9,6.6,1.1,0.6,7.6,18.0,0.6,4.3,4.9,0.039,-1.4,-2.2,-3.6,-2.4,0,0,0
456,Darwin Cook,cookda01,612,23.1,4.1,8.9,0.45299999999999996,0.1,0.5,0.196,4.0,8.5,0.467,0.45799999999999996,1.3,1.7,0.764,0.7,1.4,2.1,3.7,1.7,0.3,1.8,2.1,9.5,8.1,18.0,0.45299999999999996,0.2,0.9,0.196,8.0,17.1,0.467,2.6,3.5,0.764,1.4,2.9,4.3,7.4,3.4,0.7,3.7,4.3,19.1,100.0,104.0,Career,NBA,13.8,0.49,0.051,0.193,3.3,7.1,5.2,22.1,3.4,0.8,15.9,19.8,3.3,19.7,22.9,0.078,-0.9,0.7,-0.1,6.6,0,0,0
457,Jeff Cook,cookje01,518,18.7,2.1,4.5,0.462,0.0,0.0,0.055999999999999994,2.1,4.5,0.465,0.462,1.1,1.5,0.716,1.7,2.9,4.5,1.4,0.6,0.4,1.1,2.5,5.3,5.3,11.5,0.462,0.0,0.1,0.055999999999999994,5.3,11.4,0.465,2.7,3.8,0.716,4.2,7.2,11.4,3.4,1.5,1.0,2.8,6.4,13.3,104.0,104.0,Career,NBA,10.9,0.507,0.008,0.33399999999999996,9.9,16.9,13.4,9.5,1.5,1.3,17.4,13.6,4.9,12.8,17.7,0.08800000000000001,-1.8,1.5,-0.3,4.2,0,0,0
458,Omar Cook,cookom01,22,9.7,0.8,2.3,0.33299999999999996,0.0,0.2,0.0,0.8,2.1,0.37,0.33299999999999996,0.1,0.3,0.5,0.2,0.4,0.6,2.1,0.7,0.0,0.7,0.9,1.7,4.3,13.0,0.33299999999999996,0.0,1.3,0.0,4.3,11.7,0.37,0.8,1.5,0.5,1.3,2.0,3.3,11.7,4.1,0.3,4.1,5.1,9.4,85.0,105.0,Career,NBA,9.0,0.345,0.098,0.11800000000000001,2.7,4.4,3.5,33.6,4.1,0.3,23.0,15.2,-0.3,0.2,-0.1,-0.021,-4.7,-1.4,-6.1,-0.2,0,0,0
459,David Cooke,cookeda01,6,6.3,0.3,1.8,0.182,0.0,0.0,,0.3,1.8,0.182,0.182,0.8,1.7,0.5,0.8,0.8,1.7,0.2,0.7,0.0,0.3,0.8,1.5,2.5,13.6,0.182,0.0,0.0,,2.5,13.6,0.182,6.2,12.4,0.5,6.2,6.2,12.4,1.2,5.0,0.0,2.5,6.2,11.1,76.0,102.0,Career,NBA,6.7,0.292,0.0,0.909,15.0,14.8,14.9,3.1,5.0,0.0,11.5,18.5,-0.1,0.1,0.0,-0.043,-6.0,0.4,-5.6,0.0,0,0,0
460,Duane Cooper,coopedu01,88,8.9,0.9,2.3,0.402,0.1,0.4,0.21600000000000003,0.8,1.8,0.444,0.42200000000000004,0.4,0.6,0.72,0.2,0.5,0.7,2.0,0.2,0.0,1.0,0.9,2.3,5.1,12.7,0.402,0.5,2.4,0.21600000000000003,4.6,10.3,0.444,2.3,3.2,0.72,1.0,2.8,3.8,11.4,1.3,0.1,5.7,5.0,13.0,89.0,113.0,Career,NBA,7.7,0.462,0.18600000000000003,0.251,2.2,6.5,4.3,30.9,1.3,0.2,28.7,16.9,-0.9,0.3,-0.5,-0.032,-5.0,-3.6,-8.6,-1.3,0,0,0
461,Joe Cooper,coopejo01,24,16.2,1.9,3.7,0.506,0.0,0.0,,1.9,3.7,0.506,0.506,0.8,1.5,0.5429999999999999,1.9,2.1,4.0,0.8,0.5,0.9,1.4,2.4,4.5,5.4,10.8,0.506,0.0,0.0,,5.4,10.8,0.506,2.3,4.2,0.5429999999999999,5.6,6.2,11.7,2.3,1.3,2.5,4.0,7.0,13.2,96.0,107.0,Career,NBA,10.5,0.522,0.0,0.39299999999999996,12.7,15.8,14.2,6.3,1.3,3.1,24.0,14.0,0.0,0.3,0.3,0.037000000000000005,-2.7,0.6,-2.0,0.0,0,0,0
462,Michael Cooper,coopemi01,873,27.1,3.5,7.4,0.469,0.5,1.4,0.34,3.0,5.9,0.5,0.502,1.5,1.8,0.833,0.8,2.3,3.2,4.2,1.2,0.6,1.6,2.7,8.9,6.0,12.8,0.469,0.9,2.5,0.34,5.1,10.3,0.5,2.5,3.0,0.833,1.5,4.0,5.5,7.3,2.1,1.0,2.8,4.6,15.4,111.0,107.0,Career,NBA,12.8,0.544,0.196,0.23800000000000002,3.7,9.0,6.5,18.7,2.1,1.2,16.8,14.6,27.7,24.7,52.5,0.107,0.4,0.6,1.0,18.2,0,0,0
463,Wayne Cooper,coopewa01,984,20.6,3.3,7.2,0.457,0.0,0.1,0.146,3.3,7.2,0.45899999999999996,0.457,1.3,1.8,0.736,2.2,4.0,6.2,0.9,0.3,1.6,1.2,3.2,7.9,7.5,16.3,0.457,0.0,0.1,0.146,7.4,16.2,0.45899999999999996,3.0,4.0,0.736,4.9,9.1,14.0,2.0,0.7,3.5,2.7,7.2,17.9,103.0,104.0,Career,NBA,13.4,0.494,0.006999999999999999,0.24600000000000002,11.2,21.9,16.4,5.6,0.7,4.3,13.1,17.8,10.0,26.9,36.9,0.087,-2.6,0.9,-1.7,1.4,0,0,0
464,Tom Copa,copato01,33,4.0,0.7,1.2,0.55,0.0,0.0,,0.7,1.2,0.55,0.55,0.1,0.4,0.308,0.4,0.7,1.1,0.1,0.1,0.2,0.2,0.9,1.5,8.3,15.1,0.55,0.0,0.0,,8.3,15.1,0.55,1.5,4.9,0.308,5.3,8.3,13.6,1.1,0.8,2.3,3.0,11.0,18.1,101.0,104.0,Career,NBA,10.7,0.525,0.0,0.325,11.7,18.0,14.9,3.3,0.8,2.8,14.9,17.2,0.0,0.2,0.2,0.078,-3.7,-0.9,-4.5,-0.1,0,0,0
465,Chris Copeland,copelch01,171,12.3,2.1,5.0,0.42700000000000005,0.9,2.5,0.365,1.2,2.5,0.486,0.516,0.7,0.9,0.752,0.4,1.2,1.6,0.6,0.2,0.2,0.8,1.4,5.8,9.1,21.3,0.42700000000000005,3.8,10.5,0.365,5.3,10.8,0.486,2.8,3.7,0.752,1.6,5.1,6.7,2.7,0.8,0.7,3.2,5.9,24.7,102.0,108.0,Career,NBA,12.4,0.54,0.49200000000000005,0.174,3.5,11.2,7.3,8.6,0.8,1.1,12.3,22.9,1.2,1.8,2.9,0.067,-0.4,-2.6,-3.0,-0.5,0,0,0
466,Hollis Copeland,copelho01,93,13.5,2.1,4.4,0.488,0.0,0.0,0.0,2.1,4.3,0.49,0.488,0.7,1.0,0.7390000000000001,0.8,0.9,1.7,1.0,0.7,0.3,0.9,1.9,5.0,7.1,14.6,0.488,0.0,0.1,0.0,7.1,14.5,0.49,2.4,3.3,0.7390000000000001,2.6,3.2,5.8,3.2,2.3,1.0,3.2,6.2,16.7,101.0,109.0,Career,NBA,10.7,0.52,0.005,0.22699999999999998,6.3,7.7,7.0,8.9,2.3,1.2,16.5,16.4,0.5,0.8,1.3,0.05,-1.9,-0.6,-2.5,-0.1,0,0,0
467,Lanard Copeland,copella01,33,4.8,1.2,2.8,0.418,0.0,0.2,0.14300000000000002,1.1,2.5,0.44,0.423,0.4,0.5,0.813,0.2,0.4,0.5,0.4,0.1,0.0,0.7,0.5,2.7,12.0,28.6,0.418,0.3,2.2,0.14300000000000002,11.6,26.4,0.44,4.1,5.0,0.813,1.6,3.8,5.4,4.4,0.9,0.3,7.2,5.4,28.3,83.0,111.0,Career,NBA,8.2,0.45899999999999996,0.077,0.17600000000000002,3.6,8.5,6.1,14.3,0.9,0.4,19.0,32.5,-0.5,0.1,-0.4,-0.111,-6.5,-4.2,-10.7,-0.3,0,0,0
468,Tyrone Corbin,corbity01,1065,26.0,3.7,8.1,0.456,0.2,0.6,0.299,3.5,7.4,0.47,0.46799999999999997,1.6,2.1,0.7909999999999999,1.6,3.1,4.7,1.8,1.2,0.3,1.2,2.5,9.2,7.3,15.9,0.456,0.4,1.2,0.299,6.9,14.7,0.47,3.2,4.1,0.7909999999999999,3.2,6.2,9.4,3.5,2.3,0.5,2.4,4.9,18.1,107.0,106.0,Career,NBA,13.1,0.511,0.077,0.255,7.2,13.8,10.5,10.5,2.3,0.6,12.1,17.1,23.7,32.8,56.5,0.098,-0.4,1.1,0.8,19.2,0,0,0
469,Chris Corchiani,corchch01,112,11.7,1.2,2.8,0.42100000000000004,0.2,0.7,0.26899999999999996,1.0,2.1,0.47200000000000003,0.455,1.2,1.5,0.816,0.2,0.9,1.2,2.2,0.7,0.0,1.1,1.4,3.7,4.9,11.7,0.42100000000000004,0.8,2.9,0.26899999999999996,4.1,8.8,0.47200000000000003,5.0,6.1,0.816,1.0,3.8,4.9,9.2,2.8,0.2,4.5,6.0,15.7,103.0,109.0,Career,NBA,11.7,0.5429999999999999,0.251,0.524,2.3,8.8,5.5,25.5,2.7,0.2,23.9,16.2,0.5,1.0,1.6,0.057999999999999996,-1.7,-0.9,-2.6,-0.2,0,0,0
470,Dave Corzine,corzida01,891,23.3,3.5,7.2,0.484,0.0,0.1,0.18899999999999997,3.5,7.1,0.486,0.485,1.6,2.1,0.747,2.0,3.9,5.9,1.7,0.4,1.0,1.5,2.2,8.5,7.1,14.8,0.484,0.0,0.1,0.18899999999999997,7.1,14.6,0.486,3.3,4.4,0.747,4.0,8.1,12.1,3.4,0.9,2.0,3.1,4.5,17.6,106.0,107.0,Career,NBA,13.6,0.526,0.008,0.295,9.3,18.7,14.0,9.8,0.9,2.3,15.6,16.8,15.8,21.4,37.3,0.086,-1.1,0.9,-0.2,9.3,0,0,0
471,James Cotton,cottoja02,19,4.8,0.7,2.1,0.359,0.0,0.4,0.0,0.7,1.7,0.43799999999999994,0.359,1.1,1.4,0.778,0.2,0.6,0.8,0.0,0.2,0.1,0.5,0.5,2.6,8.1,22.7,0.359,0.0,4.1,0.0,8.1,18.6,0.43799999999999994,12.2,15.7,0.778,2.3,7.0,9.3,0.0,2.3,0.6,5.2,5.2,28.5,91.0,104.0,Career,NBA,12.3,0.48200000000000004,0.179,0.6920000000000001,5.1,15.2,10.2,0.0,2.3,0.8,15.0,29.8,-0.1,0.1,0.0,0.008,-7.6,-7.0,-14.7,-0.3,0,0,0
472,John Coughran,coughjo01,24,6.7,1.2,3.4,0.358,0.1,0.4,0.222,1.1,3.0,0.375,0.37,0.3,0.6,0.5710000000000001,0.1,0.7,0.8,0.5,0.3,0.0,0.5,1.0,2.8,8.7,24.2,0.358,0.6,2.7,0.222,8.1,21.5,0.375,2.4,4.2,0.5710000000000001,0.6,5.1,5.7,3.6,2.1,0.3,3.9,7.2,20.3,79.0,107.0,Career,NBA,6.0,0.39,0.111,0.17300000000000001,1.3,12.1,6.5,10.6,2.1,0.4,13.0,25.8,-0.4,0.1,-0.3,-0.086,-6.5,-2.6,-9.1,-0.3,0,0,0
473,Joe Courtney,courtjo01,96,7.8,1.1,2.6,0.433,0.0,0.0,0.667,1.1,2.5,0.43,0.43700000000000006,0.5,0.8,0.633,0.7,0.8,1.5,0.3,0.2,0.2,0.5,1.1,2.8,7.4,17.1,0.433,0.1,0.2,0.667,7.3,16.9,0.43,3.5,5.5,0.633,4.5,5.2,9.8,1.9,1.4,1.6,3.3,7.7,18.4,96.0,109.0,Career,NBA,9.7,0.47200000000000003,0.012,0.322,10.3,12.2,11.2,5.7,1.4,2.2,14.4,19.2,-0.2,0.6,0.3,0.021,-4.5,-1.7,-6.3,-0.8,0,0,0
474,Marcus Cousin,cousima01,4,4.5,0.5,0.8,0.667,0.0,0.0,,0.5,0.8,0.667,0.667,0.0,0.0,,0.0,0.8,0.8,0.0,0.0,0.3,0.3,0.3,1.0,5.9,8.8,0.667,0.0,0.0,,5.9,8.8,0.667,0.0,0.0,,0.0,8.8,8.8,0.0,0.0,2.9,2.9,2.9,11.7,90.0,111.0,Career,NBA,7.8,0.667,0.0,0.0,0.0,20.3,10.1,0.0,0.0,4.5,25.0,10.2,0.0,0.0,0.0,0.008,-7.5,-2.4,-9.9,0.0,0,0,0
475,DeMarcus Cousins,couside01,535,32.3,7.7,16.7,0.46,0.6,1.7,0.33799999999999997,7.1,14.9,0.474,0.478,5.6,7.6,0.737,2.8,8.2,11.0,3.2,1.4,1.2,3.6,3.9,21.5,11.9,25.8,0.46,0.9,2.7,0.33799999999999997,10.9,23.1,0.474,8.6,11.7,0.737,4.4,12.6,17.0,5.0,2.2,1.9,5.6,6.0,33.3,103.0,103.0,Career,NBA,22.5,0.5379999999999999,0.105,0.455,9.8,28.3,19.0,18.0,2.2,3.0,15.3,32.0,16.9,24.7,41.5,0.115,0.9,2.0,2.9,21.4,0,4,2
476,Robert Covington,covinro01,285,29.3,4.2,10.5,0.39799999999999996,2.3,6.5,0.358,1.8,4.0,0.465,0.51,2.0,2.4,0.8190000000000001,1.0,4.6,5.5,1.6,1.6,0.7,1.8,3.0,12.7,7.0,17.6,0.39799999999999996,3.9,10.9,0.358,3.1,6.6,0.465,3.3,4.1,0.8190000000000001,1.6,7.6,9.2,2.6,2.6,1.2,3.1,5.0,21.3,102.0,105.0,Career,NBA,13.4,0.5489999999999999,0.622,0.23199999999999998,3.6,17.1,10.2,8.6,2.6,1.9,13.6,19.8,3.0,11.6,14.6,0.084,0.0,0.9,0.9,6.2,0,0,0
477,Chubby Cox,coxch01,7,11.1,1.9,5.3,0.35100000000000003,0.0,0.3,0.0,1.9,5.0,0.371,0.35100000000000003,0.4,0.9,0.5,1.0,0.4,1.4,0.9,0.0,0.1,1.3,2.3,4.1,8.0,22.9,0.35100000000000003,0.0,1.2,0.0,8.0,21.7,0.371,1.9,3.7,0.5,4.3,1.9,6.2,3.7,0.0,0.6,5.6,9.9,17.9,74.0,106.0,Career,NBA,1.6,0.366,0.054000000000000006,0.162,9.8,4.3,7.1,11.5,0.0,0.7,18.5,25.9,-0.3,0.1,-0.2,-0.127,-7.0,-2.7,-9.7,-0.2,0,0,0
478,Allen Crabbe,crabbal01,297,24.3,3.3,7.7,0.436,1.5,4.0,0.392,1.8,3.7,0.48200000000000004,0.537,1.1,1.3,0.846,0.3,2.5,2.8,1.2,0.6,0.3,0.7,2.1,9.3,6.8,15.7,0.436,3.2,8.1,0.392,3.7,7.6,0.48200000000000004,2.2,2.6,0.846,0.5,5.1,5.7,2.4,1.2,0.6,1.5,4.2,19.0,111.0,111.0,Career,NBA,11.3,0.565,0.515,0.165,1.2,11.2,6.2,7.2,1.3,0.9,8.2,16.1,7.7,4.4,12.1,0.08,0.0,-1.0,-1.0,1.7,0,0,0
479,Chris Crawford,crawfch01,252,15.8,2.4,5.5,0.43700000000000006,0.3,0.8,0.34700000000000003,2.1,4.7,0.45299999999999996,0.462,1.5,1.8,0.8240000000000001,0.8,1.4,2.2,0.6,0.4,0.3,0.9,2.0,6.6,8.2,18.6,0.43700000000000006,0.9,2.7,0.34700000000000003,7.2,15.9,0.45299999999999996,4.9,5.9,0.8240000000000001,2.8,4.6,7.3,2.1,1.4,1.1,3.1,6.6,22.1,103.0,106.0,Career,NBA,12.9,0.521,0.145,0.319,5.9,9.6,7.8,6.9,1.3,1.4,12.7,20.8,3.9,2.5,6.5,0.078,-1.3,-1.7,-2.9,-0.9,0,0,0
480,Jamal Crawford,crawfja01,1258,30.0,5.2,12.7,0.41100000000000003,1.7,4.9,0.349,3.5,7.8,0.449,0.478,2.9,3.3,0.862,0.4,1.9,2.3,3.4,0.9,0.2,1.9,1.5,15.0,9.0,22.0,0.41100000000000003,3.0,8.5,0.349,6.1,13.5,0.449,4.9,5.7,0.862,0.6,3.3,3.9,5.9,1.6,0.4,3.3,2.7,25.9,106.0,111.0,Career,NBA,15.2,0.53,0.385,0.261,1.4,7.3,4.3,19.4,1.6,0.5,11.7,24.2,42.0,18.5,60.5,0.077,1.5,-2.4,-0.9,10.1,0,0,0
481,Joe Crawford,crawfjo01,2,11.5,1.5,5.0,0.3,0.5,2.0,0.25,1.0,3.0,0.33299999999999996,0.35,1.0,1.0,1.0,0.5,1.5,2.0,0.5,0.5,0.0,0.0,1.0,4.5,6.5,21.6,0.3,2.2,8.6,0.25,4.3,12.9,0.33299999999999996,4.3,4.3,1.0,2.2,6.5,8.6,2.2,2.2,0.0,0.0,4.3,19.4,99.0,110.0,Career,NBA,10.8,0.414,0.4,0.2,4.6,14.8,9.5,6.5,2.2,0.0,0.0,20.6,0.0,0.0,0.0,0.037000000000000005,-3.0,-2.6,-5.6,0.0,0,0,0
482,Jordan Crawford,crawfjo02,278,24.6,4.6,11.2,0.41100000000000003,1.2,3.7,0.316,3.4,7.5,0.45799999999999996,0.46299999999999997,1.9,2.3,0.825,0.6,2.0,2.5,3.2,0.7,0.1,1.9,1.6,12.3,9.6,23.5,0.41100000000000003,2.5,7.8,0.316,7.2,15.7,0.45799999999999996,4.0,4.8,0.825,1.2,4.1,5.3,6.6,1.5,0.2,4.0,3.3,25.7,99.0,109.0,Career,NBA,14.1,0.503,0.331,0.20600000000000002,2.5,9.1,5.8,22.3,1.5,0.3,13.4,25.8,1.7,4.5,6.2,0.044000000000000004,0.2,-2.3,-2.1,-0.2,0,0,0
483,Ron Crevier,creviro01,3,1.3,0.0,1.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,0.7,0.0,0.3,0.0,0.3,0.0,0.0,0.0,0.0,0.7,0.0,0.0,34.6,0.0,0.0,0.0,,0.0,34.6,0.0,0.0,23.0,0.0,11.5,0.0,11.5,0.0,0.0,0.0,0.0,23.0,0.0,20.0,116.0,Career,NBA,-31.7,0.0,0.0,0.667,25.9,0.0,13.3,0.0,0.0,0.0,0.0,38.0,-0.1,0.0,-0.1,-0.795,-24.0,-13.5,-37.4,0.0,0,0,0
484,Joe Crispin,crispjo01,21,7.4,1.2,3.2,0.382,0.7,1.9,0.385,0.5,1.4,0.379,0.493,0.6,0.6,0.9229999999999999,0.1,0.4,0.5,1.2,0.2,0.0,0.5,0.5,3.8,8.7,22.9,0.382,5.0,13.1,0.385,3.7,9.7,0.379,4.0,4.4,0.9229999999999999,0.7,3.0,3.7,8.7,1.7,0.0,3.4,3.4,26.6,111.0,108.0,Career,NBA,17.1,0.536,0.574,0.191,1.4,6.6,4.0,27.4,1.7,0.0,11.9,24.0,0.3,0.1,0.4,0.136,2.8,-4.3,-1.6,0.0,0,0,0
485,Charlie Criss,crissch01,418,21.4,3.1,7.3,0.43200000000000005,0.1,0.4,0.179,3.1,7.0,0.441,0.435,2.1,2.5,0.831,0.3,1.1,1.4,3.2,0.9,0.1,1.5,1.4,8.5,7.0,16.3,0.43200000000000005,0.1,0.8,0.179,6.9,15.7,0.441,4.7,5.7,0.831,0.7,2.5,3.2,7.1,2.0,0.1,3.4,3.1,18.9,103.0,107.0,Career,NBA,12.8,0.503,0.035,0.35,1.6,5.8,3.7,21.3,2.0,0.1,15.4,19.0,7.1,6.6,13.7,0.073,-1.1,-1.7,-2.8,-1.8,0,0,0
486,Winston Crite,critewi01,31,8.5,1.1,2.3,0.479,0.0,0.0,,1.1,2.3,0.479,0.479,0.6,0.8,0.76,0.9,1.2,2.1,0.5,0.2,0.3,0.8,1.4,2.8,6.1,12.7,0.479,0.0,0.0,,6.1,12.7,0.479,3.4,4.5,0.76,5.0,6.6,11.7,2.7,0.9,1.4,4.7,7.7,15.6,96.0,112.0,Career,NBA,9.1,0.53,0.0,0.35200000000000004,11.9,15.9,13.8,7.4,0.9,1.8,24.1,16.7,-0.1,0.2,0.1,0.012,-3.6,-0.7,-4.4,-0.2,0,0,0
487,Javaris Crittenton,crittja01,113,16.4,2.0,4.6,0.442,0.1,0.5,0.231,1.9,4.1,0.466,0.45399999999999996,1.1,1.7,0.638,0.7,1.7,2.4,1.8,0.5,0.1,1.2,1.3,5.3,6.4,14.5,0.442,0.3,1.5,0.231,6.1,13.0,0.466,3.5,5.5,0.638,2.4,5.4,7.7,5.6,1.7,0.2,3.8,4.1,16.6,96.0,114.0,Career,NBA,10.6,0.49200000000000005,0.1,0.37799999999999995,5.2,12.1,8.6,16.8,1.7,0.3,18.5,18.0,-0.6,0.7,0.1,0.002,-2.9,-1.4,-4.3,-1.1,0,0,0
488,Geoff Crompton,crompge01,82,6.0,0.5,1.3,0.37,0.0,0.0,,0.5,1.3,0.37,0.37,0.2,0.5,0.442,0.6,1.1,1.7,0.3,0.1,0.3,0.5,1.1,1.2,3.8,10.3,0.37,0.0,0.0,,3.8,10.3,0.37,1.8,4.1,0.442,4.5,8.7,13.2,2.7,0.9,2.2,4.1,8.6,9.4,79.0,103.0,Career,NBA,5.6,0.39,0.0,0.39799999999999996,10.7,20.0,15.5,6.8,1.0,2.6,25.3,13.8,-0.8,0.7,-0.1,-0.009000000000000001,-6.0,0.9,-5.1,-0.4,0,0,0
489,Terry Crosby,crosbte01,4,7.0,0.5,1.0,0.5,0.0,0.0,,0.5,1.0,0.5,0.5,0.5,0.5,1.0,0.0,0.3,0.3,1.8,0.0,0.0,1.3,1.0,1.5,3.3,6.6,0.5,0.0,0.0,,3.3,6.6,0.5,3.3,3.3,1.0,0.0,1.7,1.7,11.6,0.0,0.0,8.3,6.6,10.0,81.0,109.0,Career,NBA,3.5,0.615,0.0,0.5,0.0,4.0,1.9,30.0,0.0,0.0,50.6,14.1,0.0,0.0,0.0,-0.051,-8.3,-4.9,-13.3,-0.1,0,0,0
490,Austin Croshere,croshau01,659,17.4,2.3,5.6,0.40700000000000003,0.7,1.9,0.34,1.6,3.6,0.44299999999999995,0.466,1.6,1.9,0.861,1.1,3.0,4.0,1.0,0.4,0.3,1.0,1.7,6.8,6.9,17.0,0.40700000000000003,2.0,5.8,0.34,4.9,11.1,0.44299999999999995,4.9,5.7,0.861,3.2,9.0,12.3,2.9,1.1,1.0,3.0,5.1,20.7,106.0,103.0,Career,NBA,14.3,0.532,0.345,0.33799999999999997,7.2,19.1,13.3,9.2,1.1,1.3,13.5,19.6,12.9,14.7,27.6,0.115,-0.4,-0.2,-0.5,4.3,0,0,0
491,Jeff Cross,crossje01,21,6.1,0.3,1.1,0.25,0.0,0.0,,0.3,1.1,0.25,0.25,0.7,1.2,0.56,0.4,1.0,1.4,0.0,0.1,0.1,0.3,1.8,1.2,2.2,8.8,0.25,0.0,0.0,,2.2,8.8,0.25,5.1,9.1,0.56,3.3,7.7,11.0,0.4,0.7,1.1,2.2,13.9,9.5,82.0,112.0,Career,NBA,1.5,0.371,0.0,1.042,7.7,18.4,13.0,1.0,0.7,1.3,14.6,12.8,-0.2,0.1,-0.1,-0.038,-7.4,-2.7,-10.1,-0.3,0,0,0
492,Russell Cross,crossru01,45,7.9,1.4,2.5,0.5710000000000001,0.0,0.0,,1.4,2.5,0.5710000000000001,0.5710000000000001,0.8,2.0,0.418,0.8,1.0,1.8,0.5,0.3,0.2,0.4,1.3,3.7,8.4,14.7,0.5710000000000001,0.0,0.0,,8.4,14.7,0.5710000000000001,5.0,11.9,0.418,4.6,6.2,10.8,2.9,1.6,0.9,2.5,7.6,21.8,110.0,109.0,Career,NBA,15.3,0.546,0.0,0.813,10.0,15.6,12.6,8.8,1.6,1.1,11.1,18.8,0.5,0.3,0.8,0.106,-0.6,-1.3,-1.8,0.0,0,0,0
493,John Crotty,crottjo01,477,12.1,1.3,3.0,0.431,0.3,0.8,0.384,1.0,2.3,0.44799999999999995,0.48100000000000004,1.1,1.3,0.8370000000000001,0.3,0.8,1.1,2.1,0.4,0.0,0.9,1.3,4.0,5.7,13.2,0.431,1.3,3.4,0.384,4.4,9.8,0.44799999999999995,4.6,5.5,0.8370000000000001,1.2,3.3,4.6,9.1,1.7,0.2,3.9,5.4,17.4,109.0,108.0,Career,NBA,12.7,0.5539999999999999,0.259,0.42,2.9,7.5,5.2,26.7,1.7,0.3,20.0,16.8,7.8,4.3,12.1,0.1,-0.6,-2.1,-2.7,-1.1,0,0,0
494,Corey Crowder,crowdco01,58,6.2,0.8,2.1,0.369,0.2,0.6,0.382,0.6,1.5,0.364,0.42200000000000004,0.3,0.4,0.708,0.3,0.5,0.8,0.3,0.1,0.0,0.3,0.6,2.1,6.3,17.2,0.369,1.8,4.8,0.382,4.5,12.4,0.364,2.4,3.4,0.708,2.4,3.8,6.2,2.5,1.1,0.3,2.1,5.1,16.9,97.0,110.0,Career,NBA,7.6,0.45299999999999996,0.27899999999999997,0.19699999999999998,5.6,8.2,7.0,7.0,1.1,0.3,10.2,17.9,-0.1,0.3,0.2,0.031,-2.7,-1.9,-4.6,-0.2,0,0,0
495,Jae Crowder,crowdja01,458,23.7,3.2,7.3,0.43,1.2,3.5,0.342,1.9,3.8,0.512,0.513,1.5,1.9,0.7909999999999999,0.7,3.0,3.8,1.4,1.0,0.3,0.8,2.0,9.0,6.6,15.4,0.43,2.5,7.4,0.342,4.1,8.0,0.512,3.1,4.0,0.7909999999999999,1.5,6.4,7.9,2.9,2.1,0.6,1.7,4.1,18.9,110.0,107.0,Career,NBA,13.2,0.552,0.48200000000000004,0.259,3.3,14.2,8.8,8.6,2.1,1.0,9.0,16.7,12.2,11.9,24.1,0.106,0.4,0.3,0.7,7.4,0,0,0
