,Name,link,Year,Age,Team,League,Position,Games Played,TotalMin,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,blank,OWS,DWS,WS,WS/48,blank,OBPM,DBPM,BPM,VORP
644,George Carter,cartege01,1967-68,24,DET,NBA,SF,1,5,21.3,.615,,.500,,,,26.7,,,,,,0.0,0.0,0.0,.230,,,,,
645,Howard Carter,carteho01,1983-84,22,DEN,NBA,SG,55,688,12.0,.499,.060,.193,5.7,7.5,6.6,13.2,1.2,0.3,10.9,21.1,,0.3,0.1,0.4,.028,,-1.2,-3.3,-4.5,-0.4
647,Maurice Carter,cartema01,2003-04,27,TOT,NBA,SG,10,110,5.8,.479,.314,.571,2.0,9.5,5.7,5.8,0.0,0.0,17.0,21.7,,-0.1,0.0,0.0,-0.014,,-5.4,-4.6,-10.0,-0.2
648,Reggie Carter,cartere01,1980-81,23,NYK,NBA,SG,60,536,8.8,.404,.017,.385,6.2,8.6,7.4,18.3,2.0,0.2,15.4,18.7,,-0.4,0.5,0.1,.010,,-3.7,-1.0,-4.7,-0.4
649,Ron Carter,cartero01,1978-79,22,LAL,NBA,SG,46,332,9.3,.487,,.435,7.3,7.4,7.4,9.4,2.3,1.1,21.3,22.6,,-0.3,0.3,0.0,-0.002,,-3.9,-1.1,-5.1,-0.3
650,Vince Carter,cartevi01,1998-99,22,TOR,NBA,SF,50,1760,19.6,.516,.086,.350,6.1,12.6,9.3,17.2,1.7,3.3,11.1,25.6,,3.6,1.4,5.0,.136,,2.1,-0.2,1.9,1.7
651,Michael Carter-Williams,cartemi01,2013-14,22,PHI,NBA,PG,70,2414,15.5,.480,.197,.348,4.3,15.6,9.8,30.2,2.6,1.4,16.9,25.7,,-0.8,2.1,1.3,.026,,-0.6,0.4,-0.2,1.1
652,Bill Cartwright,cartwbi01,1979-80,22,NYK,NBA,C,82,3150,17.9,.608,.000,.466,6.6,18.6,12.6,7.0,0.7,1.7,13.2,20.6,,7.7,2.1,9.7,.148,,1.5,-0.9,0.6,2.1
654,Alex Caruso,carusal01,2017-18,23,LAL,NBA,PG,31,442,7.9,.496,.353,.259,2.4,8.6,5.5,17.5,1.9,1.8,25.3,12.1,,-0.2,0.5,0.3,.031,,-4.1,0.5,-3.6,-0.2
657,Sam Cassell,cassesa01,1993-94,24,HOU,NBA,PG,66,1122,13.1,.506,.227,.276,2.6,10.2,6.6,25.8,2.7,0.4,17.8,20.9,,0.4,1.8,2.2,.093,,-1.5,0.2,-1.3,0.2
658,Omri Casspi,casspom01,2009-10,21,SAC,NBA,SF,77,1931,13.0,.529,.302,.259,4.4,16.5,10.4,7.7,1.4,0.6,11.6,19.4,,1.1,1.4,2.5,.063,,-1.0,-1.1,-2.1,-0.1
659,Harvey Catchings,catchha01,1974-75,23,PHI,NBA,C,37,528,12.1,.576,,.338,9.3,20.1,14.7,5.2,0.9,6.0,,,,0.3,0.8,1.2,.107,,-3.5,3.6,0.1,0.3
660,Terry Catledge,catlete01,1985-86,22,PHI,NBA,PF,64,1092,12.6,.502,.009,.323,11.0,16.9,13.9,2.8,1.4,0.4,12.3,20.7,,0.6,1.1,1.7,.074,,-2.4,-2.5,-4.9,-0.8
662,Kelvin Cato,catoke01,1997-98,23,POR,NBA,C,74,1007,13.3,.496,.013,.546,10.9,17.9,14.6,3.6,1.5,6.8,13.4,14.7,,0.7,2.0,2.7,.129,,-3.5,3.2,-0.3,0.4
663,Bobby Cattage,cattabo01,1981-82,23,UTA,NBA,PF,49,337,10.5,.490,.015,.304,6.9,16.6,11.6,2.8,1.0,0.0,10.5,20.3,,0.1,0.1,0.2,.028,,-4.0,-4.4,-8.4,-0.5
664,Willie Cauley-Stein,caulewi01,2015-16,22,SAC,NBA,C,66,1412,15.3,.588,.006,.369,10.3,16.6,13.5,3.8,1.6,3.8,10.5,13.2,,2.4,1.4,3.8,.130,,-0.8,1.5,0.7,1.0
665,Duane Causwell,causwdu01,1990-91,22,SAC,NBA,C,76,1719,13.0,.541,.000,.400,9.1,16.9,12.9,6.1,1.4,5.5,16.5,14.8,,0.6,2.2,2.8,.079,,-3.0,2.8,-0.2,0.8
666,Tyler Cavanaugh,cavanty01,2017-18,23,ATL,NBA,PF,38,509,13.0,.577,.593,.145,9.5,17.6,13.6,8.0,0.9,0.7,8.3,14.5,,0.9,0.3,1.2,.112,,0.7,-1.4,-0.7,0.2
667,Ron Cavenall,cavenro01,1984-85,25,NYK,NBA,C,53,653,4.1,.378,.000,.453,9.2,20.7,14.7,3.5,0.9,3.9,30.4,9.4,,-1.0,0.7,-0.2,-0.016,,-6.8,2.4,-4.4,-0.4
668,Cedric Ceballos,cebalce01,1990-91,21,PHO,NBA,SF,63,730,17.8,.527,.014,.396,12.1,10.4,11.2,7.7,1.4,0.4,12.3,31.3,,0.6,0.7,1.3,.085,,-0.5,-3.5,-4.0,-0.4
669,John Celestand,celesjo01,1999-00,22,LAL,NBA,PG,16,185,2.7,.388,.200,.133,0.6,5.7,3.2,15.2,1.9,0.0,25.1,15.1,,-0.4,0.2,-0.1,-0.038,,-6.6,-0.8,-7.4,-0.3
671,Lionel Chalmers,chalmli01,2004-05,24,LAC,NBA,PG,36,433,6.5,.409,.392,.192,1.1,7.3,4.3,18.6,1.6,0.0,15.0,17.0,,-0.5,0.2,-0.2,-0.025,,-3.6,-2.7,-6.3,-0.5
672,Mario Chalmers,chalmma01,2008-09,22,MIA,NBA,PG,82,2626,13.3,.548,.470,.292,1.7,8.8,5.2,23.5,3.3,0.2,18.1,16.3,,2.1,3.1,5.2,.095,,0.4,0.3,0.8,1.8
673,Bill Chamberlain,chambbi01,1972-73,23,TOT,ABA,SF,50,665,8.6,.425,.028,.209,8.7,8.3,8.5,15.1,,,15.8,21.4,,-1.0,1.1,0.1,.004,,,,,
675,Jerry Chambers,chambje01,1966-67,23,LAL,NBA,SF,69,1015,12.1,.481,,.188,,,,5.8,,,,,,0.7,0.7,1.4,.064,,,,,
676,Tom Chambers,chambto01,1981-82,22,SDC,NBA,PF,81,2682,15.0,.553,.002,.434,9.1,16.0,12.5,7.9,1.0,1.0,14.9,22.4,,2.9,0.4,3.3,.059,,0.3,-1.7,-1.4,0.4
677,Mike Champion,champmi01,1988-89,24,SEA,NBA,SF,2,4,-43.7,.000,.333,.000,0.0,0.0,0.0,0.0,0.0,0.0,25.0,39.8,,-0.1,0.0,-0.1,-0.952,,-31.3,-9.6,-40.8,0.0
678,Tyson Chandler,chandty01,2001-02,19,CHI,NBA,C,71,1389,13.0,.543,.000,.730,9.3,19.8,14.4,6.5,1.1,5.0,19.8,16.6,,0.4,1.4,1.8,.062,,-3.6,1.5,-2.0,0.0
679,Wilson Chandler,chandwi01,2007-08,20,NYK,NBA,SF,35,685,11.7,.480,.124,.223,6.1,15.3,10.6,8.1,1.1,1.8,9.2,19.2,,0.2,0.4,0.5,.038,,-2.6,-0.9,-3.5,-0.3
680,Don Chaney,chanedo01,1968-69,22,BOS,NBA,SG,20,209,6.3,.328,,.177,,,,12.4,,,,,,-0.9,0.4,-0.5,-0.107,,,,,
682,Rex Chapman,chapmre01,1988-89,21,CHH,NBA,SG,75,2219,12.6,.467,.150,.153,3.5,5.9,4.7,12.6,1.5,0.7,7.7,27.1,,-0.7,0.4,-0.2,-0.005,,-0.7,-2.5,-3.2,-0.7
686,Lorenzo Charles,charllo01,1985-86,22,ATL,NBA,SF,36,273,11.5,.587,.000,.409,5.3,10.5,7.9,4.2,0.4,1.3,14.8,18.2,,0.3,0.2,0.5,.086,,-1.9,-1.6,-3.6,-0.1
687,Calbert Cheaney,cheanca01,1993-94,22,WSB,NBA,SG,65,1604,14.0,.508,.033,.231,6.3,7.6,6.9,12.9,2.0,0.4,12.3,23.4,,1.0,0.2,1.2,.035,,-0.5,-2.3,-2.8,-0.3
688,Maurice Cheeks,cheekma01,1978-79,22,PHI,NBA,PG,82,2409,12.6,.541,,.245,2.8,7.9,5.5,22.8,3.2,0.3,23.3,13.4,,1.3,3.6,4.9,.097,,-0.8,1.5,0.7,1.6
689,Phil Chenier,cheniph01,1971-72,21,BAL,NBA,SG,81,2481,10.9,.457,,.252,,,5.1,11.5,,,,,,-0.5,1.9,1.4,.027,,,,,
690,Will Cherry,cherrwi01,2014-15,23,CLE,NBA,PG,8,69,5.8,.347,.474,.316,1.7,6.6,4.2,16.4,4.5,1.1,15.6,16.8,,-0.1,0.1,0.0,-0.021,,-4.4,0.7,-3.7,0.0
691,Derrick Chievous,chievde01,1988-89,21,HOU,NBA,SF,81,1539,11.6,.506,.038,.385,8.1,9.9,9.0,7.4,1.5,0.4,15.5,22.9,,0.0,1.6,1.6,.050,,-2.5,-1.4,-3.9,-0.7
692,Pete Chilcutt,chilcpe01,1991-92,23,SAC,NBA,PF,69,817,11.2,.478,.008,.112,10.3,14.4,12.3,6.6,1.9,1.2,13.5,15.5,,0.0,0.7,0.7,.042,,-3.4,-0.5,-3.9,-0.4
693,Josh Childress,childjo01,2004-05,21,ATL,NBA,SG,80,2376,15.2,.543,.087,.360,9.1,14.8,11.8,10.4,1.6,1.1,12.5,16.0,,3.7,0.9,4.6,.093,,0.3,-0.3,0.0,1.2
694,Randolph Childress,childra01,1995-96,23,POR,NBA,PG,28,250,6.7,.468,.595,.342,0.5,8.2,4.3,19.1,1.7,0.3,23.6,20.8,,-0.3,0.3,0.0,-0.009,,-4.2,-1.7,-5.9,-0.2
695,Chris Childs,childch01,1994-95,27,NJN,NBA,PG,53,1021,11.2,.495,.448,.262,1.5,5.9,3.7,33.8,2.1,0.2,19.6,16.7,,0.5,0.8,1.2,.058,,-1.2,-2.9,-4.0,-0.5
697,Jim Chones,choneji01,1972-73,23,NYA,ABA,PF,82,2153,11.8,.533,.001,.312,7.0,20.3,13.8,6.7,,,19.6,20.7,,2.4,0.2,2.6,.058,,,,,
698,Marquese Chriss,chrisma01,2016-17,19,PHO,NBA,PF,82,1743,12.3,.529,.354,.286,5.8,16.1,10.8,5.2,1.8,3.2,13.2,19.7,,0.3,1.5,1.8,.050,,-1.6,0.0,-1.6,0.2
701,Bob Christian,chrisbo01,1969-70,23,TOT,ABA,C,2,11,-11.5,.333,.000,.000,,,12.7,0.0,,,50.0,20.4,,0.0,0.0,0.0,-0.061,,,,,
702,Doug Christie,chrisdo01,1992-93,22,LAL,NBA,SG,23,332,12.4,.526,.113,.623,8.2,9.4,8.8,22.8,3.3,0.9,27.0,23.8,,-0.3,0.4,0.1,.012,,-2.1,0.4,-1.7,0.0
703,Dionte Christmas,chrisdi01,2013-14,27,PHO,NBA,SF,31,198,11.1,.489,.500,.387,7.4,14.1,10.8,5.8,0.5,1.1,7.6,17.4,,0.2,0.1,0.3,.083,,-1.1,-2.5,-3.6,-0.1
704,Rakeem Christmas,chrisra01,2015-16,24,IND,NBA,PF,1,6,32.0,1.000,.000,.000,18.3,0.0,9.1,0.0,0.0,0.0,0.0,14.7,,0.0,0.0,0.0,.343,,9.7,-6.6,3.2,0.0
705,Semaj Christon,chrisse01,2016-17,24,OKC,NBA,PG,64,973,5.7,.387,.283,.139,2.2,7.8,4.9,18.1,1.4,0.6,15.4,12.2,,-0.7,0.8,0.1,.006,,-5.1,-1.2,-6.3,-1.1
706,Patrick Christopher,chrispa01,2014-15,26,UTA,NBA,SG,4,29,-2.6,.250,.333,.000,8.0,15.9,12.0,0.0,1.8,0.0,7.7,20.6,,-0.1,0.0,-0.1,-0.150,,-10.6,-5.7,-16.3,-0.1
708,Robert Churchwell,churcro01,1995-96,23,GSW,NBA,SG,4,20,1.2,.375,.000,.000,0.0,17.4,8.6,8.0,0.0,0.0,20.0,21.8,,-0.1,0.0,-0.1,-0.166,,-11.2,-3.7,-14.9,-0.1
710,Carlos Clark,clarkca01,1983-84,23,BOS,NBA,SG,31,127,12.1,.451,.038,.346,6.5,8.6,7.6,17.7,3.0,0.4,16.7,23.3,,-0.1,0.2,0.1,.048,,-3.0,-0.3,-3.3,0.0
711,Earl Clark,clarkea01,2009-10,22,PHO,NBA,PF,51,383,8.5,.420,.033,.238,5.6,12.3,9.1,7.8,0.9,2.4,12.1,21.9,,-0.5,0.2,-0.3,-0.033,,-5.8,-1.1,-6.9,-0.5
712,Ian Clark,clarkia01,2013-14,22,UTA,NBA,SG,23,172,9.2,.485,.463,.104,1.9,11.1,6.4,14.7,2.4,0.9,16.7,22.4,,-0.2,0.1,-0.1,-0.025,,-2.6,-2.1,-4.7,-0.1
713,Keon Clark,clarkke01,1998-99,23,DEN,NBA,C,28,409,11.3,.483,.013,.463,9.9,17.5,13.6,4.0,1.3,5.4,17.9,13.0,,0.1,0.2,0.2,.029,,-3.8,1.2,-2.6,-0.1
715,Coty Clarke,clarkco01,2015-16,23,BOS,NBA,SF,3,6,23.9,.750,.500,.000,0.0,18.0,8.8,0.0,0.0,0.0,20.0,35.5,,0.0,0.0,0.0,.025,,0.2,-9.7,-9.5,0.0
716,Jordan Clarkson,clarkjo01,2014-15,22,LAL,NBA,PG,59,1476,16.9,.528,.203,.265,4.0,10.5,7.1,23.8,1.8,0.7,12.6,23.0,,2.0,0.4,2.4,.078,,1.4,-1.7,-0.3,0.6
717,Gian Clavell,clavegi01,2017-18,24,DAL,NBA,SG,7,64,7.4,.530,.833,.111,1.7,10.7,6.1,6.7,1.6,0.0,9.6,14.8,,0.0,0.0,0.1,.043,,-1.7,-1.8,-3.5,0.0
718,Victor Claver,clavevi01,2012-13,24,POR,NBA,SF,49,812,7.0,.462,.460,.159,4.4,12.8,8.5,7.9,1.7,1.1,17.5,13.9,,-0.6,0.5,-0.1,-0.005,,-3.3,0.0,-3.3,-0.3
720,Charles Claxton,claxtch01,1995-96,25,BOS,NBA,C,3,7,0.2,.347,.000,1.000,31.2,0.0,16.0,0.0,0.0,10.0,25.8,23.9,,0.0,0.0,0.0,-0.179,,-8.5,-2.6,-11.1,0.0
721,Speedy Claxton,claxtsp01,2001-02,23,PHI,NBA,PG,67,1528,12.6,.469,.073,.301,3.5,8.4,5.9,21.9,3.4,0.3,15.7,18.2,,0.4,2.4,2.8,.087,,-1.6,1.0,-0.7,0.5
722,Jim Cleamons,cleamji01,1971-72,22,LAL,NBA,PG,38,201,13.9,.423,,.360,,,8.6,21.3,,,,,,-0.2,0.3,0.1,.022,,,,,
723,Mateen Cleaves,cleavma01,2000-01,23,DET,NBA,PG,78,1268,9.0,.458,.043,.343,2.2,9.1,5.6,26.8,2.0,0.1,23.2,20.5,,-1.3,1.2,-0.1,-0.006,,-4.1,-1.0,-5.2,-1.0
725,Antonius Cleveland,clevean01,2017-18,23,DAL,NBA,SG,13,81,5.1,.317,.071,.286,2.7,11.3,6.9,3.3,3.7,4.4,11.3,10.0,,-0.1,0.1,0.0,-0.004,,-7.5,4.5,-3.0,0.0
728,Keith Closs,closske01,1997-98,21,LAC,NBA,C,58,740,14.0,.482,.000,.372,9.6,16.3,12.9,4.2,0.8,7.3,13.6,16.7,,0.1,0.5,0.6,.041,,-4.2,1.0,-3.3,-0.2
732,Richard Coffey,cofferi01,1990-91,25,MIN,NBA,SF,52,320,7.9,.402,.013,.293,14.3,14.4,14.3,1.3,1.0,0.8,5.6,12.1,,0.1,0.1,0.2,.037,,-4.2,-3.1,-7.3,-0.4
733,Fred Cofield,cofiefr01,1985-86,24,NYK,NBA,PG,45,469,7.9,.428,.082,.109,1.4,10.1,5.5,26.6,2.1,0.4,20.3,21.6,,-0.9,0.6,-0.4,-0.039,,-5.0,-0.8,-5.8,-0.5
734,John Coker,cokerjo01,1995-96,24,PHO,NBA,C,5,11,37.3,.800,.000,.000,21.4,0.0,10.5,21.2,0.0,6.8,0.0,20.2,,0.1,0.0,0.1,.360,,13.6,-0.8,12.8,0.0
735,Norris Cole,coleno01,2011-12,23,MIA,NBA,PG,65,1260,7.9,.452,.169,.189,2.1,6.4,4.3,17.0,1.8,0.1,17.7,21.8,,-1.4,1.4,0.0,.000,,-4.1,-1.8,-5.9,-1.2
736,Ben Coleman,colembe01,1986-87,25,NJN,NBA,C,68,1029,13.6,.617,.003,.387,10.9,20.6,15.7,5.3,1.5,1.8,20.4,18.0,,0.9,1.1,2.0,.093,,-1.2,0.0,-1.2,0.2
737,Derrick Coleman,colemde01,1990-91,23,NJN,NBA,PF,74,2602,17.6,.527,.035,.402,10.4,20.5,15.3,9.8,1.3,2.2,14.4,23.3,,2.4,3.4,5.8,.108,,-0.2,0.7,0.5,1.7
740,Norris Coleman,colemno01,1987-88,26,LAC,NBA,SF,29,431,6.6,.370,.010,.188,8.6,11.5,10.0,4.6,1.2,0.8,7.2,21.0,,-0.8,0.4,-0.4,-0.046,,-6.3,-2.0,-8.3,-0.7
741,Bimbo Coles,colesbi01,1990-91,22,MIA,NBA,PG,82,1355,10.4,.461,.087,.242,4.5,8.1,6.3,24.1,2.3,0.5,18.4,16.0,,-0.1,1.2,1.1,.038,,-2.6,-0.3,-3.0,-0.3
742,Jason Collier,collija02,2000-01,23,HOU,NBA,C,23,222,7.4,.435,.014,.338,6.4,12.7,9.6,4.4,0.5,0.9,11.9,19.2,,-0.1,0.1,0.0,-0.001,,-5.2,-2.8,-8.0,-0.3
743,Art Collins,colliar01,1980-81,26,ATL,NBA,SG,29,395,4.3,.409,.020,.364,5.4,6.5,6.0,8.6,1.3,0.2,21.8,15.4,,-0.6,0.2,-0.4,-0.054,,-5.1,-1.2,-6.3,-0.4
744,Don Collins,collido02,1980-81,22,TOT,NBA,SF,81,1845,14.5,.500,.007,.335,7.8,8.5,8.1,15.7,2.7,0.8,15.8,24.6,,0.6,2.0,2.6,.068,,-0.1,0.3,0.2,1.0
745,Doug Collins,collido01,1973-74,22,PHI,NBA,SG,25,436,10.5,.441,,.371,1.5,9.0,5.1,13.5,1.3,0.2,,,,-0.5,0.2,-0.3,-0.028,,-3.6,-2.8,-6.3,-0.5
746,James Collins,collija01,1997-98,24,LAC,NBA,SG,23,103,15.3,.482,.364,.255,7.7,7.8,7.7,5.4,3.0,2.0,11.6,29.8,,0.0,0.0,0.0,.008,,-1.1,-4.1,-5.2,-0.1
747,Jarron Collins,collija03,2001-02,23,UTA,NBA,C,70,1440,11.5,.532,.003,.528,11.5,13.3,12.4,6.6,1.1,1.2,11.7,15.0,,2.3,1.0,3.3,.111,,-0.5,-0.8,-1.3,0.2
748,Jason Collins,collija04,2001-02,23,NJN,NBA,C,77,1407,10.7,.500,.007,.590,10.5,13.6,12.0,8.4,1.1,2.4,17.1,13.5,,1.0,2.0,3.0,.104,,-2.5,1.6,-0.9,0.4
750,John Collins,collijo01,2017-18,20,ATL,NBA,PF,69,1630,18.6,.628,.069,.342,11.5,22.8,17.2,8.0,1.3,4.0,14.2,17.8,,3.3,1.8,5.1,.152,,-0.2,1.8,1.6,1.5
751,Mardy Collins,collima01,2006-07,22,NYK,NBA,SF,52,777,9.2,.445,.206,.360,4.3,11.5,8.0,17.4,2.2,0.3,17.8,18.8,,-0.6,0.6,0.0,.002,,-3.1,-0.5,-3.7,-0.3
752,Sherron Collins,collish01,2010-11,23,CHA,NBA,PG,20,66,3.6,.334,.400,.040,0.0,9.2,4.6,19.6,1.6,0.0,13.6,20.9,,-0.2,0.0,-0.2,-0.121,,-6.9,-3.3,-10.2,-0.1
753,Zach Collins,colliza01,2017-18,20,POR,NBA,C,61,956,8.1,.487,.383,.150,4.9,18.1,11.5,7.3,0.8,2.5,16.0,15.5,,-0.5,1.2,0.7,.038,,-3.8,0.9,-2.9,-0.2
754,Kyle Collinsworth,colliky01,2017-18,26,DAL,NBA,SF,27,371,9.6,.439,.191,.471,7.3,17.9,12.4,14.3,2.0,1.4,18.0,12.3,,0.0,0.4,0.4,.051,,-4.0,2.3,-1.7,0.0
755,Darren Collison,collida01,2009-10,22,NOH,NBA,PG,76,2109,16.5,.546,.146,.221,2.2,8.6,5.3,32.9,1.9,0.1,18.9,23.1,,1.9,1.1,2.9,.067,,0.2,-1.9,-1.7,0.2
756,Nick Collison,collini01,2004-05,24,SEA,NBA,C,82,1396,15.0,.570,.008,.333,13.7,19.2,16.5,3.9,1.3,2.8,13.3,15.5,,2.7,1.2,3.9,.135,,0.0,0.3,0.3,0.8
758,Sean Colson,colsose01,2000-01,25,TOT,NBA,PG,13,44,6.8,.291,.208,.167,5.4,10.2,7.7,38.7,1.2,0.0,7.2,28.8,,-0.1,0.0,-0.1,-0.106,,-3.0,-3.3,-6.3,0.0
759,Steve Colter,coltest01,1984-85,22,POR,NBA,PG,78,1462,12.5,.520,.155,.273,3.1,8.4,5.7,21.2,2.4,0.3,17.3,17.5,,0.9,1.4,2.3,.076,,-0.7,-0.9,-1.6,0.2
760,Glen Combs,combsgl01,1968-69,22,DLC,ABA,PG,72,2241,14.1,.534,.268,.454,,,4.0,10.8,,,13.2,20.3,,4.0,1.0,5.1,.108,,,,,
761,Leroy Combs,combsle01,1983-84,23,IND,NBA,SF,48,446,13.5,.537,.018,.558,4.7,9.1,6.9,12.4,2.4,2.3,18.5,23.0,,-0.2,0.6,0.4,.041,,-3.3,-0.1,-3.3,-0.1
763,Dallas Comegys,comegda01,1987-88,23,NJN,NBA,PF,75,1122,9.5,.487,.003,.413,5.4,17.5,11.3,8.6,1.6,3.8,21.3,20.5,,-1.6,1.3,-0.3,-0.012,,-5.8,1.3,-4.6,-0.7
768,Mike Conley,conlemi01,2007-08,20,MEM,NBA,PG,53,1381,12.6,.502,.206,.278,1.7,9.7,5.6,25.3,1.6,0.1,15.2,18.8,,0.6,0.5,1.1,.038,,-1.1,-1.8,-3.0,-0.3
770,Marty Conlon,conloma01,1991-92,24,SEA,NBA,C,45,381,9.3,.521,.000,.317,9.8,11.1,10.4,4.3,1.2,1.2,19.0,15.7,,0.0,0.2,0.3,.037,,-3.0,-1.3,-4.3,-0.2
771,Pat Connaughton,connapa01,2015-16,23,POR,NBA,SG,34,143,4.6,.352,.429,.102,8.3,15.9,12.1,9.9,0.7,0.0,16.3,18.7,,-0.3,0.1,-0.2,-0.076,,-5.8,-2.4,-8.2,-0.2
772,Jimmy Conner,conneji01,1975-76,22,KEN,ABA,SG,24,240,12.2,.537,.035,.337,4.9,6.3,5.6,21.3,2.1,1.1,24.5,20.8,,0.0,0.2,0.3,.053,,-2.0,-0.5,-2.5,0.0
773,Lester Conner,connele01,1982-83,23,GSW,NBA,PG,75,1416,14.0,.523,.013,.373,5.1,12.0,8.4,21.9,3.8,0.3,21.9,12.5,,1.2,1.5,2.7,.092,,-0.3,1.6,1.3,1.2
775,Will Conroy,conrowi01,2006-07,24,TOT,NBA,PG-SG,7,52,1.1,.000,.000,1.333,6.9,9.1,8.1,23.6,0.0,0.0,29.6,6.0,,-0.1,0.0,-0.1,-0.062,,-6.5,-1.5,-8.0,-0.1
776,Anthony Cook,cookan01,1990-91,23,DEN,NBA,PF,58,1121,10.7,.452,.011,.456,10.3,17.9,13.7,2.6,1.3,3.4,12.8,12.3,,0.0,0.5,0.5,.022,,-4.1,0.1,-4.0,-0.6
779,Brian Cook,cookbr01,2003-04,23,LAL,NBA,C,35,442,14.0,.505,.035,.199,7.8,18.2,12.9,7.4,1.9,2.7,10.0,17.3,,0.5,0.7,1.1,.122,,-2.0,0.9,-1.1,0.1
780,Daequan Cook,cookda02,2007-08,20,MIA,NBA,SG,59,1441,7.9,.480,.463,.111,1.6,13.3,7.4,9.1,0.8,0.5,10.5,19.8,,-1.0,0.6,-0.4,-0.013,,-2.8,-2.3,-5.1,-1.1
781,Darwin Cook,cookda01,1980-81,22,NJN,NBA,SG,81,1980,15.0,.503,.031,.220,5.3,8.2,6.7,21.9,3.2,1.0,16.4,21.4,,0.6,2.1,2.7,.065,,0.0,0.4,0.4,1.2
782,Jeff Cook,cookje01,1979-80,23,PHO,NBA,PF,66,904,14.4,.546,.011,.469,11.2,18.0,14.6,12.2,1.4,1.1,17.6,17.7,,1.1,1.3,2.4,.126,,-0.8,0.6,-0.2,0.4
784,Omar Cook,cookom01,2003-04,22,POR,NBA,PG,17,139,4.7,.259,.037,.000,2.6,2.5,2.6,25.6,4.0,0.0,27.0,12.6,,-0.3,0.1,-0.2,-0.068,,-6.8,-1.5,-8.3,-0.2
785,Quinn Cook,cookqu01,2016-17,23,TOT,NBA,PG,14,188,11.8,.579,.394,.076,0.6,3.6,2.0,22.8,1.1,0.0,16.0,19.6,,0.1,0.1,0.2,.047,,-1.7,-4.2,-5.9,-0.2
786,Charles Cooke,cookech01,2017-18,23,NOP,NBA,SG,11,34,-3.4,.233,.583,.167,0.0,6.2,3.2,3.6,1.4,0.0,7.2,17.7,,-0.2,0.0,-0.1,-0.208,,-9.9,-3.5,-13.4,-0.1
787,David Cooke,cookeda01,1985-86,22,SAC,NBA,PF,6,38,6.7,.292,.000,.909,15.0,14.8,14.9,3.1,5.0,0.0,11.5,18.5,,-0.1,0.1,0.0,-0.043,,-6.0,0.4,-5.6,0.0
789,Jack Cooley,cooleja01,2014-15,23,UTA,NBA,C,16,87,11.4,.432,.000,.955,13.3,19.8,16.6,1.8,3.7,2.8,8.8,18.0,,0.0,0.2,0.2,.092,,-4.4,0.4,-4.0,0.0
791,Duane Cooper,coopedu01,1992-93,23,LAL,NBA,PG,65,645,7.6,.450,.190,.222,2.3,6.6,4.4,31.5,1.4,0.2,28.5,16.1,,-0.7,0.3,-0.4,-0.031,,-5.0,-3.4,-8.4,-1.0
792,Joe Cooper,coopejo01,1981-82,24,NJN,NBA,C,1,11,1.3,.500,.000,.000,10.2,10.4,10.3,0.0,0.0,0.0,33.3,10.9,,0.0,0.0,0.0,-0.026,,-7.3,-3.3,-10.6,0.0
793,Michael Cooper,coopemi01,1978-79,22,LAL,NBA,SG,3,7,16.3,.500,,.000,0.0,0.0,0.0,0.0,6.5,0.0,14.3,40.0,,0.0,0.0,0.0,-0.073,,-5.8,-4.5,-10.3,0.0
794,Wayne Cooper,coopewa01,1978-79,22,GSW,NBA,C,65,795,12.5,.464,,.208,12.1,25.8,18.9,3.5,0.4,3.0,14.0,18.9,,0.0,1.2,1.2,.073,,-4.3,-0.8,-5.1,-0.6
795,Tom Copa,copato01,1991-92,27,SAS,NBA,C,33,132,10.7,.525,.000,.325,11.7,18.0,14.9,3.3,0.8,2.8,14.9,17.2,,0.0,0.2,0.2,.078,,-3.7,-0.9,-4.5,-0.1
796,Chris Copeland,copelch01,2012-13,28,NYK,NBA,PF,56,862,16.8,.583,.368,.218,4.5,11.9,8.1,5.7,1.0,1.2,10.7,25.3,,1.5,0.6,2.1,.117,,1.0,-3.2,-2.2,-0.1
797,Hollis Copeland,copelho01,1979-80,24,NYK,NBA,SF,75,1142,11.0,.526,.005,.234,6.6,8.3,7.4,8.7,2.4,1.2,17.1,16.5,,0.5,0.8,1.2,.052,,-1.7,-0.4,-2.1,0.0
798,Lanard Copeland,copella01,1989-90,24,PHI,NBA,SG,23,110,10.0,.499,.074,.206,4.2,6.1,5.2,14.0,0.5,0.6,20.4,35.9,,-0.3,0.0,-0.2,-0.109,,-5.6,-5.4,-11.0,-0.3
799,Tyrone Corbin,corbity01,1985-86,23,SAS,NBA,SF,16,174,9.7,.456,.016,.219,7.4,8.9,8.2,8.4,2.9,0.6,14.6,19.0,,-0.1,0.2,0.1,.017,,-3.4,-0.3,-3.7,-0.1
800,Chris Corchiani,corchch01,1991-92,23,ORL,NBA,PG,51,741,12.1,.534,.192,.539,2.6,9.3,5.9,26.7,3.0,0.2,23.7,17.5,,0.2,0.6,0.9,.056,,-1.8,-0.6,-2.3,-0.1
803,Dave Corzine,corzida01,1978-79,22,WSB,NBA,C,59,532,12.5,.600,,.534,10.0,17.9,14.0,10.9,0.8,1.3,26.7,14.3,,0.5,0.6,1.1,.102,,-1.2,0.9,-0.3,0.2
