,Name,link,Year,Age,Team,League,Position,Games Played,Games Started,MinPerGame,FGPerGame,FGAPerGame,FG%PerGame,3pPerGame,3PAPerGame,3p%PerGame,2pPerGame,2pAPerGame,2p%PerGame,eFG%PerGame,FTPerGame,FTAPerGame,FT%PerGame,ORGPerGame,DRBPerGame,TotalRebPerGame,AstPerGame,StealPerGame,BlkPerGame,TOVPerGame,FoulsPerGame,PtsPerGame
15,Alvan Adams,adamsal01,1975-76,21,PHO,NBA,C,80,,33.2,7.9,16.8,.469,,,,7.9,16.8,.469,.469,3.3,4.4,.735,2.7,6.4,9.1,5.6,1.5,1.5,,3.4,19.0
16,Don Adams,adamsdo01,1970-71,23,SDR,NBA,SF,82,,29.0,4.8,11.7,.409,,,,4.8,11.7,.409,.409,1.9,2.6,.731,,,7.1,2.1,,,,4.2,11.4
17,George Adams,adamsge01,1972-73,23,SDA,ABA,SF,60,,14.4,2.6,5.2,.490,0.0,0.1,.286,2.5,5.1,.495,.494,1.1,1.4,.783,1.3,2.2,3.4,1.1,,,1.1,1.6,6.2
18,Hassan Adams,adamsha01,2006-07,22,NJN,NBA,SG,61,8,8.1,1.2,2.2,.556,0.0,0.0,.000,1.2,2.2,.560,.556,0.4,0.6,.667,0.6,0.7,1.3,0.2,0.3,0.1,0.4,0.8,2.9
19,Jordan Adams,adamsjo01,2014-15,20,MEM,NBA,SG,30,0,8.3,1.2,2.9,.407,0.3,0.8,.400,0.8,2.0,.410,.465,0.5,0.8,.609,0.3,0.6,0.9,0.5,0.5,0.2,0.5,0.8,3.1
20,Michael Adams,adamsmi01,1985-86,23,SAC,NBA,PG,18,0,7.7,0.9,2.4,.364,0.0,0.2,.000,0.9,2.3,.390,.364,0.4,0.7,.667,0.1,0.2,0.3,1.2,0.5,0.1,0.6,0.5,2.2
21,Steven Adams,adamsst01,2013-14,20,OKC,NBA,C,81,20,14.8,1.1,2.3,.503,0.0,0.0,,1.1,2.3,.503,.503,1.0,1.7,.581,1.8,2.3,4.1,0.5,0.5,0.7,0.9,2.5,3.3
22,Rafael Addison,addisra01,1986-87,22,PHO,NBA,SF,62,12,11.5,2.4,5.3,.441,0.3,0.8,.320,2.1,4.5,.463,.465,0.8,1.0,.797,0.7,1.0,1.7,0.7,0.4,0.1,0.9,1.2,5.8
23,Bam Adebayo,adebaba01,2017-18,20,MIA,NBA,C,65,19,20.1,2.6,5.0,.514,0.0,0.1,.000,2.6,4.9,.525,.514,1.9,2.6,.708,1.7,3.8,5.5,1.5,0.4,0.6,0.9,2.1,7.0
25,Jeff Adrien,adrieje01,2010-11,24,GSW,NBA,PF,23,0,8.5,1.0,2.3,.426,0.0,0.0,,1.0,2.3,.426,.426,0.5,0.8,.579,1.0,1.5,2.5,0.4,0.2,0.2,0.4,1.2,2.5
26,Arron Afflalo,afflaar01,2007-08,22,DET,NBA,SG,75,9,12.9,1.3,3.2,.411,0.1,0.6,.208,1.2,2.6,.461,.432,0.9,1.2,.782,0.5,1.3,1.8,0.7,0.4,0.1,0.5,1.1,3.7
27,Maurice Ager,agerma01,2006-07,22,DAL,NBA,SG,32,1,6.7,0.7,2.2,.314,0.2,0.5,.333,0.5,1.7,.309,.350,0.6,1.0,.606,0.0,0.6,0.7,0.2,0.1,0.1,0.5,0.8,2.2
28,Mark Aguirre,aguirma01,1981-82,22,DAL,NBA,SF,51,20,28.8,7.5,16.1,.465,0.5,1.4,.352,7.0,14.7,.475,.480,3.3,4.8,.680,1.7,3.1,4.9,3.2,0.7,0.4,2.6,3.0,18.7
29,Blake Ahearn,ahearbl01,2007-08,23,MIA,NBA,PG,12,0,14.8,1.3,4.8,.263,0.8,2.8,.294,0.4,1.9,.217,.351,2.5,2.6,.968,0.1,1.5,1.6,1.6,0.5,0.0,1.3,1.7,5.8
30,Danny Ainge,aingeda01,1981-82,22,BOS,NBA,SG,53,1,10.6,1.5,4.2,.357,0.1,0.3,.294,1.4,3.8,.363,.369,1.1,1.2,.862,0.5,0.6,1.1,1.6,0.7,0.1,1.0,1.6,4.1
32,Alexis Ajinca,ajincal01,2008-09,20,CHA,NBA,PF,31,4,5.9,0.8,2.2,.362,0.0,0.1,.000,0.8,2.2,.373,.362,0.6,0.9,.714,0.3,0.7,1.0,0.1,0.2,0.2,0.4,1.1,2.3
34,Josh Akognon,akognjo01,2012-13,26,DAL,NBA,PG,3,0,3.0,0.7,1.3,.500,0.3,0.7,.500,0.3,0.7,.500,.625,0.0,0.0,,0.0,0.3,0.3,0.3,0.0,0.0,0.0,1.0,1.7
35,Solomon Alabi,alabiso01,2010-11,22,TOR,NBA,C,12,0,4.9,0.3,1.3,.200,0.0,0.0,,0.3,1.3,.200,.200,0.0,0.2,.000,0.6,0.6,1.2,0.2,0.2,0.2,0.3,0.4,0.5
36,Mark Alarie,alarima01,1986-87,23,DEN,NBA,PF,64,25,17.3,3.4,6.9,.490,0.0,0.1,.222,3.4,6.8,.495,.492,1.0,1.6,.663,1.1,2.2,3.3,1.2,0.3,0.4,0.9,2.2,7.9
38,Furkan Aldemir,aldemfu01,2014-15,23,PHI,NBA,PF,41,9,13.2,1.0,1.9,.513,0.0,0.1,.000,1.0,1.8,.548,.513,0.3,0.7,.481,1.9,2.4,4.3,0.7,0.4,0.4,0.4,2.3,2.3
39,Cole Aldrich,aldrico01,2010-11,22,OKC,NBA,C,18,0,7.9,0.4,0.8,.533,0.0,0.0,,0.4,0.8,.533,.533,0.1,0.2,.500,0.7,1.2,1.9,0.2,0.3,0.4,0.4,1.7,1.0
40,LaMarcus Aldridge,aldrila01,2006-07,21,POR,NBA,C,63,22,22.1,3.8,7.6,.503,0.0,0.0,.000,3.8,7.6,.505,.503,1.3,1.8,.722,2.3,2.7,5.0,0.4,0.3,1.2,0.7,3.0,9.0
41,Chuck Aleksinas,aleksch01,1984-85,25,GSW,NBA,C,74,4,15.1,2.2,4.6,.478,0.0,0.0,.000,2.2,4.5,.479,.478,0.7,1.0,.733,1.2,2.5,3.6,0.5,0.2,0.2,1.0,2.3,5.1
42,Cliff Alexander,alexacl01,2015-16,20,POR,NBA,PF,8,0,4.5,0.6,1.3,.500,0.0,0.0,,0.6,1.3,.500,.500,0.0,0.0,,0.3,0.5,0.8,0.0,0.1,0.3,0.1,0.1,1.3
43,Cory Alexander,alexaco01,1995-96,22,SAS,NBA,PG,60,0,9.3,1.1,2.6,.406,0.4,1.1,.394,0.6,1.5,.416,.490,0.3,0.4,.640,0.2,0.6,0.7,2.0,0.5,0.0,1.1,1.6,2.8
44,Courtney Alexander,alexaco02,2000-01,23,TOT,NBA,PG,65,24,21.3,3.7,8.8,.417,0.3,0.7,.370,3.4,8.1,.421,.432,1.9,2.3,.820,0.6,1.6,2.2,1.0,0.7,0.1,1.2,2.1,9.5
45,Gary Alexander,alexaga01,1993-94,24,TOT,NBA,PF,11,0,5.0,0.7,1.3,.571,0.0,0.0,,0.7,1.3,.571,.571,0.3,0.8,.333,0.6,0.7,1.4,0.2,0.3,0.0,0.7,0.9,1.7
46,Joe Alexander,alexajo01,2008-09,22,MIL,NBA,SF,59,0,12.1,1.7,4.2,.416,0.3,0.8,.348,1.5,3.4,.432,.449,1.0,1.4,.699,0.7,1.2,1.9,0.7,0.3,0.5,0.9,1.8,4.7
47,Victor Alexander,alexavi01,1991-92,22,GSW,NBA,C,80,28,16.9,3.0,5.7,.529,0.0,0.0,.000,3.0,5.7,.531,.529,1.3,1.9,.691,1.3,2.9,4.2,0.4,0.6,0.8,1.1,2.2,7.4
48,Steve Alford,alforst01,1987-88,23,DAL,NBA,PG,28,0,7.0,0.8,2.0,.382,0.0,0.3,.125,0.7,1.7,.426,.391,0.6,0.6,.941,0.1,0.7,0.8,0.8,0.6,0.1,0.4,0.8,2.1
51,Jarrett Allen,allenja01,2017-18,19,BRK,NBA,C,67,26,19.7,3.3,5.6,.586,0.1,0.2,.286,3.2,5.4,.597,.591,1.6,2.1,.784,2.1,3.3,5.4,0.7,0.4,1.1,1.1,2.0,8.2
52,Jerome Allen,allenje01,1995-96,23,MIN,NBA,SG,41,0,8.8,0.9,2.6,.343,0.2,0.8,.303,0.6,1.8,.361,.390,0.6,0.9,.722,0.1,0.5,0.6,1.2,0.5,0.1,0.8,1.0,2.6
53,Kadeem Allen,allenka01,2017-18,25,BOS,NBA,PG,12,0,3.3,0.1,0.5,.167,0.0,0.3,.000,0.1,0.3,.333,.167,0.3,0.3,.750,0.1,0.3,0.3,0.3,0.1,0.0,0.3,0.4,0.4
54,Lavoy Allen,allenla01,2011-12,22,PHI,NBA,PF,41,15,15.2,1.9,4.1,.473,0.0,0.0,,1.9,4.1,.473,.473,0.3,0.3,.786,1.1,3.0,4.2,0.8,0.3,0.4,0.5,1.8,4.1
56,Malik Allen,allenma01,2001-02,23,MIA,NBA,PF,12,2,13.4,1.8,4.3,.431,0.0,0.1,.000,1.8,4.2,.440,.431,0.7,0.8,.800,1.3,1.9,3.2,0.4,0.3,0.7,0.2,1.3,4.3
57,Randy Allen,allenra01,1988-89,24,SAC,NBA,SG,7,0,6.1,1.1,2.7,.421,0.0,0.1,.000,1.1,2.6,.444,.421,0.1,0.3,.500,0.4,0.6,1.0,0.0,0.1,0.1,0.3,1.0,2.4
58,Ray Allen,allenra02,1996-97,21,MIL,NBA,SG,82,81,30.9,4.8,11.1,.430,1.4,3.6,.393,3.3,7.4,.448,.494,2.5,3.0,.823,1.2,2.8,4.0,2.6,0.9,0.1,1.8,2.7,13.4
59,Tony Allen,allento01,2004-05,23,BOS,NBA,SG,77,34,16.4,2.4,5.0,.475,0.2,0.4,.387,2.2,4.6,.483,.491,1.5,2.0,.737,1.1,1.8,2.9,0.8,1.0,0.3,1.0,2.0,6.4
62,Lance Allred,allrela01,2007-08,26,CLE,NBA,C,3,0,3.3,0.3,1.3,.250,0.0,0.0,,0.3,1.3,.250,.250,0.3,0.7,.500,0.0,0.3,0.3,0.0,0.0,0.0,0.0,0.3,1.0
63,Darrell Allums,allumda01,1980-81,22,DAL,NBA,PF,22,,12.5,1.0,3.0,.343,0.0,0.0,.000,1.0,3.0,.348,.343,0.6,1.0,.591,0.9,2.1,3.0,1.1,0.2,0.4,1.0,2.3,2.7
64,Morris Almond,almonmo01,2007-08,22,UTA,NBA,SG,9,0,4.3,0.4,1.7,.267,0.1,0.4,.250,0.3,1.2,.273,.300,0.4,0.7,.667,0.0,0.2,0.2,0.3,0.1,0.0,0.2,0.6,1.4
65,Derrick Alston,alstode01,1994-95,22,PHI,NBA,C,64,1,16.1,1.9,4.0,.465,0.0,0.1,.000,1.9,4.0,.472,.465,0.9,1.9,.492,1.5,1.9,3.4,0.5,0.6,0.5,0.8,1.7,4.7
66,Rafer Alston,alstora01,1999-00,23,MIL,NBA,PG,27,0,13.4,1.0,3.5,.284,0.1,0.5,.214,0.9,3.0,.296,.300,0.1,0.1,.750,0.2,0.7,0.9,2.6,0.4,0.0,1.1,1.1,2.2
67,Peter Aluma,alumape01,1998-99,25,SAC,NBA,C,2,0,2.5,0.5,1.0,.500,0.0,0.0,,0.5,1.0,.500,.500,0.0,0.0,,0.5,0.5,1.0,0.0,0.5,0.5,1.0,2.0,1.0
68,John Amaechi,amaecjo01,1995-96,25,CLE,NBA,PF,28,3,12.8,1.0,2.5,.414,0.0,0.0,,1.0,2.5,.414,.414,0.7,1.2,.576,0.5,1.4,1.9,0.3,0.2,0.4,1.2,1.8,2.8
69,Ashraf Amaya,amayaas01,1995-96,24,VAN,NBA,PF,54,34,20.4,2.2,4.7,.480,0.0,0.0,.000,2.2,4.6,.482,.480,1.8,2.8,.651,2.1,3.5,5.6,0.6,0.4,0.2,1.1,2.8,6.3
70,Al-Farouq Aminu,aminual01,2010-11,20,LAC,NBA,SF,81,14,17.9,2.0,5.0,.394,0.6,1.8,.315,1.4,3.2,.437,.450,1.1,1.5,.773,0.9,2.4,3.3,0.7,0.7,0.3,1.3,1.5,5.6
71,Lou Amundson,amundlo01,2006-07,24,TOT,NBA,PF,11,0,8.1,0.5,1.4,.400,0.0,0.0,,0.5,1.4,.400,.400,0.4,0.9,.400,1.2,1.4,2.5,0.1,0.1,0.7,0.5,1.4,1.5
73,Chris Andersen,anderch01,2001-02,23,DEN,NBA,C,24,1,10.9,1.0,3.1,.338,0.0,0.2,.000,1.0,2.9,.357,.338,0.9,1.2,.786,1.6,1.6,3.2,0.3,0.3,1.2,0.5,1.5,3.0
74,David Andersen,anderda03,2009-10,29,HOU,NBA,C,63,0,14.1,2.3,5.4,.432,0.4,1.2,.346,1.9,4.2,.458,.472,0.7,1.1,.687,0.9,2.4,3.3,0.7,0.2,0.2,0.6,1.9,5.8
75,Alan Anderson,anderal01,2005-06,23,CHA,NBA,SF,36,7,15.7,2.1,5.0,.414,0.7,1.6,.414,1.4,3.4,.415,.481,0.9,1.1,.805,0.6,1.3,1.9,0.9,0.3,0.1,0.9,1.3,5.8
77,Antonio Anderson,anderan02,2009-10,24,OKC,NBA,SF,1,0,15.0,1.0,3.0,.333,0.0,0.0,,1.0,3.0,.333,.333,0.0,0.0,,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0
81,Derek Anderson,anderde01,1997-98,23,CLE,NBA,SF,66,13,27.9,3.6,8.9,.408,0.3,1.3,.202,3.4,7.6,.442,.422,4.2,4.8,.873,0.8,2.0,2.8,3.4,1.3,0.2,1.9,2.1,11.7
82,Dwight Anderson,anderdw01,1982-83,22,DEN,NBA,PG,5,0,6.6,1.4,2.8,.500,0.0,0.0,,1.4,2.8,.500,.500,1.4,2.0,.700,0.0,0.4,0.4,0.6,0.2,0.0,1.0,1.4,4.2
83,Eric Anderson,anderer01,1992-93,22,NYK,NBA,PF,16,0,2.8,0.3,1.1,.278,0.0,0.0,,0.3,1.1,.278,.278,0.7,0.8,.846,0.4,0.5,0.9,0.2,0.2,0.1,0.3,0.9,1.3
84,Greg Anderson,andergr01,1987-88,23,SAS,NBA,PF,82,45,24.2,4.6,9.2,.501,0.0,0.1,.200,4.6,9.2,.503,.502,2.4,4.0,.604,2.0,4.3,6.3,1.0,0.7,1.5,1.7,2.8,11.7
85,J.J. Anderson,anderjj01,1982-83,22,TOT,NBA,SF,65,2,18.5,2.9,5.8,.501,0.0,0.1,.000,2.9,5.8,.507,.501,1.5,2.7,.571,1.8,2.7,4.5,1.0,1.0,0.3,1.2,2.4,7.4
86,James Anderson,anderja01,2010-11,21,SAS,NBA,SF,26,2,11.0,1.2,3.1,.383,0.7,1.8,.391,0.5,1.3,.371,.494,0.5,0.7,.778,0.1,0.8,0.9,0.7,0.1,0.2,0.5,0.9,3.6
88,Justin Anderson,anderju01,2015-16,22,DAL,NBA,SF,55,9,11.8,1.3,3.2,.406,0.4,1.5,.265,0.9,1.7,.533,.469,0.8,1.0,.800,0.3,2.1,2.4,0.5,0.3,0.5,0.4,0.8,3.8
89,Kenny Anderson,anderke01,1991-92,21,NJN,NBA,PG,64,13,17.0,2.9,7.5,.390,0.0,0.2,.231,2.9,7.3,.394,.393,1.1,1.5,.745,0.6,1.4,2.0,3.2,1.0,0.1,1.5,1.1,7.0
91,Kyle Anderson,anderky01,2014-15,21,SAS,NBA,SF,33,8,10.8,0.9,2.7,.348,0.1,0.3,.273,0.8,2.4,.359,.365,0.3,0.4,.643,0.2,2.0,2.2,0.8,0.5,0.2,0.3,0.8,2.2
92,Michael Anderson,andermi01,1988-89,22,SAS,NBA,PG,36,12,20.3,2.0,4.9,.417,0.0,0.2,.143,2.0,4.7,.429,.420,1.6,2.3,.695,1.2,1.3,2.5,4.3,1.2,0.1,2.3,1.8,5.7
93,Nick Anderson,anderni01,1989-90,22,ORL,NBA,SG,81,9,22.0,4.6,9.3,.494,0.0,0.2,.059,4.6,9.1,.504,.495,2.3,3.3,.705,1.3,2.6,3.9,1.5,0.9,0.4,1.7,1.7,11.5
94,Richard Anderson,anderri01,1982-83,22,SDC,NBA,C,78,5,16.3,2.2,5.5,.404,0.1,0.2,.368,2.1,5.3,.405,.412,0.6,0.9,.696,1.4,2.1,3.5,1.5,0.7,0.3,1.2,2.2,5.2
95,Ron Anderson,anderro01,1984-85,26,CLE,NBA,SF,36,7,14.4,2.3,5.4,.431,0.0,0.1,.500,2.3,5.4,.430,.433,1.1,1.4,.820,1.1,1.4,2.4,0.9,0.3,0.2,0.9,1.1,5.8
96,Ryan Anderson,anderry01,2008-09,20,NJN,NBA,PF,66,30,19.9,2.4,6.2,.393,1.0,2.9,.365,1.4,3.3,.417,.478,1.5,1.8,.845,1.6,3.1,4.7,0.8,0.7,0.3,1.0,2.4,7.4
97,Shandon Anderson,andersh01,1996-97,23,UTA,NBA,SG,65,0,16.4,2.3,4.9,.462,0.4,0.7,.511,1.9,4.2,.454,.500,1.0,1.5,.687,0.8,2.0,2.8,0.8,0.4,0.1,1.1,1.7,5.9
98,Willie Anderson,anderwi01,1988-89,22,SAS,NBA,SF,81,79,33.8,7.9,15.9,.498,0.0,0.3,.190,7.9,15.6,.503,.500,2.8,3.6,.775,1.9,3.3,5.1,4.6,1.9,0.8,3.2,3.6,18.6
100,Martynas Andriuskevicius,andrima01,2005-06,19,CLE,NBA,C,6,0,1.5,0.0,0.2,.000,0.0,0.0,,0.0,0.2,.000,.000,0.0,0.0,,0.2,0.5,0.7,0.0,0.3,0.0,0.0,0.2,0.0
102,Ike Anigbogu,anigbik01,2017-18,19,IND,NBA,C,10,0,2.8,0.4,0.9,.444,0.0,0.0,,0.4,0.9,.444,.444,0.5,0.6,.833,0.5,0.4,0.9,0.0,0.1,0.3,0.2,0.1,1.3
103,Michael Ansley,anslemi01,1989-90,22,ORL,NBA,SF,72,5,17.0,3.2,6.5,.497,0.0,0.0,,3.2,6.5,.497,.497,2.3,3.2,.722,2.6,2.4,5.0,0.6,0.3,0.2,0.7,2.1,8.7
104,Chris Anstey,anstech01,1997-98,23,DAL,NBA,C,41,8,16.6,2.2,5.6,.398,0.1,0.4,.188,2.2,5.2,.414,.405,1.3,1.8,.716,1.3,2.5,3.8,0.9,0.8,0.7,1.0,2.3,5.9
105,Giannis Antetokounmpo,antetgi01,2013-14,19,MIL,NBA,SF,77,23,24.6,2.2,5.4,.414,0.5,1.5,.347,1.7,3.9,.440,.463,1.8,2.6,.683,1.0,3.4,4.4,1.9,0.8,0.8,1.6,2.2,6.8
106,Thanasis Antetokounmpo,antetth01,2015-16,23,NYK,NBA,SF,2,0,3.0,1.5,2.0,.750,0.0,0.5,.000,1.5,1.5,1.000,.750,0.0,0.0,,0.0,0.5,0.5,0.0,0.0,0.0,0.0,1.0,3.0
107,Carmelo Anthony,anthoca01,2003-04,19,DEN,NBA,SF,82,82,36.5,7.6,17.9,.426,0.8,2.6,.322,6.8,15.3,.444,.449,5.0,6.4,.777,2.2,3.8,6.1,2.8,1.2,0.5,3.0,2.7,21.0
108,Greg Anthony,anthogr01,1991-92,24,NYK,NBA,PG,82,1,18.4,2.0,5.3,.370,0.1,0.7,.145,1.9,4.6,.403,.379,1.4,1.9,.741,0.4,1.3,1.7,3.8,0.7,0.1,1.2,2.1,5.5
109,Joel Anthony,anthojo01,2007-08,25,MIA,NBA,PF,24,1,20.8,1.2,2.5,.467,0.0,0.0,,1.2,2.5,.467,.467,1.2,2.0,.592,1.6,2.3,3.9,0.1,0.4,1.3,0.7,2.3,3.5
110,Pero Antic,anticpe01,2013-14,31,ATL,NBA,C,50,26,18.5,2.5,5.9,.418,1.1,3.4,.327,1.3,2.5,.545,.514,1.0,1.3,.758,1.1,3.0,4.2,1.2,0.4,0.2,1.1,2.5,7.0
111,OG Anunoby,anunoog01,2017-18,20,TOR,NBA,SF,68,56,20.0,2.1,4.6,.462,0.9,2.6,.360,1.2,2.0,.594,.563,0.5,0.8,.632,0.6,1.8,2.3,0.8,0.7,0.2,0.6,1.7,5.8
112,Keith Appling,applike01,2015-16,23,ORL,NBA,PG,5,0,5.4,0.4,1.6,.250,0.0,0.6,.000,0.4,1.0,.400,.250,0.4,0.4,1.000,0.0,0.2,0.2,0.2,0.2,0.0,0.6,1.0,1.2
113,Rafael Araujo,araujra01,2004-05,24,TOR,NBA,C,59,41,12.5,1.3,3.0,.434,0.0,0.1,.333,1.3,2.9,.436,.437,0.7,0.9,.782,1.0,2.1,3.1,0.3,0.4,0.1,0.9,2.7,3.3
115,Robert Archibald,archiro01,2002-03,22,MEM,NBA,PF,12,0,6.0,0.5,1.7,.300,0.0,0.0,,0.5,1.7,.300,.300,0.6,1.5,.389,0.5,0.9,1.4,0.3,0.0,0.3,0.6,0.8,1.6
116,Tiny Archibald,architi01,1970-71,22,CIN,NBA,PG,82,,35.0,5.9,13.4,.444,,,,5.9,13.4,.444,.444,4.1,5.4,.757,,,3.0,5.5,,,,2.7,16.0
117,Ryan Arcidiacono,arcidry01,2017-18,23,CHI,NBA,PG,19,0,9.7,0.5,1.2,.435,0.3,1.0,.316,0.2,0.2,1.000,.565,0.2,0.2,1.000,0.0,0.5,0.5,1.1,0.5,0.0,0.3,0.5,1.6
118,Jim Ard,ardji01,1970-71,22,NYA,ABA,C,73,,14.1,2.4,5.2,.455,0.0,0.0,.000,2.4,5.2,.459,.455,1.1,1.8,.598,1.5,3.1,4.6,0.5,,,1.5,1.6,5.8
119,Gilbert Arenas,arenagi01,2001-02,20,GSW,NBA,PG,47,30,24.6,3.7,8.2,.453,0.8,2.4,.345,2.9,5.8,.498,.504,2.6,3.4,.775,0.9,1.9,2.8,3.7,1.5,0.2,2.1,2.4,10.9
120,Trevor Ariza,arizatr01,2004-05,19,NYK,NBA,SF,80,12,17.3,2.2,4.9,.442,0.0,0.2,.231,2.1,4.7,.449,.446,1.5,2.2,.695,1.1,1.9,3.0,1.1,0.9,0.2,0.9,1.9,5.9
122,Joe Arlauckas,arlaujo01,1987-88,22,SAC,NBA,SF,9,0,9.4,1.6,4.8,.326,0.0,0.0,,1.6,4.8,.326,.326,0.7,0.9,.750,0.7,0.8,1.4,0.9,0.3,0.4,0.4,1.8,3.8
123,B.J. Armstrong,armstbj01,1989-90,22,CHI,NBA,PG,81,0,15.9,2.3,4.8,.485,0.0,0.1,.500,2.3,4.8,.484,.489,0.9,1.0,.885,0.2,1.0,1.3,2.5,0.6,0.1,1.0,1.3,5.6
125,Brandon Armstrong,armstbr01,2001-02,21,NJN,NBA,SG,35,0,5.6,0.8,2.4,.318,0.1,0.5,.294,0.6,1.9,.324,.347,0.1,0.3,.500,0.3,0.2,0.5,0.2,0.2,0.0,0.2,0.7,1.8
127,Darrell Armstrong,armstda01,1994-95,26,ORL,NBA,PG,3,0,2.7,1.0,2.7,.375,0.7,2.0,.333,0.3,0.7,.500,.500,0.7,0.7,1.000,0.3,0.0,0.3,1.0,0.3,0.0,0.3,1.0,3.3
128,Hilton Armstrong,armsthi01,2006-07,22,NOK,NBA,C,56,5,11.3,1.2,2.2,.544,0.0,0.0,,1.2,2.2,.544,.544,0.7,1.2,.597,1.0,1.6,2.7,0.2,0.2,0.5,0.6,1.4,3.1
132,Bob Arnzen,arnzebo01,1969-70,22,NYA,ABA,SF,13,,7.5,1.5,3.7,.396,0.0,0.1,.000,1.5,3.6,.404,.396,0.2,0.5,.333,0.9,0.8,1.7,0.4,,,0.6,0.8,3.1
133,Carlos Arroyo,arroyca01,2001-02,22,TOT,NBA,PG,37,1,10.0,1.3,3.0,.441,0.0,0.1,.000,1.3,2.9,.450,.441,0.4,0.5,.722,0.3,0.8,1.1,1.9,0.3,0.0,0.6,0.8,3.0
134,Darrell Arthur,arthuda01,2008-09,20,MEM,NBA,PF,76,64,19.3,2.5,5.7,.438,0.0,0.0,.000,2.5,5.7,.440,.438,0.5,0.8,.667,1.4,3.1,4.6,0.6,0.7,0.7,0.6,2.7,5.6
136,Jamel Artis,artisja01,2017-18,25,ORL,NBA,SG,9,0,12.7,0.9,3.0,.296,0.2,1.1,.200,0.7,1.9,.353,.333,0.3,0.6,.600,0.2,1.6,1.8,1.2,0.0,0.1,0.1,0.6,2.3
137,Omer Asik,asikom01,2010-11,24,CHI,NBA,C,82,0,12.1,1.0,1.7,.553,0.0,0.0,,1.0,1.7,.553,.553,0.9,1.8,.503,1.4,2.4,3.7,0.4,0.2,0.7,0.8,1.9,2.8
138,Vincent Askew,askewvi01,1987-88,21,PHI,NBA,SG,14,2,16.7,1.6,5.3,.297,0.0,0.0,,1.6,5.3,.297,.297,0.6,0.8,.727,0.4,1.1,1.6,2.4,0.7,0.4,0.9,0.9,3.7
139,Keith Askins,askinke01,1990-91,23,MIA,NBA,SF,39,1,6.8,0.9,2.1,.420,0.2,0.6,.240,0.7,1.4,.500,.457,0.3,0.6,.480,0.8,1.0,1.7,0.5,0.4,0.3,0.3,1.2,2.2
