,Name,link,Year,Age,Team,League,Position,Games Played,Games Started,TotalMin,FGPer100Poss,FGAPer100Poss,FG%Per100Poss,3pPer100Poss,3PAPer100Poss,3p%Per100Poss,2pPer100Poss,2pAPer100Poss,2p%Per100Poss,FTPer100Poss,FTAPer100Poss,FT%Per100Poss,ORGPer100Poss,DRBPer100Poss,TotalRebPer100Poss,AstPer100Poss,StealPer100Poss,BlkPer100Poss,TOVPer100Poss,FoulsPer100Poss,PtsPer100Poss,blank,ORtg,DRtg
148,Isaac Austin,austiis01,1991-92,22,UTA,NBA,C,31,0,112,9.4,20.6,.457,0.0,0.0,,9.4,20.6,.457,8.5,13.5,.633,4.9,10.8,15.7,2.2,0.9,0.9,3.6,9.0,27.4,,105,104
150,Ken Austin,austike01,1983-84,22,DET,NBA,SF,7,0,28,9.9,21.5,.462,0.0,0.0,,9.9,21.5,.462,0.0,0.0,,3.3,1.7,5.0,1.7,1.7,1.7,5.0,11.6,19.8,,85,110
151,Anthony Avent,aventan01,1992-93,23,MIL,NBA,PF,82,78,2285,7.6,17.5,.433,0.0,0.0,.000,7.6,17.5,.434,2.4,3.8,.651,3.9,7.3,11.2,2.0,1.2,1.6,3.1,5.2,17.6,,93,110
152,Bird Averitt,averibi01,1973-74,21,SAA,ABA,SG,74,,1639,10.6,28.1,.376,0.3,1.5,.180,10.3,26.6,.387,4.8,6.9,.696,1.4,2.4,3.7,4.1,1.9,0.2,4.2,5.1,26.2,,87,103
153,William Avery,averywi01,1999-00,20,MIN,NBA,PG,59,1,484,6.1,19.6,.309,1.9,6.8,.286,4.1,12.8,.322,2.6,3.9,.667,0.9,3.5,4.3,9.5,1.5,0.2,4.5,6.5,16.6,,84,107
154,Dennis Awtrey,awtrede01,1973-74,25,CHI,NBA,C,68,,756,3.9,7.4,.528,,,,3.9,7.4,.528,3.3,5.7,.574,3.0,7.6,10.5,5.2,1.3,0.8,,7.7,11.1,,,93
155,Gustavo Ayon,ayongu01,2011-12,26,NOH,NBA,PF,54,24,1088,7.0,13.0,.536,0.0,0.0,.000,7.0,13.0,.538,1.9,3.1,.619,4.3,8.9,13.2,3.7,2.6,2.3,2.3,5.9,15.9,,111,100
156,Jeff Ayres,pendeje02,2009-10,22,POR,NBA,C,39,4,405,5.8,8.8,.662,0.0,0.0,,5.8,8.8,.662,2.4,2.7,.900,3.4,9.9,13.2,0.1,0.9,2.2,1.6,10.3,14.0,,130,105
157,Kelenna Azubuike,azubuke01,2006-07,23,GSW,NBA,SG,41,9,669,7.1,15.9,.445,2.5,5.7,.430,4.6,10.2,.454,4.4,5.6,.782,1.9,4.9,6.8,2.0,1.6,0.7,2.8,3.5,21.1,,108,109
158,Chris Babb,babbch01,2013-14,23,BOS,NBA,SG,14,0,132,3.1,11.7,.267,2.3,10.5,.222,0.8,1.2,.667,0.0,0.0,,1.6,5.1,6.6,1.2,2.3,0.0,1.2,5.1,8.6,,82,108
159,Luke Babbitt,babbilu01,2010-11,21,POR,NBA,SF,24,0,137,6.0,21.9,.273,1.2,6.4,.188,4.8,15.5,.308,1.2,3.6,.333,2.4,9.6,12.0,2.4,0.8,0.8,3.2,6.0,14.3,,68,107
160,Milos Babic,babicmi01,1990-91,22,CLE,NBA,PF,12,0,52,5.8,18.4,.316,0.0,0.0,,5.8,18.4,.316,6.8,11.6,.583,5.8,2.9,8.7,3.9,1.0,1.0,4.9,6.8,18.4,,84,112
