,Name,link,Year,Age,Team,League,Position,Games Played,Games Started,TotalMin,FGPer100Poss,FGAPer100Poss,FG%Per100Poss,3pPer100Poss,3PAPer100Poss,3p%Per100Poss,2pPer100Poss,2pAPer100Poss,2p%Per100Poss,FTPer100Poss,FTAPer100Poss,FT%Per100Poss,ORGPer100Poss,DRBPer100Poss,TotalRebPer100Poss,AstPer100Poss,StealPer100Poss,BlkPer100Poss,TOVPer100Poss,FoulsPer100Poss,PtsPer100Poss,blank,ORtg,DRtg
1316,Jimmer Fredette,fredeji01,2011-12,22,SAC,NBA,PG,61,7,1135,7.7,19.9,.386,3.5,9.6,.361,4.2,10.3,.409,1.8,2.1,.833,0.8,2.5,3.3,4.8,1.3,0.1,3.0,3.3,20.6,,100,114
1317,World B. Free,freewo01,1975-76,22,PHI,NBA,SG,71,,1121,9.5,21.2,.448,,,,9.5,21.2,.448,4.5,7.4,.602,2.5,2.4,5.0,4.1,1.5,0.2,,4.3,23.5,,,102
1318,Joel Freeland,freeljo01,2012-13,25,POR,NBA,PF,51,1,477,6.4,15.6,.408,0.0,0.0,,6.4,15.6,.408,2.0,3.0,.667,4.4,8.7,13.1,1.4,1.4,1.2,2.1,7.4,14.8,,94,108
1319,Donnie Freeman,freemdo01,1973-74,29,INA,ABA,SG,66,,1735,10.3,22.5,.456,0.0,0.1,.000,10.3,22.5,.458,4.8,6.0,.797,2.4,2.1,4.5,4.4,1.3,0.6,3.5,4.7,25.3,,103,105
1322,Matt Freije,freijma01,2004-05,23,NOH,NBA,PF,23,11,441,4.6,15.8,.291,1.7,6.7,.259,2.9,9.1,.315,0.6,1.0,.625,2.0,5.6,7.6,2.5,1.6,0.2,2.1,5.0,11.6,,78,109
1327,Channing Frye,fryech01,2005-06,22,NYK,NBA,C,65,14,1572,10.3,21.5,.477,0.1,0.3,.333,10.2,21.2,.479,6.4,7.7,.825,4.6,7.9,12.6,1.8,1.0,1.6,3.3,6.7,27.0,,110,110
1328,Bernie Fryer,fryerbe01,1973-74,24,POR,NBA,SG,80,,1674,6.0,13.0,.460,,,,6.0,13.0,.460,2.8,3.6,.793,1.6,2.6,4.2,7.4,2.4,0.3,,4.9,14.8,,,104
1333,Hiram Fuller,fullehi01,2003-04,22,ATL,NBA,PF,4,0,43,3.7,9.8,.375,0.0,0.0,,3.7,9.8,.375,2.5,7.4,.333,4.9,8.6,13.5,2.5,0.0,1.2,4.9,6.1,9.8,,73,108
1334,Todd Fuller,fulleto02,1996-97,22,GSW,NBA,C,75,18,949,6.3,14.6,.429,0.0,0.0,,6.3,14.6,.429,4.2,6.1,.691,5.9,7.8,13.7,1.3,0.6,1.1,2.9,8.0,16.7,,102,113
1335,Tony Fuller,fulleto01,1980-81,22,DET,NBA,SG,15,,248,4.6,12.6,.364,0.0,0.2,.000,4.6,12.4,.369,2.3,3.1,.750,2.5,5.5,8.0,5.4,1.9,0.2,4.4,4.8,11.5,,82,105
1336,Markelle Fultz,fultzma01,2017-18,19,PHI,NBA,SG,8,0,139,7.3,20.1,.362,0.0,0.0,,7.3,20.1,.362,3.1,5.6,.563,2.4,4.5,6.9,9.0,2.1,0.7,2.8,4.2,17.7,,94,106
1337,Lawrence Funderburke,fundela01,1997-98,27,SAC,NBA,PF,52,1,1094,9.1,18.6,.490,0.0,0.3,.143,9.0,18.2,.496,5.2,7.7,.679,3.8,7.3,11.1,3.0,0.9,0.7,3.0,2.7,23.5,,106,108
1338,Terry Furlow,furlote01,1976-77,22,PHI,NBA,SG,32,,174,8.7,25.5,.340,,,,8.7,25.5,.340,4.1,4.6,.889,4.6,5.3,9.9,4.8,1.8,0.5,,2.8,21.4,,,99
1340,Dan Gadzuric,gadzuda01,2002-03,24,MIL,NBA,C,49,30,760,4.9,10.1,.483,0.0,0.1,.000,4.9,10.1,.486,2.0,3.9,.518,4.6,9.2,13.8,0.6,1.5,3.6,1.9,8.7,11.8,,103,104
1341,Deng Gai,gaide01,2005-06,23,PHI,NBA,C,2,0,5,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,117
1344,Corey Gaines,gaineco01,1988-89,23,NJN,NBA,SG,32,0,337,3.8,9.1,.422,0.1,0.7,.200,3.7,8.4,.441,1.7,2.3,.750,0.4,2.3,2.7,9.5,2.1,0.1,2.8,3.8,9.5,,101,112
1346,Reece Gaines,gainere01,2003-04,23,ORL,NBA,PG,38,1,364,3.6,12.5,.291,0.4,1.5,.300,3.2,11.0,.289,2.3,3.6,.640,1.2,4.5,5.7,5.8,1.6,0.3,2.6,3.2,10.0,,82,112
1347,Sundiata Gaines,gainesu01,2009-10,23,UTA,NBA,PG,32,0,217,9.0,19.3,.463,1.7,6.1,.269,7.3,13.2,.554,5.4,10.8,.500,1.4,5.4,6.8,9.2,2.8,0.0,3.3,4.0,25.0,,107,105
1348,Mike Gale,galemi01,1973-74,23,TOT,ABA,SG-PG,80,,2495,5.8,13.3,.436,0.0,0.3,.118,5.8,13.0,.444,1.9,2.6,.750,2.0,4.8,6.8,6.0,3.1,1.5,3.3,4.5,13.6,,96,97
1349,Chad Gallagher,gallach01,1993-94,24,UTA,NBA,C,2,0,3,51.5,51.5,1.000,0.0,0.0,,51.5,51.5,1.000,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.4,103.1,,200,111
1351,Danilo Gallinari,gallida01,2008-09,20,NYK,NBA,SG,28,2,412,6.7,15.1,.448,3.9,8.7,.444,2.9,6.4,.453,3.1,3.3,.963,1.6,5.1,6.6,1.8,1.7,0.5,1.8,5.8,20.5,,120,111
1352,Langston Galloway,gallola01,2014-15,23,NYK,NBA,PG,45,41,1457,7.4,18.5,.399,2.2,6.4,.352,5.1,12.1,.424,2.3,2.8,.808,1.3,5.5,6.9,5.4,1.9,0.4,2.2,4.7,19.3,,101,111
1354,Kevin Gamble,gamblke01,1987-88,22,POR,NBA,SF,9,0,19,0.0,7.3,.000,0.0,2.4,.000,0.0,4.9,.000,0.0,0.0,,4.9,2.4,7.3,2.4,4.9,0.0,4.9,4.9,0.0,,36,104
1356,Jorge Garbajosa,garbajo01,2006-07,29,TOR,NBA,PF,67,60,1909,6.0,14.4,.420,1.8,5.2,.342,4.2,9.1,.464,1.5,2.1,.731,1.3,7.7,9.0,3.4,2.1,0.4,1.7,2.4,15.4,,101,105
1357,Ruben Garces,garceru01,2000-01,27,TOT,NBA,PF,13,0,73,4.9,15.5,.318,0.0,0.0,,4.9,15.5,.318,1.4,5.6,.250,11.3,9.2,20.4,3.5,2.1,1.4,3.5,9.9,11.3,,82,97
1358,Alex Garcia,garcial01,2003-04,23,SAS,NBA,SG,2,0,13,4.1,29.0,.143,0.0,0.0,,4.1,29.0,.143,4.1,8.3,.500,0.0,0.0,0.0,0.0,8.3,0.0,4.1,0.0,12.4,,40,87
1359,Francisco Garcia,garcifr01,2005-06,24,SAC,NBA,SF,67,11,1301,5.2,13.0,.400,1.6,5.5,.285,3.7,7.5,.484,3.1,4.1,.772,1.6,5.9,7.4,3.8,1.6,1.9,3.0,5.4,15.1,,98,104
1362,Kenneth Gardner,gardnke01,1975-76,26,UTS,ABA,SF,9,,51,5.5,16.4,.333,0.0,0.0,,5.5,16.4,.333,1.8,1.8,1.000,7.3,4.5,11.8,2.7,1.8,0.9,0.9,8.2,12.7,,104,110
1363,Thomas Gardner,gardnth01,2007-08,22,CHI,NBA,SG,4,0,45,10.3,26.4,.391,3.4,13.8,.250,6.9,12.6,.545,0.0,2.3,.000,3.4,1.1,4.6,1.1,0.0,0.0,4.6,4.6,24.1,,81,116
1366,Patricio Garino,garinpa01,2016-17,23,ORL,NBA,SG,5,0,43,0.0,8.1,.000,0.0,5.8,.000,0.0,2.3,.000,0.0,0.0,,1.2,6.9,8.1,0.0,0.0,0.0,3.5,4.6,0.0,,8,115
1367,Gary Garland,garlaga01,1979-80,22,DEN,NBA,PG,78,,1106,6.5,14.9,.435,0.3,0.8,.316,6.2,14.1,.442,0.8,1.1,.692,2.1,3.7,5.8,6.1,2.3,0.2,3.0,3.3,13.9,,95,109
1368,Winston Garland,garlawi01,1987-88,23,GSW,NBA,PG,67,62,2122,7.6,17.3,.439,0.3,0.9,.333,7.3,16.4,.444,3.1,3.5,.879,1.5,3.5,5.1,9.6,2.6,0.2,3.7,4.2,18.5,,102,113
1371,Chris Garner,garnech01,1997-98,22,TOR,NBA,PG,38,0,293,4.1,12.4,.329,0.7,2.5,.286,3.4,9.9,.339,0.5,1.2,.429,1.2,3.0,4.2,8.0,3.7,0.7,4.4,8.8,9.4,,77,110
1372,Bill Garnett,garnebi02,1982-83,22,DAL,NBA,C,75,13,1411,5.6,10.6,.533,0.0,0.1,.000,5.6,10.5,.538,4.3,5.8,.741,4.7,8.8,13.4,3.4,1.6,2.3,2.7,8.1,15.5,,117,106
1373,Kevin Garnett,garneke01,1995-96,19,MIN,NBA,SF,80,43,2293,8.1,16.5,.491,0.2,0.6,.286,7.9,15.8,.499,2.4,3.3,.705,3.9,7.3,11.2,3.2,1.9,2.9,2.5,4.2,18.7,,107,107
1374,Marlon Garnett,garnema01,1998-99,23,BOS,NBA,PG,24,0,205,3.8,13.1,.294,1.5,5.9,.261,2.3,7.2,.321,3.8,5.1,.750,0.8,4.6,5.4,4.6,1.3,0.3,3.1,4.6,13.1,,89,106
1375,Calvin Garrett,garreca01,1980-81,24,HOU,NBA,SF,70,,1638,5.5,12.1,.453,0.0,0.1,.333,5.5,12.0,.454,1.5,1.8,.806,2.5,5.2,7.7,3.8,1.5,0.3,2.6,4.9,12.4,,99,108
1376,Dean Garrett,garrede01,1996-97,30,MIN,NBA,C,68,47,1665,7.1,12.4,.573,0.0,0.0,,7.1,12.4,.573,3.1,4.4,.696,4.7,11.0,15.7,1.2,1.3,3.0,1.1,5.0,17.2,,126,103
1377,Diante Garrett,garredi02,2012-13,24,PHO,NBA,PG,19,0,149,5.5,16.9,.327,1.0,5.2,.200,4.5,11.7,.382,1.7,3.4,.500,1.7,3.4,5.2,10.7,3.4,0.0,5.5,1.7,13.8,,80,108
1380,Tom Garrick,garrito01,1988-89,22,LAC,NBA,SG,71,20,1499,5.4,11.0,.490,0.0,0.4,.000,5.4,10.6,.509,3.1,3.9,.803,1.1,3.6,4.8,7.5,2.4,0.3,3.6,4.3,13.9,,103,112
1381,John Garris,garrijo01,1983-84,24,CLE,NBA,PF,33,1,267,9.6,18.8,.510,0.0,0.0,,9.6,18.8,.510,5.0,6.3,.794,6.5,7.8,14.2,1.8,1.5,1.1,2.0,7.4,24.2,,119,107
1382,Kiwane Garris,garriki01,1997-98,23,DEN,NBA,SG,28,0,225,5.2,15.5,.338,1.2,3.3,.357,4.0,12.1,.333,4.5,5.9,.760,0.7,3.8,4.5,6.7,1.7,0.2,3.6,5.2,16.2,,92,115
1383,Pat Garrity,garripa01,1998-99,22,PHO,NBA,PF,39,9,538,8.4,16.9,.500,0.7,1.8,.389,7.7,15.1,.513,4.0,5.6,.714,2.6,4.9,7.4,1.8,0.8,0.3,2.0,6.1,21.5,,110,107
1385,Marc Gasol,gasolma01,2008-09,24,MEM,NBA,C,82,75,2521,7.4,14.0,.530,0.0,0.0,.000,7.4,13.9,.530,5.8,7.9,.733,4.2,8.5,12.8,3.0,1.3,1.9,3.5,5.6,20.6,,112,108
1386,Pau Gasol,gasolpa01,2001-02,21,MEM,NBA,C,82,79,3007,9.7,18.6,.518,0.0,0.1,.200,9.6,18.6,.519,5.9,8.4,.709,4.2,8.6,12.8,3.9,0.7,3.0,3.9,3.4,25.2,,108,105
1388,Chris Gatling,gatlich01,1991-92,24,GSW,NBA,PF,54,1,612,8.9,15.6,.568,0.0,0.3,.000,8.9,15.3,.579,5.5,8.3,.661,5.7,8.1,13.8,1.2,2.4,2.7,3.3,7.7,23.2,,116,106
1389,Kenny Gattison,gattike01,1986-87,22,PHO,NBA,PF,77,14,1104,6.3,13.3,.476,0.0,0.1,.000,6.3,13.1,.481,4.6,7.3,.632,3.7,7.8,11.5,1.5,1.0,1.4,3.8,7.6,17.2,,97,110
1390,Rudy Gay,gayru01,2006-07,20,MEM,NBA,SF,78,43,2103,7.8,18.5,.422,1.3,3.5,.364,6.6,15.0,.436,3.7,5.1,.727,2.3,6.2,8.5,2.4,1.7,1.8,3.4,4.7,20.6,,96,111
1392,Andrew Gaze,gazean01,1993-94,28,WSB,NBA,SG,7,0,70,5.7,12.2,.471,2.9,5.7,.500,2.9,6.4,.444,1.4,1.4,1.000,0.7,4.3,5.0,3.6,1.4,0.7,2.1,6.4,15.7,,117,114
1393,Michael Gbinije,gbinimi01,2016-17,24,DET,NBA,SG,9,0,32,1.6,15.8,.100,0.0,6.3,.000,1.6,9.5,.167,3.2,3.2,1.000,3.2,1.6,4.7,3.2,0.0,0.0,0.0,3.2,6.3,,64,114
1394,Reggie Geary,gearyre01,1996-97,23,CLE,NBA,PG,39,0,246,5.2,13.6,.379,1.9,4.9,.381,3.3,8.7,.378,1.2,2.6,.455,0.9,2.6,3.5,8.5,3.1,0.5,3.5,8.5,13.4,,95,103
1395,Alonzo Gee,geeal01,2009-10,22,WAS,NBA,SG,11,2,182,8.1,17.0,.475,2.0,2.6,.778,6.0,14.4,.420,5.2,8.3,.621,4.3,5.2,9.5,2.0,2.0,0.3,2.9,3.7,23.3,,111,110
1396,Matt Geiger,geigema01,1992-93,23,MIA,NBA,C,48,2,554,7.0,13.3,.524,0.0,0.4,.000,7.0,12.9,.539,5.7,8.4,.674,4.2,6.8,11.0,1.3,1.4,1.6,3.3,11.3,19.6,,109,108
1397,Mickael Gelabale,gelabmi01,2006-07,23,SEA,NBA,SF,70,14,1239,5.1,11.1,.462,0.5,2.0,.234,4.7,9.2,.512,2.8,3.5,.805,2.5,4.8,7.3,2.4,1.0,0.9,2.1,4.6,13.5,,108,113
1398,Devean George,georgde01,1999-00,22,LAL,NBA,SF,49,1,345,8.3,21.5,.389,2.4,7.0,.340,6.0,14.5,.412,4.0,6.1,.659,4.3,6.9,11.2,1.8,1.5,0.6,3.1,8.0,23.1,,98,99
1400,Paul George,georgpa01,2010-11,20,IND,NBA,SG,61,19,1265,7.2,15.8,.453,1.6,5.5,.297,5.5,10.3,.537,3.1,4.0,.762,1.5,7.5,9.0,2.6,2.5,1.0,2.8,5.1,19.1,,103,104
1401,Tate George,georgta01,1990-91,22,NJN,NBA,PG,56,11,594,6.5,15.7,.415,0.0,0.2,.000,6.5,15.6,.419,2.6,3.3,.800,1.5,2.3,3.8,8.5,2.0,0.4,3.4,4.7,15.6,,99,111
1402,Marcus Georges-Hunt,georgma01,2016-17,22,ORL,NBA,SG,5,0,48,2.1,7.2,.286,1.0,2.1,.500,1.0,5.2,.200,9.3,10.3,.900,1.0,8.3,9.3,3.1,1.0,0.0,2.1,5.2,14.5,,121,112
1403,Gus Gerard,gerargu01,1974-75,21,SSL,ABA,SF,84,,2702,9.3,20.5,.454,0.0,0.1,.167,9.3,20.4,.456,3.5,4.7,.738,4.7,6.3,11.0,3.2,1.1,1.9,3.5,4.6,22.1,,103,107
1404,Derrick Gervin,gervide01,1989-90,26,NJN,NBA,PF,21,0,339,13.3,28.1,.472,0.0,0.4,.000,13.3,27.7,.479,9.3,12.7,.730,4.1,5.1,9.3,1.1,2.9,1.0,1.7,6.7,35.8,,116,107
1405,George Gervin,gervige01,1973-74,21,TOT,ABA,SG-SF,74,,2511,12.6,26.8,.471,0.2,1.1,.143,12.5,25.7,.485,7.1,8.7,.815,3.2,8.5,11.7,2.7,1.9,2.3,4.7,5.0,32.5,,103,101
1407,John Gianelli,gianejo01,1973-74,23,NYK,NBA,C,70,,1423,6.8,14.1,.479,,,,6.8,14.1,.479,3.0,3.9,.760,3.6,7.6,11.2,2.5,0.7,1.4,,5.2,16.6,,,95
1409,Daniel Gibson,gibsoda01,2006-07,20,CLE,NBA,PG,60,16,988,5.2,12.4,.424,2.8,6.6,.419,2.5,5.7,.430,1.5,2.1,.718,1.5,3.4,4.9,3.7,1.2,0.4,2.4,5.0,14.8,,108,105
1412,Jonathan Gibson,gibsojo01,2016-17,29,DAL,NBA,PG,17,0,231,7.9,21.4,.368,3.4,10.1,.333,4.5,11.3,.400,4.7,6.5,.724,0.2,4.7,5.0,5.9,1.8,0.0,4.7,4.7,23.9,,91,111
1414,Mike Gibson,gibsomi01,1983-84,23,WSB,NBA,PF,32,0,229,4.5,11.8,.382,0.0,0.0,,4.5,11.8,.382,2.4,3.7,.647,6.2,8.0,14.2,1.9,1.1,1.5,3.0,6.5,11.4,,92,106
1415,Taj Gibson,gibsota01,2009-10,24,CHI,NBA,PF,82,70,2204,7.3,14.7,.494,0.0,0.0,,7.3,14.7,.494,2.6,4.1,.646,5.3,9.0,14.3,1.6,1.2,2.4,2.7,6.6,17.2,,104,103
1416,J.R. Giddens,giddejr01,2008-09,23,BOS,NBA,SF,6,0,8,13.3,19.9,.667,0.0,0.0,,13.3,19.9,.667,0.0,0.0,,13.3,6.6,19.9,0.0,6.6,0.0,6.6,6.6,26.6,,109,93
1417,Trey Gilder,gildetr01,2009-10,25,MEM,NBA,SF,2,0,5,10.3,10.3,1.000,0.0,0.0,,10.3,10.3,1.000,0.0,0.0,,0.0,10.3,10.3,0.0,10.3,0.0,0.0,0.0,20.5,,200,91
1418,Eddie Gill,gilled01,2000-01,22,NJN,NBA,PG,8,0,152,5.5,14.1,.390,1.0,3.1,.333,4.5,11.0,.406,1.4,1.7,.800,0.0,3.1,3.1,8.3,1.4,0.3,3.4,3.1,13.4,,91,109
1419,Kendall Gill,gillke01,1990-91,22,CHH,NBA,SG,82,36,1944,9.5,21.2,.450,0.1,0.4,.143,9.5,20.9,.455,3.9,4.6,.835,2.7,4.0,6.7,7.7,2.6,1.0,4.1,4.7,23.0,,100,110
1420,Ben Gillery,gillebe01,1988-89,23,SAC,NBA,C,24,0,84,3.4,10.8,.316,0.0,0.0,,3.4,10.8,.316,7.4,13.1,.565,4.0,9.1,13.1,1.1,1.1,2.3,2.8,16.5,14.2,,91,107
1423,Armen Gilliam,gilliar01,1987-88,23,PHO,NBA,PF,55,53,1807,9.0,18.9,.475,0.0,0.0,,9.0,18.9,.475,3.4,5.1,.679,3.5,7.9,11.4,1.9,1.5,0.8,3.2,3.8,21.4,,99,110
1425,Artis Gilmore,gilmoar01,1973-74,24,KEN,ABA,C,84,,3502,8.2,16.7,.493,0.0,0.0,.000,8.2,16.7,.494,4.3,6.5,.667,6.3,14.0,20.4,4.4,0.8,3.8,4.2,4.0,20.8,,105,93
1428,Manu Ginobili,ginobma01,2002-03,25,SAS,NBA,SG,69,5,1431,6.5,14.8,.438,1.9,5.5,.345,4.6,9.3,.494,4.7,6.4,.737,1.8,4.2,6.0,5.1,3.6,0.6,3.7,6.3,19.6,,106,98
1429,Gordan Giricek,giricgo01,2002-03,25,TOT,NBA,SG-SF,76,62,2148,8.4,19.3,.436,2.0,6.0,.341,6.4,13.3,.478,3.6,4.4,.820,0.9,4.9,5.7,3.3,1.3,0.2,3.5,3.8,22.5,,99,109
1430,Jack Givens,givenja01,1978-79,22,ATL,NBA,SF,74,,1347,8.1,19.6,.415,,,,8.1,19.6,.415,3.5,4.7,.756,3.4,4.0,7.4,2.9,2.5,0.6,2.6,4.2,19.8,,100,104
1431,Mickell Gladness,gladnmi01,2011-12,25,TOT,NBA,PF,26,7,252,5.2,12.2,.424,0.0,0.0,,5.2,12.2,.424,1.2,2.5,.500,2.9,9.1,12.0,1.0,0.8,4.1,1.4,6.6,11.6,,92,105
1433,Gerald Glass,glassge01,1990-91,23,MIN,NBA,SF,51,3,606,12.8,29.2,.438,0.2,1.5,.118,12.6,27.7,.455,4.5,6.5,.684,4.6,4.1,8.8,3.6,2.4,0.8,3.5,6.5,30.2,,100,111
1434,Mike Glenn,glennmi01,1977-78,22,BUF,NBA,SG,56,,947,9.5,18.0,.527,,,,9.5,18.0,.527,2.5,3.2,.785,0.7,3.2,3.8,3.8,1.7,0.2,2.4,4.8,21.4,,107,106
1436,Georgi Glouchkov,gloucge01,1985-86,26,PHO,NBA,PF,49,16,772,5.0,12.4,.402,0.1,0.1,1.000,4.9,12.3,.399,4.2,7.2,.574,1.8,7.8,9.7,1.9,1.5,1.5,4.5,7.4,14.2,,81,106
1438,Dion Glover,glovedi01,1999-00,21,ATL,NBA,SG,30,1,446,7.7,20.1,.386,1.4,5.3,.267,6.3,14.8,.429,6.0,8.2,.729,1.8,2.7,4.5,3.2,1.8,0.5,3.3,3.3,22.9,,99,111
1439,Andreas Glyniadakis,glynian01,2006-07,25,SEA,NBA,C,13,4,81,5.2,11.0,.471,0.0,0.0,,5.2,11.0,.471,0.6,1.3,.500,1.3,3.9,5.2,0.6,0.0,0.0,5.8,12.3,11.0,,66,116
1440,Mike Gminski,gminsmi01,1980-81,21,NJN,NBA,C,56,,1579,8.4,19.9,.423,0.0,0.0,.000,8.4,19.8,.424,4.5,5.8,.767,4.0,8.1,12.1,2.1,1.6,2.9,3.7,3.7,21.3,,95,104
1441,Rudy Gobert,goberru01,2013-14,21,UTA,NBA,C,45,0,434,4.4,9.0,.486,0.0,0.0,,4.4,9.0,.486,3.9,7.9,.492,6.2,12.6,18.8,0.8,1.0,5.0,3.9,6.9,12.6,,94,104
1442,Dan Godfread,godfrda01,1990-91,23,MIN,NBA,C,10,0,20,13.0,31.2,.417,0.0,2.6,.000,13.0,28.6,.455,7.8,10.4,.750,0.0,5.2,5.2,0.0,2.6,10.4,0.0,13.0,33.8,,107,102
1445,Anthony Goldwire,goldwan01,1995-96,24,CHH,NBA,PG,42,8,621,6.4,16.0,.402,2.8,7.0,.398,3.6,8.9,.406,3.9,5.1,.767,0.7,3.0,3.6,9.5,1.4,0.0,5.3,6.7,19.5,,101,115
1446,Ryan Gomes,gomesry01,2005-06,23,BOS,NBA,PF,61,33,1376,6.5,13.4,.487,0.1,0.3,.333,6.4,13.1,.491,4.2,5.6,.752,3.9,7.4,11.3,2.2,1.3,0.2,2.1,3.1,17.4,,112,108
1447,Glen Gondrezick,gondrgl01,1977-78,22,NYK,NBA,SF,72,,1017,5.6,14.6,.386,,,,5.6,14.6,.386,3.6,5.2,.686,4.0,6.8,10.8,3.6,2.4,0.8,3.5,7.8,14.8,,91,100
1448,Grant Gondrezick,gondrgr01,1986-87,24,PHO,NBA,SG,64,1,836,7.6,16.9,.450,0.2,1.0,.235,7.4,15.9,.463,4.2,6.0,.701,2.6,3.5,6.2,4.6,1.4,0.2,3.2,5.1,19.6,,102,113
1449,Drew Gooden,goodedr01,2002-03,21,TOT,NBA,SF-PF,70,47,1873,9.8,21.5,.457,0.4,1.3,.292,9.4,20.1,.468,4.2,5.9,.712,4.5,8.1,12.6,2.3,1.5,1.0,4.1,4.7,24.2,,97,106
1451,Steve Goodrich,goodrst01,2000-01,24,CHI,NBA,PF,12,0,133,2.8,7.3,.389,0.4,1.2,.333,2.4,6.1,.400,1.6,2.8,.571,2.8,5.7,8.5,2.4,0.8,0.4,3.2,5.7,7.7,,82,110
1452,Archie Goodwin,goodwar01,2013-14,19,PHO,NBA,SG,52,0,533,7.1,15.7,.455,0.5,3.4,.139,6.7,12.3,.542,3.5,5.2,.673,2.4,5.8,8.2,1.9,1.9,1.0,4.1,4.2,18.2,,93,107
1454,Aaron Gordon,gordoaa01,2014-15,19,ORL,NBA,PF,47,8,797,6.0,13.3,.447,0.8,3.1,.271,5.1,10.3,.500,2.8,3.9,.721,3.0,7.9,10.8,2.1,1.3,1.4,2.4,5.3,15.6,,101,107
1455,Ben Gordon,gordobe01,2004-05,21,CHI,NBA,SG,82,3,2002,11.3,27.4,.411,3.5,8.6,.405,7.8,18.8,.414,6.0,7.0,.863,1.4,4.1,5.6,4.3,1.4,0.3,4.8,5.8,32.0,,100,103
1456,Drew Gordon,gordodr01,2014-15,24,PHI,NBA,PF,9,0,71,5.6,13.4,.421,0.0,2.1,.000,5.6,11.3,.500,0.7,1.4,.500,4.9,7.8,12.7,1.4,0.7,0.0,5.6,4.9,12.0,,73,108
1457,Eric Gordon,gordoer01,2008-09,20,LAC,NBA,SG,78,65,2677,8.0,17.5,.456,2.6,6.6,.389,5.5,11.0,.496,5.8,6.8,.854,0.9,3.0,3.9,4.2,1.5,0.7,3.2,3.3,24.4,,112,115
1458,Lancaster Gordon,gordola01,1984-85,22,LAC,NBA,SG,63,1,682,7.7,20.0,.383,0.1,0.6,.222,7.5,19.4,.388,2.6,3.4,.755,1.8,2.4,4.3,6.1,2.3,0.4,4.8,4.3,18.1,,86,111
1460,Marcin Gortat,gortama01,2007-08,23,ORL,NBA,C,6,0,41,10.0,21.3,.471,0.0,0.0,,10.0,21.3,.471,2.5,3.8,.667,10.0,10.0,20.1,2.5,1.3,1.3,2.5,5.0,22.6,,111,103
1462,Andrew Goudelock,goudean01,2011-12,23,LAL,NBA,SG,40,0,419,8.6,22.0,.391,3.5,9.5,.373,5.1,12.5,.404,1.4,1.5,.917,0.6,3.3,3.9,2.5,0.5,0.0,2.7,4.0,22.1,,95,110
1463,Gerald Govan,govange01,1973-74,32,UTS,ABA,C,83,,2766,4.5,9.5,.471,0.0,0.0,.000,4.5,9.5,.473,1.3,1.9,.689,2.5,10.3,12.8,4.3,1.1,0.9,2.7,4.6,10.2,,98,103
1466,Ricky Grace,graceri01,1993-94,26,ATL,NBA,PG,3,0,8,12.7,19.1,.667,0.0,0.0,,12.7,19.1,.667,0.0,12.7,.000,0.0,6.4,6.4,6.4,0.0,0.0,0.0,19.1,25.5,,107,107
1468,Greg Graham,grahagr01,1993-94,23,PHI,NBA,SG,70,6,889,6.9,17.2,.400,0.1,1.4,.080,6.8,15.8,.429,5.2,6.2,.836,1.2,3.7,4.9,3.7,3.4,0.2,3.7,3.0,19.1,,93,109
1469,Joey Graham,grahajo01,2005-06,23,TOR,NBA,SF,80,24,1581,6.6,13.8,.478,1.0,2.9,.333,5.6,10.9,.517,3.6,4.4,.812,1.9,6.2,8.1,2.0,1.2,0.4,3.1,7.6,17.8,,104,113
1471,Orlando Graham,grahaor01,1988-89,23,GSW,NBA,PF,7,0,22,6.1,20.3,.300,0.0,0.0,,6.1,20.3,.300,4.1,8.1,.500,16.3,6.1,22.4,0.0,0.0,0.0,4.1,12.2,16.3,,90,112
1472,Paul Graham,grahapa01,1991-92,24,ATL,NBA,SG,78,9,1718,8.7,19.5,.447,1.6,4.0,.390,7.1,15.4,.462,3.6,4.9,.741,2.1,4.5,6.6,5.0,2.7,0.6,2.6,5.5,22.6,,109,109
1473,Stephen Graham,grahast01,2005-06,23,TOT,NBA,SG,22,0,175,6.4,16.5,.389,0.6,3.1,.200,5.8,13.4,.432,4.3,4.6,.933,1.5,6.7,8.2,2.1,1.5,0.6,4.0,9.5,17.7,,89,105
1474,Treveon Graham,grahatr01,2016-17,23,CHO,NBA,SG,27,1,189,5.0,10.6,.475,2.4,4.0,.600,2.7,6.6,.400,2.7,4.0,.667,1.3,4.5,5.8,1.6,1.6,0.3,0.8,4.8,15.1,,122,111
1475,Jim Grandholm,grandji01,1990-91,30,DAL,NBA,PF,26,0,168,9.1,17.6,.517,2.7,5.2,.529,6.4,12.4,.512,3.0,6.4,.476,6.1,9.1,15.2,2.4,0.6,2.4,3.3,10.0,24.0,,112,108
1476,Ron Grandison,grandro01,1988-89,24,BOS,NBA,PF,72,0,528,5.5,13.2,.415,0.0,0.9,.000,5.5,12.2,.447,5.5,7.4,.738,4.4,4.2,8.5,3.9,1.7,0.3,3.3,6.6,16.4,,104,111
