,Name,link,Year,blank,blank,League,blank,Games Played,Games Started,TotalMin,FGPer100Poss,FGAPer100Poss,FG%Per100Poss,3pPer100Poss,3PAPer100Poss,3p%Per100Poss,2pPer100Poss,2pAPer100Poss,2p%Per100Poss,FTPer100Poss,FTAPer100Poss,FT%Per100Poss,ORGPer100Poss,DRBPer100Poss,TotalRebPer100Poss,AstPer100Poss,StealPer100Poss,BlkPer100Poss,TOVPer100Poss,FoulsPer100Poss,PtsPer100Poss,blank,ORtg,DRtg
15,Alvan Adams,adamsal01,Career,,,NBA,,988,342,27203,9.7,19.4,.498,0.0,0.0,.133,9.7,19.4,.498,4.2,5.3,.788,3.4,8.3,11.7,6.8,2.2,1.4,3.7,5.4,23.5,,105,100
16,Don Adams,adamsdo01,Career,,,TOT,,294,,7155,5.4,13.4,.402,0.0,0.1,.000,5.4,13.3,.402,2.8,3.9,.741,2.7,6.1,8.8,3.7,2.1,0.4,0.5,5.5,13.7,,98,99
17,George Adams,adamsge01,Career,,,ABA,,155,,3038,8.3,16.6,.497,0.1,0.3,.235,8.3,16.5,.500,2.2,2.8,.794,3.5,6.3,9.8,3.7,1.3,0.9,3.3,4.1,18.8,,103,107
18,Hassan Adams,adamsha01,Career,,,NBA,,73,8,547,7.6,14.2,.534,0.0,0.1,.000,7.6,14.1,.537,2.6,4.0,.643,3.5,4.6,8.1,1.3,1.7,0.5,2.5,4.9,17.8,,104,108
19,Jordan Adams,adamsjo01,Career,,,NBA,,32,0,263,7.3,18.2,.402,2.0,5.2,.385,5.4,13.1,.409,3.4,5.6,.607,1.8,4.2,5.9,3.8,3.8,1.4,3.2,5.2,20.0,,95,100
20,Michael Adams,adamsmi01,Career,,,NBA,,653,510,20446,7.4,17.9,.415,2.2,6.5,.332,5.3,11.4,.462,4.9,5.8,.849,1.0,3.4,4.3,9.6,2.5,0.2,3.2,2.7,22.0,,112,110
21,Steven Adams,adamsst01,Career,,,NBA,,383,319,9728,7.0,12.0,.585,0.0,0.0,.000,7.0,12.0,.587,3.1,5.4,.568,6.2,7.4,13.6,1.7,1.5,2.0,2.7,5.4,17.1,,117,105
22,Rafael Addison,addisra01,Career,,,NBA,,379,54,5697,8.1,18.1,.449,0.6,2.2,.282,7.5,15.9,.472,2.4,3.2,.772,2.3,4.6,6.9,3.0,1.3,0.7,2.5,5.9,19.3,,102,112
23,Bam Adebayo,adebaba01,Career,,,NBA,,65,19,1304,6.4,12.5,.514,0.0,0.3,.000,6.4,12.2,.525,4.7,6.6,.708,4.3,9.5,13.8,3.8,1.1,1.5,2.4,5.2,17.5,,117,106
25,Jeff Adrien,adrieje01,Career,,,NBA,,153,17,2148,6.4,13.5,.474,0.0,0.0,.000,6.4,13.4,.476,4.4,7.0,.628,5.4,10.6,16.0,2.4,1.2,1.9,2.2,6.3,17.2,,109,108
26,Arron Afflalo,afflaar01,Career,,,NBA,,760,537,20804,7.3,16.3,.450,2.1,5.4,.386,5.2,10.9,.481,3.4,4.1,.825,0.8,4.5,5.4,3.4,0.8,0.3,2.1,3.6,20.2,,109,112
