,Name,link,Year,blank,blank,League,blank,Games Played,Games Started,TotalMin,FGPer100Poss,FGAPer100Poss,FG%Per100Poss,3pPer100Poss,3PAPer100Poss,3p%Per100Poss,2pPer100Poss,2pAPer100Poss,2p%Per100Poss,FTPer100Poss,FTAPer100Poss,FT%Per100Poss,ORGPer100Poss,DRBPer100Poss,TotalRebPer100Poss,AstPer100Poss,StealPer100Poss,BlkPer100Poss,TOVPer100Poss,FoulsPer100Poss,PtsPer100Poss,blank,ORtg,DRtg
1123,Doug Edwards,edwardo01,Career,,,NBA,,85,0,838,4.5,11.8,.378,0.0,0.4,.000,4.5,11.4,.390,3.8,5.4,.709,3.8,5.8,9.6,3.8,1.1,1.7,3.6,5.7,12.8,,92,108
1124,Franklin Edwards,edwarfr01,Career,,,NBA,,296,36,4436,7.8,17.5,.449,0.0,0.4,.030,7.8,17.1,.457,3.5,4.3,.795,0.8,2.4,3.2,8.2,2.6,0.2,4.2,3.7,19.2,,99,109
1125,James Edwards,edwarja01,Career,,,NBA,,1168,467,28356,9.8,19.8,.495,0.0,0.0,.048,9.8,19.7,.496,5.5,7.9,.698,3.0,7.1,10.1,2.5,0.7,1.5,3.3,6.8,25.1,,106,107
1126,Jay Edwards,edwarja02,Career,,,NBA,,4,0,26,5.6,13.0,.429,0.0,3.7,.000,5.6,9.3,.600,1.9,5.6,.333,1.9,1.9,3.7,7.4,1.9,0.0,1.9,7.4,13.0,,98,111
1127,John Edwards,edwarjo01,Career,,,NBA,,65,5,435,5.2,11.6,.447,0.0,0.0,,5.2,11.6,.447,1.9,3.1,.600,3.2,5.1,8.3,1.0,0.7,2.3,2.5,10.9,12.2,,93,110
1128,Kevin Edwards,edwarke01,Career,,,NBA,,604,302,15332,8.6,20.3,.423,0.6,1.7,.335,8.0,18.6,.431,3.6,4.5,.803,1.7,3.7,5.4,5.2,2.7,0.6,3.7,3.3,21.4,,98,108
1129,Shane Edwards,edwarsh01,Career,,,NBA,,2,0,12,4.3,12.9,.333,0.0,0.0,,4.3,12.9,.333,0.0,0.0,,4.3,4.3,8.6,0.0,0.0,0.0,4.3,4.3,8.6,,64,114
1133,Craig Ehlo,ehlocr01,Career,,,NBA,,873,321,21071,7.1,15.8,.453,1.5,4.0,.369,5.7,11.8,.481,2.2,3.2,.689,2.4,5.1,7.5,5.9,2.4,0.6,2.9,4.1,18.0,,106,106
1135,Howard Eisley,eisleho01,Career,,,NBA,,786,167,16013,6.2,15.3,.407,1.7,4.9,.350,4.5,10.4,.434,2.8,3.4,.827,0.7,3.7,4.4,9.1,1.8,0.3,3.9,5.6,17.0,,101,107
1136,Obinna Ekezie,ekeziob01,Career,,,NBA,,143,32,1516,5.7,13.5,.423,0.0,0.0,.000,5.7,13.5,.424,6.2,8.7,.720,5.1,8.2,13.3,1.1,1.3,0.9,3.3,8.8,17.7,,101,109
1137,Khalid El-Amin,elamikh01,Career,,,NBA,,50,14,936,6.6,17.9,.370,1.6,4.8,.333,5.0,13.0,.383,3.2,4.1,.778,1.2,3.4,4.7,8.3,2.8,0.1,3.1,5.7,18.0,,97,108
1139,Mario Elie,eliema01,Career,,,NBA,,732,395,18654,5.8,12.3,.473,1.6,4.3,.365,4.2,8.0,.530,3.9,4.6,.854,1.4,4.1,5.5,5.1,1.8,0.4,2.6,3.9,17.1,,116,107
1141,Henry Ellenson,ellenhe01,Career,,,NBA,,52,2,375,7.8,22.3,.347,2.9,10.0,.293,4.8,12.3,.391,2.3,3.2,.708,2.3,11.1,13.4,3.2,0.5,0.1,3.6,2.5,20.7,,87,108
1142,Wayne Ellington,ellinwa01,Career,,,NBA,,587,127,12298,7.1,17.3,.410,3.3,8.8,.380,3.7,8.5,.442,1.7,2.0,.851,0.8,4.5,5.4,2.6,1.2,0.2,1.6,2.7,19.3,,106,112
1143,Bob Elliott,elliobo01,Career,,,NBA,,141,,2324,6.9,14.0,.494,0.0,0.1,.333,6.9,13.9,.496,5.2,8.0,.649,3.6,6.1,9.8,4.0,1.3,0.7,4.5,6.0,19.1,,100,106
1144,Sean Elliott,elliose01,Career,,,NBA,,742,712,24502,8.0,17.2,.465,1.2,3.3,.375,6.8,14.0,.486,4.7,5.9,.799,1.7,5.0,6.7,3.9,1.2,0.6,2.8,3.4,21.9,,110,107
1145,Bo Ellis,ellisbo02,Career,,,NBA,,168,,1984,5.3,12.4,.431,0.0,0.3,.000,5.3,12.3,.433,3.2,4.4,.731,4.1,6.8,10.9,2.6,1.6,1.9,3.3,7.2,13.9,,96,102
1147,Dale Ellis,ellisda01,Career,,,NBA,,1209,589,34778,10.6,22.1,.479,2.5,6.2,.403,8.1,15.9,.509,3.8,4.9,.784,2.2,3.9,6.1,2.5,1.4,0.3,2.6,3.6,27.4,,114,111
1148,Harold Ellis,ellisha01,Career,,,NBA,,145,26,1923,8.1,15.4,.527,0.0,0.5,.048,8.1,14.8,.545,5.6,8.6,.653,4.6,3.0,7.6,2.3,4.1,0.5,2.9,6.6,21.8,,111,108
1150,LaPhonso Ellis,ellisla01,Career,,,NBA,,624,359,17616,8.5,18.8,.452,0.7,2.3,.302,7.8,16.5,.473,4.1,5.5,.730,3.9,8.0,11.9,2.9,1.3,1.4,2.9,5.7,21.8,,104,106
1151,LeRon Ellis,ellisle02,Career,,,NBA,,91,2,857,6.4,14.7,.433,0.0,0.0,,6.4,14.7,.433,3.3,5.4,.613,5.0,7.7,12.7,1.7,1.4,2.1,2.0,6.1,16.0,,102,106
1153,Monta Ellis,ellismo01,Career,,,NBA,,833,713,29011,9.8,21.8,.451,1.3,4.0,.314,8.6,17.8,.482,4.6,6.0,.772,0.9,4.0,4.9,6.6,2.4,0.5,3.9,3.4,25.6,,103,109
1154,Pervis Ellison,ellispe01,Career,,,NBA,,474,245,11593,7.8,15.3,.510,0.0,0.1,.050,7.8,15.3,.513,3.6,5.2,.689,4.7,8.9,13.6,3.0,1.3,3.2,3.4,6.4,19.3,,105,106
1155,Len Elmore,elmorle01,Career,,,TOT,,658,75,12389,6.0,14.7,.410,0.0,0.0,.200,6.0,14.6,.410,2.6,3.5,.726,4.1,8.3,12.4,2.3,2.1,2.5,2.9,6.7,14.6,,95,99
1156,Francisco Elson,elsonfr01,Career,,,NBA,,472,149,7207,5.2,10.9,.478,0.0,0.1,.188,5.2,10.8,.481,2.0,2.8,.700,3.6,8.2,11.8,1.9,1.6,1.8,2.6,7.2,12.5,,100,103
1157,Darrell Elston,elstoda01,Career,,,TOT,,77,,1909,6.3,15.6,.402,0.1,0.5,.167,6.2,15.1,.409,2.3,3.1,.752,1.2,3.0,4.2,5.1,2.1,0.2,3.1,4.3,14.9,,91,109
1158,Melvin Ely,elyme01,Career,,,NBA,,375,55,6005,6.8,14.8,.460,0.0,0.0,.000,6.8,14.8,.461,3.7,5.9,.625,3.9,6.7,10.6,2.3,0.9,1.8,3.4,6.7,17.3,,97,108
1159,Joel Embiid,embiijo01,Career,,,NBA,,94,94,2698,12.7,26.6,.478,1.8,5.6,.327,10.9,21.0,.518,9.9,12.8,.774,3.7,13.1,16.7,4.8,1.2,3.4,6.3,5.8,37.2,,105,101
1161,Andre Emmett,emmetan01,Career,,,NBA,,14,0,73,4.4,9.6,.462,0.0,0.7,.000,4.4,8.8,.500,5.9,9.6,.615,1.5,4.4,5.9,0.7,1.5,0.7,2.2,4.4,14.7,,101,109
1163,Chris Engler,englech01,Career,,,NBA,,195,2,1405,4.6,11.3,.411,0.0,0.0,,4.6,11.3,.411,2.2,3.3,.677,4.6,8.4,13.0,1.5,1.1,1.4,3.1,9.2,11.5,,92,108
1164,Wayne Englestad,englewa01,Career,,,NBA,,11,0,50,9.8,25.9,.379,0.0,0.0,,9.8,25.9,.379,5.4,8.9,.600,4.5,9.8,14.3,6.2,0.9,0.0,2.7,10.7,25.0,,96,107
1165,A.J. English,engliaj01,Career,,,NBA,,151,18,3108,9.8,22.4,.435,0.1,1.0,.138,9.6,21.4,.449,4.1,5.3,.778,2.2,2.8,5.0,5.1,0.9,0.4,3.2,4.5,23.8,,99,113
1166,Alex English,englial01,Career,,,NBA,,1193,753,38063,12.5,24.8,.507,0.0,0.1,.217,12.5,24.7,.508,5.0,6.1,.832,3.3,4.4,7.7,5.1,1.3,1.0,3.3,3.6,30.2,,111,110
1168,Jo Jo English,englijo01,Career,,,NBA,,50,0,577,6.7,16.1,.416,1.0,2.9,.344,5.7,13.2,.432,1.8,3.3,.556,1.1,3.8,4.9,4.2,1.6,1.2,4.2,7.7,16.2,,87,105
1169,Kim English,engliki01,Career,,,NBA,,41,0,407,5.5,14.5,.375,1.8,6.5,.280,3.6,8.1,.452,2.7,3.8,.724,1.0,3.8,4.8,3.4,2.1,0.4,2.5,6.0,15.5,,96,110
1170,Scott English,englisc01,Career,,,TOT,,76,,1364,7.1,17.0,.414,0.0,0.3,.100,7.1,16.6,.419,2.4,3.1,.770,4.4,8.2,12.6,3.1,1.7,0.7,3.2,4.1,16.7,,95,107
1172,James Ennis,ennisja01,Career,,,NBA,,215,58,4414,5.5,12.1,.455,1.8,5.0,.362,3.7,7.1,.521,3.3,4.1,.810,2.5,5.6,8.1,2.3,1.5,0.7,2.0,4.8,16.2,,114,109
1173,Tyler Ennis,ennisty01,Career,,,NBA,,180,21,2183,6.6,16.0,.416,1.4,4.4,.318,5.2,11.6,.453,1.5,1.9,.756,1.0,4.2,5.1,7.5,2.0,0.4,3.6,5.0,16.2,,96,110
1175,Semih Erden,erdense01,Career,,,NBA,,69,17,928,5.7,10.5,.546,0.0,0.0,,5.7,10.5,.546,3.4,5.7,.594,3.2,7.6,10.8,1.7,1.4,1.7,2.8,9.3,14.9,,104,103
1178,Julius Erving,ervinju01,Career,,,TOT,,1088,442,38721,12.0,23.6,.506,0.2,0.7,.298,11.8,23.2,.510,6.4,8.2,.777,3.5,6.5,10.0,5.4,2.5,2.2,3.9,3.6,30.5,,112,100
1179,Evan Eschmeyer,eschmev01,Career,,,NBA,,153,65,2138,3.9,8.3,.463,0.0,0.0,,3.9,8.3,.463,2.6,4.1,.621,5.4,9.3,14.6,1.9,1.7,2.3,2.3,9.7,10.3,,105,102
1181,Vincenzo Esposito,esposvi01,Career,,,NBA,,30,0,282,6.6,18.3,.360,2.4,10.2,.232,4.2,8.0,.523,5.7,7.1,.795,0.7,2.2,2.9,4.2,1.3,0.0,7.1,4.9,21.2,,84,117
1184,Brian Evans,evansbr01,Career,,,NBA,,102,1,1097,7.1,18.6,.381,1.8,5.3,.343,5.3,13.3,.396,2.5,3.0,.820,2.8,5.3,8.1,3.8,1.7,0.9,2.1,5.7,18.4,,103,106
1185,Earl Evans,evansea01,Career,,,NBA,,36,,381,7.4,16.5,.450,0.8,2.1,.389,6.6,14.3,.459,2.8,4.9,.571,3.1,5.8,8.8,4.4,1.6,0.1,4.2,7.5,18.5,,95,110
1186,Jawun Evans,evansja01,Career,,,NBA,,48,4,778,5.6,15.8,.352,0.9,3.4,.278,4.6,12.4,.372,2.4,3.1,.776,0.6,4.7,5.2,6.2,2.2,0.4,2.7,6.1,14.4,,91,110
1187,Jeremy Evans,evansje01,Career,,,NBA,,249,9,2621,7.3,12.8,.568,0.1,0.5,.231,7.1,12.3,.582,2.9,4.2,.687,4.8,8.0,12.8,2.1,1.8,2.4,1.7,5.8,17.6,,122,107
1188,Maurice Evans,evansma01,Career,,,NBA,,562,123,10918,6.9,15.6,.442,2.1,5.6,.363,4.8,9.9,.487,2.2,2.8,.785,2.7,4.0,6.7,2.0,1.4,0.4,1.3,4.6,18.0,,113,110
1189,Mike Evans,evansmi01,Career,,,NBA,,591,15,9858,8.3,18.4,.452,1.0,3.4,.307,7.3,15.0,.485,2.9,3.5,.807,0.8,2.8,3.7,6.9,1.9,0.2,3.7,5.3,20.5,,101,110
1190,Reggie Evans,evansre01,Career,,,NBA,,809,372,15572,3.8,8.1,.465,0.0,0.0,.091,3.8,8.0,.467,3.6,6.9,.528,6.7,12.8,19.6,1.6,1.9,0.4,3.0,6.4,11.2,,103,104
1191,Tyreke Evans,evansty01,Career,,,NBA,,525,408,16840,9.9,22.2,.445,1.3,4.0,.318,8.6,18.2,.473,5.2,6.8,.759,1.4,6.2,7.6,8.2,2.1,0.6,4.2,3.6,26.2,,104,109
1192,Daniel Ewing,ewingda01,Career,,,NBA,,127,8,1683,5.1,13.0,.389,1.1,3.8,.295,3.9,9.2,.429,2.2,2.8,.780,1.0,3.9,4.9,5.4,2.2,0.3,3.3,4.6,13.5,,92,106
1193,Patrick Ewing,ewingpa01,Career,,,NBA,,1183,1122,40594,12.2,24.1,.504,0.0,0.2,.152,12.1,23.9,.507,6.8,9.1,.740,3.4,11.1,14.5,2.8,1.4,3.6,4.4,5.1,31.1,,106,99
1194,Patrick Ewing,ewingpa02,Career,,,NBA,,7,0,19,0.0,14.2,.000,0.0,5.7,.000,0.0,8.5,.000,8.5,11.4,.750,2.8,2.8,5.7,5.7,0.0,2.8,2.8,2.8,8.5,,64,109
1195,Dante Exum,exumda01,Career,,,NBA,,157,67,3178,5.5,13.8,.397,2.2,7.0,.310,3.3,6.7,.488,1.6,2.1,.768,1.0,3.6,4.6,5.5,1.1,0.4,3.5,5.0,14.7,,97,109
1196,Christian Eyenga,eyengch01,Career,,,NBA,,51,18,1049,6.7,16.3,.411,1.3,4.6,.277,5.4,11.7,.464,1.1,1.8,.611,1.5,5.2,6.8,2.0,1.8,1.6,2.5,4.2,15.8,,88,111
1197,Festus Ezeli,ezelife01,Career,,,NBA,,170,61,2394,5.7,11.1,.513,0.0,0.0,,5.7,11.1,.513,3.4,6.0,.557,6.0,9.0,15.0,1.3,1.0,3.4,2.8,6.8,14.7,,107,102
1202,Kenneth Faried,farieke01,Career,,,NBA,,441,372,11000,9.2,17.0,.543,0.0,0.1,.100,9.2,16.9,.546,4.4,6.8,.655,6.2,10.3,16.5,2.0,1.5,1.7,2.7,5.0,22.9,,116,106
1204,Jordan Farmar,farmajo01,Career,,,NBA,,504,40,9840,7.6,18.0,.423,3.0,8.1,.374,4.6,9.9,.463,2.0,2.7,.739,0.8,4.2,5.0,7.6,2.0,0.3,3.6,3.7,20.3,,103,109
1205,Desmon Farmer,farmede01,Career,,,NBA,,11,0,86,5.6,18.0,.310,3.1,12.4,.250,2.5,5.6,.444,1.9,1.9,1.000,0.0,4.4,4.4,6.8,0.6,0.0,3.1,5.0,16.2,,90,111
1206,Jim Farmer,farmeji01,Career,,,NBA,,136,1,1454,8.9,20.8,.428,0.7,2.5,.282,8.2,18.3,.448,4.6,6.4,.730,2.5,3.5,6.0,3.6,1.4,0.1,3.8,5.3,23.2,,99,112
1208,Tony Farmer,farmeto01,Career,,,NBA,,101,11,1368,5.3,13.5,.395,0.4,2.0,.189,5.0,11.6,.429,8.7,11.3,.770,5.0,7.2,12.1,2.9,2.8,0.7,3.4,7.0,19.7,,108,105
1210,Vitor Faverani,favervi01,Career,,,NBA,,37,8,488,6.7,15.5,.435,1.3,4.2,.300,5.5,11.3,.486,2.5,3.9,.649,4.4,9.1,13.5,1.7,1.5,2.8,4.3,7.8,17.3,,92,104
1211,Derrick Favors,favorde01,Career,,,NBA,,551,361,14363,9.4,18.1,.517,0.1,0.3,.203,9.3,17.8,.522,4.4,6.6,.663,4.9,9.5,14.4,2.2,1.6,2.6,2.9,5.4,23.2,,109,104
1212,Nick Fazekas,fazekni01,Career,,,NBA,,26,0,269,8.9,15.9,.561,0.0,0.4,.000,8.9,15.5,.575,2.9,4.3,.682,6.6,10.7,17.3,2.1,1.6,2.1,2.5,4.8,20.8,,115,105
1216,Jamie Feick,feickja01,Career,,,NBA,,201,35,4316,4.3,10.1,.424,0.1,0.4,.400,4.1,9.7,.425,2.4,3.8,.629,6.3,11.2,17.5,1.7,1.4,1.1,1.9,5.3,11.1,,106,104
1219,Dave Feitl,feitlda01,Career,,,NBA,,275,58,3001,7.5,17.3,.433,0.0,0.1,.000,7.5,17.2,.436,4.0,5.3,.751,3.8,9.1,13.0,2.0,0.7,0.7,3.7,7.0,19.0,,95,109
1220,Kay Felder,feldeka01,Career,,,NBA,,57,0,523,7.8,21.5,.363,1.0,3.9,.268,6.7,17.6,.384,4.4,5.8,.754,0.5,4.8,5.3,7.4,2.0,0.8,4.4,4.7,21.0,,89,111
1221,Cristiano Felicio,feliccr01,Career,,,NBA,,147,15,2192,6.3,10.8,.582,0.0,0.1,.000,6.3,10.7,.588,2.9,4.4,.658,5.1,8.7,13.8,2.6,0.9,0.9,2.1,5.3,15.5,,121,109
1222,Carrick Felix,felixca01,Career,,,NBA,,7,0,38,9.5,19.0,.500,2.7,6.8,.400,6.8,12.2,.556,4.1,5.4,.750,1.4,6.8,8.1,5.4,0.0,0.0,5.4,5.4,25.8,,104,112
1223,Noel Felix,felixno01,Career,,,NBA,,12,0,82,3.8,16.0,.240,0.6,1.9,.333,3.2,14.1,.227,3.2,5.1,.625,1.9,6.4,8.3,1.3,1.3,1.9,5.1,8.3,11.5,,62,114
1225,Raymond Felton,feltora01,Career,,,NBA,,934,659,28397,7.4,18.0,.412,1.6,5.0,.328,5.8,13.0,.445,3.1,4.0,.789,1.0,4.2,5.2,9.2,2.1,0.4,3.6,3.4,19.6,,103,109
1228,Desmond Ferguson,fergude01,Career,,,NBA,,7,0,32,8.7,20.9,.417,5.2,13.9,.375,3.5,7.0,.500,0.0,3.5,.000,0.0,7.0,7.0,1.7,0.0,0.0,1.7,0.0,22.6,,97,110
1229,Terrance Ferguson,fergute01,Career,,,NBA,,59,12,728,4.4,10.9,.409,2.4,7.5,.318,2.0,3.3,.612,0.6,0.7,.900,1.3,1.7,3.0,1.2,1.6,0.7,0.8,5.4,11.9,,113,111
1230,Rudy Fernandez,fernaru01,Career,,,NBA,,249,10,5965,6.8,16.9,.399,3.8,10.5,.360,3.0,6.4,.463,3.3,3.9,.840,1.2,4.4,5.5,5.1,2.3,0.4,2.6,3.4,20.6,,112,108
1231,Eric Fernsten,fernser01,Career,,,NBA,,218,0,1643,5.6,12.6,.445,0.0,0.0,,5.6,12.6,.445,3.8,5.6,.675,4.2,6.6,10.8,2.4,1.5,1.5,2.1,5.0,15.0,,105,101
1233,Rolando Ferreira,ferrero01,Career,,,NBA,,12,0,34,1.4,24.5,.056,0.0,0.0,,1.4,24.5,.056,9.5,10.9,.875,5.4,12.2,17.7,1.4,0.0,1.4,8.2,9.5,12.2,,51,107
1234,Duane Ferrell,ferredu01,Career,,,NBA,,583,72,8734,8.2,17.2,.480,0.2,0.8,.288,8.0,16.3,.490,4.8,6.4,.750,3.2,3.4,6.6,3.0,1.8,0.6,3.0,5.2,21.5,,108,110
1235,Yogi Ferrell,ferreyo01,Career,,,NBA,,123,50,3399,6.8,16.3,.419,2.9,7.7,.378,3.9,8.6,.456,2.3,2.8,.814,0.7,4.6,5.3,5.3,1.5,0.3,2.2,3.6,18.8,,106,111
1238,Danny Ferry,ferryda01,Career,,,NBA,,917,186,18133,7.5,16.7,.446,2.0,5.1,.393,5.4,11.6,.470,2.2,2.7,.840,1.9,5.7,7.6,3.5,1.1,0.9,2.4,5.9,19.2,,106,106
1239,Kyrylo Fesenko,fesenky01,Career,,,NBA,,135,7,1107,5.9,11.8,.496,0.0,0.1,.000,5.9,11.7,.500,2.6,6.3,.410,4.5,8.1,12.6,1.9,0.9,2.5,3.1,10.5,14.3,,95,107
1241,Kenny Fields,fieldke01,Career,,,NBA,,184,21,2692,8.1,17.1,.474,0.1,0.3,.188,8.1,16.8,.479,3.7,5.0,.733,3.1,5.0,8.1,3.3,1.7,0.7,3.2,6.9,20.0,,103,107
1242,Landry Fields,fieldla01,Career,,,NBA,,255,176,6010,5.8,12.3,.473,1.0,3.1,.332,4.8,9.3,.520,2.1,3.1,.666,2.1,7.2,9.3,3.6,1.8,0.4,2.3,2.6,14.8,,107,107
1245,Larry Finch,finchla01,Career,,,ABA,,128,,3042,6.8,15.7,.431,0.4,1.3,.342,6.4,14.5,.439,3.5,4.3,.829,1.1,2.4,3.4,4.8,1.2,0.1,2.9,5.2,17.5,,100,112
1247,Michael Finley,finlemi01,Career,,,NBA,,1103,875,37996,9.2,20.8,.444,2.0,5.4,.375,7.2,15.5,.467,3.4,4.2,.811,1.5,5.1,6.6,4.5,1.4,0.4,2.2,2.5,23.9,,108,108
1249,Dorian Finney-Smith,finnedo01,Career,,,NBA,,98,44,1951,4.0,10.7,.371,1.8,6.2,.289,2.1,4.4,.485,1.4,1.9,.750,1.8,5.4,7.2,2.2,1.6,0.8,1.6,4.2,11.1,,98,110
1250,Matt Fish,fishma01,Career,,,NBA,,50,9,512,7.1,14.2,.500,0.0,0.1,.000,7.1,14.1,.504,3.5,5.6,.625,4.3,6.7,11.0,2.5,1.9,1.4,3.3,9.1,17.7,,102,109
1251,Derek Fisher,fishede01,Career,,,NBA,,1287,731,32719,5.9,14.7,.399,2.0,5.3,.374,3.9,9.5,.413,3.2,3.9,.817,0.7,3.5,4.2,6.0,2.1,0.2,2.3,4.2,16.9,,107,107
1253,Gerald Fitch,fitchge01,Career,,,NBA,,18,1,239,6.6,19.5,.337,1.5,5.7,.269,5.0,13.8,.365,3.7,5.0,.739,1.5,5.0,6.6,7.2,1.5,1.1,3.3,6.1,18.4,,93,105
1256,Marcus Fizer,fizerma01,Career,,,NBA,,289,35,6032,9.7,22.2,.435,0.2,1.0,.191,9.5,21.3,.446,4.9,7.0,.691,3.3,8.5,11.7,3.1,1.2,0.7,3.7,5.7,24.4,,94,107
1260,Vern Fleming,flemive01,Career,,,NBA,,893,523,24721,7.8,15.7,.498,0.1,0.4,.181,7.8,15.3,.507,4.3,5.6,.764,1.9,4.0,6.0,8.5,1.8,0.2,3.5,4.0,20.0,,111,110
1261,Luis Flores,florelu01,Career,,,NBA,,16,0,77,9.4,19.4,.483,3.3,6.7,.500,6.0,12.7,.474,1.3,1.3,1.000,0.7,1.3,2.0,7.4,1.3,0.0,7.4,6.0,23.4,,93,112
1262,Bruce Flowers,flowebr01,Career,,,NBA,,53,5,699,7.7,14.5,.534,0.0,0.1,.000,7.7,14.4,.539,2.9,3.7,.774,5.0,7.7,12.7,3.3,1.3,0.8,3.0,7.0,18.4,,112,106
1263,Sleepy Floyd,floydsl01,Career,,,NBA,,957,584,26383,8.0,18.1,.444,0.9,2.9,.324,7.1,15.2,.467,5.1,6.3,.815,1.1,3.4,4.5,9.3,2.0,0.4,4.1,3.6,22.1,,108,110
1264,Jonny Flynn,flynnjo01,Career,,,NBA,,163,90,3738,7.4,18.5,.400,1.6,4.7,.338,5.8,13.8,.420,3.8,4.7,.809,0.6,3.5,4.1,8.5,1.6,0.1,5.1,2.4,20.2,,94,114
1265,Mike Flynn,flynnmi01,Career,,,TOT,,211,,3376,7.1,16.9,.419,1.0,4.0,.253,6.8,15.6,.433,2.9,4.6,.629,2.5,3.3,5.8,6.0,1.9,0.3,2.1,3.6,17.4,,94,105
1268,Isaac Fontaine,fontais01,Career,,,NBA,,6,0,75,2.1,9.8,.214,0.7,3.5,.200,1.4,6.3,.222,2.8,4.2,.667,0.0,3.5,3.5,2.8,0.0,0.0,2.8,4.2,7.7,,66,113
1270,Jeff Foote,footeje01,Career,,,NBA,,4,0,39,2.8,8.4,.333,0.0,0.0,,2.8,8.4,.333,0.0,0.0,,1.4,7.0,8.4,0.0,0.0,1.4,2.8,7.0,5.6,,58,108
1271,Bryn Forbes,forbebr01,Career,,,NBA,,111,12,1713,6.8,16.7,.407,3.0,8.0,.374,3.8,8.7,.437,1.4,2.2,.662,0.4,3.4,3.8,2.9,0.8,0.1,1.4,3.6,18.0,,103,110
1272,Gary Forbes,forbega01,Career,,,NBA,,111,13,1504,8.1,18.8,.434,1.7,4.9,.340,6.5,13.9,.467,4.3,6.1,.702,1.9,5.6,7.5,3.6,1.6,0.3,3.4,4.6,22.2,,99,107
1273,Alphonso Ford,fordal01,Career,,,NBA,,11,0,114,7.4,23.9,.308,0.5,4.6,.100,6.9,19.3,.357,0.9,1.8,.500,3.7,5.5,9.2,4.6,1.4,0.0,4.1,3.2,16.1,,72,111
1274,Alton Ford,fordal02,Career,,,NBA,,73,0,524,7.0,13.9,.507,0.0,0.0,,7.0,13.9,.507,4.6,6.6,.697,3.5,8.9,12.5,1.1,0.6,0.8,3.7,11.6,18.7,,101,104
1276,Chris Ford,fordch01,Career,,,NBA,,720,201,20506,6.6,14.4,.460,0.9,2.5,.375,6.3,13.7,.464,1.8,2.4,.731,1.8,2.9,4.8,5.6,2.6,0.4,1.6,3.8,15.3,,103,102
1277,Don Ford,forddo01,Career,,,NBA,,474,1,9301,6.4,13.9,.464,0.0,0.1,.143,6.4,13.8,.465,1.9,2.5,.773,2.7,5.6,8.3,3.2,1.3,0.7,1.5,4.9,14.8,,102,103
1279,Phil Ford,fordph01,Career,,,NBA,,482,184,13503,7.3,15.7,.467,0.1,0.5,.210,7.2,15.3,.474,4.5,5.5,.820,0.6,2.4,2.9,10.6,2.0,0.1,4.6,4.4,19.2,,103,106
1280,Sharrod Ford,fordsh02,Career,,,NBA,,3,0,13,7.7,11.6,.667,0.0,0.0,,7.7,11.6,.667,0.0,0.0,,3.9,7.7,11.6,0.0,0.0,3.9,7.7,27.0,15.4,,78,104
1281,Sherell Ford,fordsh01,Career,,,NBA,,28,1,139,11.0,29.4,.375,1.5,9.2,.160,9.6,20.2,.473,9.6,12.5,.765,4.4,4.4,8.8,1.8,2.9,0.4,2.2,9.9,33.1,,104,102
1282,T.J. Ford,fordtj01,Career,,,NBA,,429,306,11882,7.9,18.3,.433,0.6,1.9,.289,7.4,16.4,.450,4.4,5.4,.815,1.3,4.5,5.8,10.8,2.1,0.2,4.5,4.2,20.8,,102,108
1285,Joseph Forte,fortejo01,Career,,,NBA,,25,0,125,4.7,20.2,.234,0.0,2.6,.000,4.7,17.6,.268,3.4,4.3,.800,2.1,5.2,7.3,7.3,2.6,0.0,5.6,3.0,12.9,,66,104
1286,Courtney Fortson,fortsco01,Career,,,NBA,,10,0,95,6.1,17.9,.344,1.7,7.3,.231,4.5,10.6,.421,5.6,8.4,.667,3.4,5.0,8.4,5.6,1.7,0.0,5.6,2.8,19.5,,89,108
1287,Danny Fortson,fortsda01,Career,,,NBA,,440,175,8832,7.1,15.0,.472,0.0,0.1,.167,7.1,14.9,.473,7.2,9.2,.785,7.1,11.8,18.8,1.8,1.1,0.6,3.9,9.2,21.4,,111,107
1289,Greg Foster,fostegr01,Career,,,NBA,,656,95,7974,6.9,15.6,.440,0.1,0.6,.225,6.7,15.1,.448,2.8,3.7,.748,3.3,7.8,11.1,2.3,0.6,1.3,3.1,8.0,16.7,,96,107
1290,Jeff Foster,fosteje01,Career,,,NBA,,764,345,15750,4.9,9.8,.497,0.0,0.2,.130,4.9,9.6,.504,2.6,4.3,.615,7.0,10.4,17.4,2.3,1.7,1.0,2.0,6.4,12.4,,115,102
1291,Jimmy Foster,fosteja01,Career,,,ABA,,89,,1158,5.1,13.7,.373,0.0,0.5,.071,5.1,13.1,.385,2.5,3.8,.673,1.5,3.1,4.5,7.3,2.2,0.3,5.8,7.6,12.8,,80,107
1292,Rod Foster,fostero01,Career,,,NBA,,207,35,3446,8.6,19.5,.440,1.0,3.3,.298,7.6,16.2,.469,3.1,4.0,.768,1.0,2.5,3.5,6.5,1.9,0.1,3.9,6.0,21.2,,98,110
1293,Antonis Fotsis,fotsian01,Career,,,NBA,,28,1,320,6.9,17.1,.404,1.2,3.8,.304,5.8,13.3,.432,2.8,3.3,.850,4.1,6.1,10.2,1.6,1.5,1.8,3.5,3.6,17.8,,93,107
1294,Evan Fournier,fournev01,Career,,,NBA,,376,234,10229,8.6,19.1,.448,3.0,7.8,.379,5.6,11.3,.495,3.9,4.8,.804,0.8,4.1,4.9,4.2,1.5,0.2,2.8,4.3,24.0,,107,112
