,Name,link,Year,blank,blank,League,blank,Games Played,Games Started,MinPerGame,FGPerGame,FGAPerGame,FG%PerGame,3pPerGame,3PAPerGame,3p%PerGame,2pPerGame,2pAPerGame,2p%PerGame,eFG%PerGame,FTPerGame,FTAPerGame,FT%PerGame,ORGPerGame,DRBPerGame,TotalRebPerGame,AstPerGame,StealPerGame,BlkPerGame,TOVPerGame,FoulsPerGame,PtsPerGame
23,Bam Adebayo,adebaba01,Career,,,NBA,,65,19,20.1,2.6,5.0,.514,0.0,0.1,.000,2.6,4.9,.525,.514,1.9,2.6,.708,1.7,3.8,5.5,1.5,0.4,0.6,0.9,2.1,7.0
25,Jeff Adrien,adrieje01,Career,,,NBA,,153,17,14.0,1.7,3.6,.474,0.0,0.0,.000,1.7,3.6,.476,.474,1.2,1.9,.628,1.4,2.9,4.3,0.7,0.3,0.5,0.6,1.7,4.6
26,Arron Afflalo,afflaar01,Career,,,NBA,,760,537,27.4,3.9,8.7,.450,1.1,2.9,.386,2.8,5.8,.481,.514,1.8,2.2,.825,0.4,2.4,2.9,1.8,0.4,0.2,1.1,1.9,10.8
27,Maurice Ager,agerma01,Career,,,NBA,,82,4,6.2,0.8,2.3,.339,0.1,0.5,.250,0.6,1.8,.366,.368,0.4,0.6,.566,0.1,0.5,0.6,0.2,0.1,0.1,0.4,0.8,2.1
28,Mark Aguirre,aguirma01,Career,,,NBA,,923,639,30.0,7.8,16.1,.484,0.4,1.4,.312,7.4,14.7,.500,.498,4.0,5.4,.741,1.8,3.1,5.0,3.1,0.7,0.3,2.5,2.8,20.0
29,Blake Ahearn,ahearbl01,Career,,,NBA,,19,0,11.9,1.1,4.1,.273,0.7,2.5,.298,0.4,1.6,.233,.364,1.7,1.7,.970,0.1,1.1,1.2,1.2,0.4,0.0,1.2,1.4,4.6
30,Danny Ainge,aingeda01,Career,,,NBA,,1042,508,26.6,4.5,9.5,.469,1.0,2.5,.378,3.5,7.0,.502,.519,1.6,1.9,.846,0.7,2.0,2.7,4.0,1.1,0.1,1.5,2.4,11.5
32,Alexis Ajinca,ajincal01,Career,,,NBA,,293,76,13.3,2.2,4.4,.503,0.0,0.1,.286,2.2,4.2,.510,.507,0.9,1.1,.797,1.2,2.7,3.9,0.5,0.3,0.6,0.8,2.3,5.3
34,Josh Akognon,akognjo01,Career,,,NBA,,3,0,3.0,0.7,1.3,.500,0.3,0.7,.500,0.3,0.7,.500,.625,0.0,0.0,,0.0,0.3,0.3,0.3,0.0,0.0,0.0,1.0,1.7
35,Solomon Alabi,alabiso01,Career,,,NBA,,26,0,7.0,0.6,2.0,.314,0.0,0.0,,0.6,2.0,.314,.314,0.3,0.4,.700,0.8,1.5,2.3,0.2,0.2,0.4,0.3,0.6,1.5
36,Mark Alarie,alarima01,Career,,,NBA,,325,41,16.9,3.2,6.7,.475,0.1,0.4,.252,3.1,6.3,.490,.483,1.0,1.3,.775,1.3,2.1,3.4,1.1,0.4,0.3,1.0,2.2,7.5
38,Furkan Aldemir,aldemfu01,Career,,,NBA,,41,9,13.2,1.0,1.9,.513,0.0,0.1,.000,1.0,1.8,.548,.513,0.3,0.7,.481,1.9,2.4,4.3,0.7,0.4,0.4,0.4,2.3,2.3
39,Cole Aldrich,aldrico01,Career,,,NBA,,337,23,10.0,1.3,2.4,.527,0.0,0.0,,1.3,2.4,.527,.527,0.5,0.7,.738,1.0,2.4,3.4,0.5,0.4,0.7,0.6,1.5,3.1
40,LaMarcus Aldridge,aldrila01,Career,,,NBA,,864,823,34.6,7.9,16.1,.488,0.1,0.4,.292,7.7,15.7,.494,.492,3.5,4.4,.806,2.7,5.6,8.3,1.9,0.7,1.1,1.6,2.5,19.4
41,Chuck Aleksinas,aleksch01,Career,,,NBA,,74,4,15.1,2.2,4.6,.478,0.0,0.0,.000,2.2,4.5,.479,.478,0.7,1.0,.733,1.2,2.5,3.6,0.5,0.2,0.2,1.0,2.3,5.1
42,Cliff Alexander,alexacl01,Career,,,NBA,,8,0,4.5,0.6,1.3,.500,0.0,0.0,,0.6,1.3,.500,.500,0.0,0.0,,0.3,0.5,0.8,0.0,0.1,0.3,0.1,0.1,1.3
43,Cory Alexander,alexaco01,Career,,,NBA,,307,35,15.8,1.9,4.9,.389,0.8,2.2,.354,1.1,2.7,.417,.468,0.9,1.1,.756,0.3,1.3,1.6,2.7,0.9,0.1,1.5,1.7,5.5
44,Courtney Alexander,alexaco02,Career,,,NBA,,187,59,21.7,3.5,8.3,.422,0.2,0.6,.339,3.3,7.7,.429,.435,1.8,2.2,.813,0.7,1.5,2.2,1.2,0.6,0.1,1.1,2.0,9.0
45,Gary Alexander,alexaga01,Career,,,NBA,,11,0,5.0,0.7,1.3,.571,0.0,0.0,,0.7,1.3,.571,.571,0.3,0.8,.333,0.6,0.7,1.4,0.2,0.3,0.0,0.7,0.9,1.7
46,Joe Alexander,alexajo01,Career,,,NBA,,67,0,11.1,1.5,3.7,.410,0.2,0.7,.340,1.3,3.0,.426,.442,0.9,1.3,.698,0.7,1.1,1.8,0.7,0.2,0.4,0.8,1.7,4.2
47,Victor Alexander,alexavi01,Career,,,NBA,,286,155,20.1,3.8,7.4,.518,0.1,0.2,.286,3.8,7.2,.525,.522,1.1,1.8,.634,1.6,3.3,4.8,0.9,0.5,0.6,1.3,2.5,8.9
48,Steve Alford,alforst01,Career,,,NBA,,169,3,9.7,1.7,3.8,.459,0.2,0.6,.324,1.5,3.1,.487,.487,0.8,0.9,.870,0.1,0.7,0.9,1.0,0.5,0.1,0.5,0.7,4.4
51,Jarrett Allen,allenja01,Career,,,NBA,,67,26,19.7,3.3,5.6,.586,0.1,0.2,.286,3.2,5.4,.597,.591,1.6,2.1,.784,2.1,3.3,5.4,0.7,0.4,1.1,1.1,2.0,8.2
52,Jerome Allen,allenje01,Career,,,NBA,,117,1,11.2,1.0,2.8,.350,0.3,1.1,.317,0.6,1.7,.370,.411,0.6,0.9,.630,0.3,0.8,1.1,1.7,0.4,0.1,0.9,1.1,2.9
53,Kadeem Allen,allenka01,Career,,,NBA,,12,0,3.3,0.1,0.5,.167,0.0,0.3,.000,0.1,0.3,.333,.167,0.3,0.3,.750,0.1,0.3,0.3,0.3,0.1,0.0,0.3,0.4,0.4
54,Lavoy Allen,allenla01,Career,,,NBA,,388,87,17.8,2.1,4.5,.471,0.0,0.0,.133,2.1,4.5,.474,.472,0.5,0.7,.682,1.8,2.9,4.8,1.0,0.3,0.6,0.7,1.8,4.8
56,Malik Allen,allenma01,Career,,,NBA,,478,125,15.2,2.2,4.9,.439,0.0,0.0,.188,2.2,4.9,.441,.440,0.5,0.7,.778,1.0,1.9,2.8,0.5,0.3,0.5,0.7,1.9,4.9
57,Randy Allen,allenra01,Career,,,NBA,,70,6,11.3,1.6,3.7,.442,0.0,0.1,.000,1.6,3.6,.456,.442,0.3,0.6,.533,0.7,1.3,2.1,0.3,0.2,0.3,0.4,1.6,3.6
58,Ray Allen,allenra02,Career,,,NBA,,1300,1149,35.6,6.6,14.6,.452,2.3,5.7,.400,4.3,8.9,.485,.530,3.4,3.8,.894,0.9,3.1,4.1,3.4,1.1,0.2,2.1,2.2,18.9
59,Tony Allen,allento01,Career,,,NBA,,820,441,22.0,3.2,6.6,.475,0.2,0.5,.282,3.0,6.1,.492,.487,1.7,2.3,.709,1.2,2.3,3.5,1.3,1.4,0.4,1.4,2.4,8.1
62,Lance Allred,allrela01,Career,,,NBA,,3,0,3.3,0.3,1.3,.250,0.0,0.0,,0.3,1.3,.250,.250,0.3,0.7,.500,0.0,0.3,0.3,0.0,0.0,0.0,0.0,0.3,1.0
63,Darrell Allums,allumda01,Career,,,NBA,,22,,12.5,1.0,3.0,.343,0.0,0.0,.000,1.0,3.0,.348,.343,0.6,1.0,.591,0.9,2.1,3.0,1.1,0.2,0.4,1.0,2.3,2.7
64,Morris Almond,almonmo01,Career,,,NBA,,38,1,9.5,1.1,3.0,.381,0.2,0.6,.292,0.9,2.3,.404,.412,0.7,0.9,.743,0.3,0.9,1.2,0.3,0.3,0.1,0.5,1.1,3.1
65,Derrick Alston,alstode01,Career,,,NBA,,139,42,19.1,2.3,4.7,.489,0.0,0.1,.143,2.3,4.6,.493,.490,0.8,1.7,.487,1.6,2.1,3.8,0.7,0.7,0.6,0.8,2.1,5.4
66,Rafer Alston,alstora01,Career,,,NBA,,671,452,28.9,3.7,9.5,.383,1.5,4.2,.354,2.2,5.3,.407,.461,1.3,1.8,.729,0.4,2.5,2.8,4.8,1.2,0.2,1.8,2.1,10.1
67,Peter Aluma,alumape01,Career,,,NBA,,2,0,2.5,0.5,1.0,.500,0.0,0.0,,0.5,1.0,.500,.500,0.0,0.0,,0.5,0.5,1.0,0.0,0.5,0.5,1.0,2.0,1.0
68,John Amaechi,amaecjo01,Career,,,NBA,,294,93,16.4,2.3,5.6,.403,0.0,0.0,.077,2.3,5.6,.405,.403,1.7,2.6,.671,0.8,1.8,2.6,0.8,0.3,0.3,1.3,1.7,6.2
69,Ashraf Amaya,amayaas01,Career,,,NBA,,85,34,14.7,1.6,3.4,.455,0.0,0.0,.500,1.6,3.4,.455,.457,1.3,2.1,.633,1.6,2.6,4.2,0.4,0.3,0.2,0.8,2.1,4.5
70,Al-Farouq Aminu,aminual01,Career,,,NBA,,584,343,24.7,2.8,6.5,.423,0.7,2.2,.338,2.0,4.4,.464,.478,1.2,1.7,.726,1.4,4.5,5.9,1.2,1.0,0.6,1.3,1.9,7.5
71,Lou Amundson,amundlo01,Career,,,NBA,,428,42,12.9,1.5,3.2,.474,0.0,0.0,.000,1.5,3.2,.475,.474,0.6,1.4,.444,1.5,2.1,3.6,0.4,0.4,0.7,0.7,2.0,3.7
73,Chris Andersen,anderch01,Career,,,NBA,,695,45,17.7,1.9,3.6,.532,0.0,0.1,.221,1.9,3.5,.541,.535,1.5,2.3,.654,1.7,3.3,5.0,0.5,0.4,1.4,0.7,1.9,5.4
74,David Andersen,anderda03,Career,,,NBA,,103,0,12.3,2.0,4.5,.440,0.3,1.0,.347,1.6,3.5,.467,.478,0.6,0.9,.674,0.7,2.1,2.8,0.6,0.2,0.2,0.6,1.5,4.9
75,Alan Anderson,anderal01,Career,,,NBA,,330,66,20.6,2.6,6.3,.405,1.0,2.9,.344,1.6,3.4,.457,.484,1.2,1.5,.816,0.5,1.7,2.2,1.1,0.6,0.1,0.9,1.8,7.3
77,Antonio Anderson,anderan02,Career,,,NBA,,1,0,15.0,1.0,3.0,.333,0.0,0.0,,1.0,3.0,.333,.333,0.0,0.0,,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0
81,Derek Anderson,anderde01,Career,,,NBA,,615,390,29.2,3.9,9.6,.408,1.0,3.1,.341,2.9,6.6,.440,.463,3.0,3.6,.853,0.7,2.5,3.2,3.4,1.1,0.1,1.7,2.0,12.0
82,Dwight Anderson,anderdw01,Career,,,NBA,,5,0,6.6,1.4,2.8,.500,0.0,0.0,,1.4,2.8,.500,.500,1.4,2.0,.700,0.0,0.4,0.4,0.6,0.2,0.0,1.0,1.4,4.2
83,Eric Anderson,anderer01,Career,,,NBA,,27,0,3.1,0.4,1.3,.343,0.1,0.1,1.000,0.4,1.2,.303,.371,0.6,1.0,.593,0.4,0.7,1.1,0.2,0.1,0.1,0.3,0.9,1.6
84,Greg Anderson,andergr01,Career,,,NBA,,680,315,20.6,3.0,6.0,.492,0.0,0.0,.087,3.0,6.0,.494,.492,1.4,2.5,.557,2.1,4.1,6.2,0.6,0.7,0.9,1.4,2.6,7.3
85,J.J. Anderson,anderjj01,Career,,,NBA,,157,2,12.5,1.9,4.2,.465,0.0,0.1,.000,1.9,4.1,.471,.465,0.9,1.6,.558,1.2,1.6,2.8,0.7,0.7,0.2,0.8,1.6,4.8
86,James Anderson,anderja01,Career,,,NBA,,247,83,17.5,2.1,5.2,.411,0.8,2.5,.321,1.3,2.7,.495,.488,0.7,0.9,.755,0.4,1.8,2.3,1.2,0.5,0.2,0.9,1.2,5.8
88,Justin Anderson,anderju01,Career,,,NBA,,164,19,14.3,2.0,4.8,.418,0.7,2.2,.296,1.4,2.6,.523,.487,1.0,1.3,.782,0.7,2.1,2.8,0.7,0.4,0.3,0.6,1.3,5.7
89,Kenny Anderson,anderke01,Career,,,NBA,,858,693,30.1,4.7,11.1,.421,0.6,1.8,.346,4.0,9.2,.436,.449,2.6,3.3,.790,0.8,2.3,3.1,6.1,1.5,0.1,2.1,2.3,12.6
91,Kyle Anderson,anderky01,Career,,,NBA,,252,96,17.7,1.9,4.0,.477,0.2,0.6,.331,1.7,3.4,.500,.500,0.8,1.2,.735,0.6,3.0,3.6,1.7,0.9,0.5,0.8,1.2,4.8
92,Michael Anderson,andermi01,Career,,,NBA,,36,12,20.3,2.0,4.9,.417,0.0,0.2,.143,2.0,4.7,.429,.420,1.6,2.3,.695,1.2,1.3,2.5,4.3,1.2,0.1,2.3,1.8,5.7
93,Nick Anderson,anderni01,Career,,,NBA,,800,636,31.2,5.5,12.4,.446,1.3,3.7,.356,4.2,8.7,.485,.500,2.1,3.1,.667,1.3,3.8,5.1,2.6,1.4,0.5,1.7,1.9,14.4
94,Richard Anderson,anderri01,Career,,,NBA,,407,30,14.7,2.2,5.4,.412,0.4,1.1,.333,1.9,4.3,.432,.446,0.7,0.9,.762,1.1,2.4,3.5,1.5,0.6,0.2,0.9,1.7,5.6
95,Ron Anderson,anderro01,Career,,,NBA,,664,79,22.8,4.4,9.4,.471,0.2,0.6,.287,4.3,8.8,.482,.479,1.6,2.0,.814,1.3,2.2,3.5,1.4,0.7,0.1,1.1,1.5,10.6
96,Ryan Anderson,anderry01,Career,,,NBA,,621,281,26.5,4.4,10.4,.423,2.1,5.5,.382,2.3,4.8,.471,.525,1.9,2.2,.855,2.0,3.4,5.4,0.9,0.5,0.3,1.0,2.0,12.8
97,Shandon Anderson,andersh01,Career,,,NBA,,719,226,22.2,2.8,6.1,.457,0.4,1.4,.316,2.3,4.7,.498,.492,1.4,1.9,.739,0.8,2.3,3.1,1.4,0.8,0.3,1.3,2.0,7.4
98,Willie Anderson,anderwi01,Career,,,NBA,,555,432,28.8,5.1,10.7,.471,0.2,0.7,.266,4.9,10.1,.485,.479,1.9,2.4,.786,1.0,2.8,3.8,3.8,1.1,0.6,2.1,2.7,12.2
100,Martynas Andriuskevicius,andrima01,Career,,,NBA,,6,0,1.5,0.0,0.2,.000,0.0,0.0,,0.0,0.2,.000,.000,0.0,0.0,,0.2,0.5,0.7,0.0,0.3,0.0,0.0,0.2,0.0
102,Ike Anigbogu,anigbik01,Career,,,NBA,,10,0,2.8,0.4,0.9,.444,0.0,0.0,,0.4,0.9,.444,.444,0.5,0.6,.833,0.5,0.4,0.9,0.0,0.1,0.3,0.2,0.1,1.3
103,Michael Ansley,anslemi01,Career,,,NBA,,149,6,14.4,2.6,5.0,.513,0.0,0.0,,2.6,5.0,.513,.513,1.7,2.4,.722,2.1,2.1,4.2,0.4,0.3,0.2,0.6,1.9,6.9
104,Chris Anstey,anstech01,Career,,,NBA,,155,23,13.9,2.0,4.7,.413,0.0,0.2,.138,1.9,4.5,.424,.416,1.3,1.7,.755,1.1,2.3,3.4,0.8,0.5,0.4,0.9,2.4,5.2
105,Giannis Antetokounmpo,antetgi01,Career,,,NBA,,390,325,32.7,6.3,12.3,.508,0.4,1.5,.288,5.8,10.8,.538,.525,4.2,5.6,.745,1.5,6.0,7.5,3.8,1.2,1.3,2.4,3.0,17.2
106,Thanasis Antetokounmpo,antetth01,Career,,,NBA,,2,0,3.0,1.5,2.0,.750,0.0,0.5,.000,1.5,1.5,1.000,.750,0.0,0.0,,0.0,0.5,0.5,0.0,0.0,0.0,0.0,1.0,3.0
107,Carmelo Anthony,anthoca01,Career,,,NBA,,1050,1050,35.9,8.6,19.2,.449,1.3,3.7,.348,7.4,15.6,.473,.482,5.6,6.9,.812,1.7,4.8,6.5,3.0,1.0,0.5,2.7,2.9,24.2
108,Greg Anthony,anthogr01,Career,,,NBA,,757,227,20.9,2.5,6.3,.403,0.8,2.3,.349,1.7,4.0,.434,.467,1.4,1.9,.733,0.4,1.5,1.9,4.0,1.2,0.1,1.4,1.7,7.3
109,Joel Anthony,anthojo01,Career,,,NBA,,490,110,14.4,0.8,1.6,.513,0.0,0.0,,0.8,1.6,.513,.513,0.5,0.8,.662,1.1,1.6,2.8,0.2,0.3,1.1,0.5,1.7,2.2
110,Pero Antic,anticpe01,Career,,,NBA,,113,29,17.4,2.0,5.2,.392,1.0,3.0,.314,1.1,2.2,.500,.483,1.2,1.7,.730,1.0,2.5,3.5,0.9,0.3,0.2,0.9,2.3,6.3
111,OG Anunoby,anunoog01,Career,,,NBA,,68,56,20.0,2.1,4.6,.462,0.9,2.6,.360,1.2,2.0,.594,.563,0.5,0.8,.632,0.6,1.8,2.3,0.8,0.7,0.2,0.6,1.7,5.8
112,Keith Appling,applike01,Career,,,NBA,,5,0,5.4,0.4,1.6,.250,0.0,0.6,.000,0.4,1.0,.400,.250,0.4,0.4,1.000,0.0,0.2,0.2,0.2,0.2,0.0,0.6,1.0,1.2
113,Rafael Araujo,araujra01,Career,,,NBA,,139,75,11.4,1.1,2.8,.405,0.0,0.0,.250,1.1,2.7,.407,.406,0.5,0.8,.679,0.9,1.9,2.8,0.3,0.4,0.1,0.8,2.2,2.8
115,Robert Archibald,archiro01,Career,,,NBA,,44,3,7.5,0.3,1.2,.283,0.0,0.0,,0.3,1.2,.283,.283,0.5,1.1,.429,0.6,1.0,1.6,0.4,0.3,0.1,0.4,1.3,1.2
116,Tiny Archibald,architi01,Career,,,NBA,,876,268,35.6,6.7,14.4,.467,0.1,0.3,.224,6.7,14.3,.469,.468,5.3,6.6,.810,0.5,1.6,2.3,7.4,1.1,0.1,2.7,2.3,18.8
117,Ryan Arcidiacono,arcidry01,Career,,,NBA,,19,0,9.7,0.5,1.2,.435,0.3,1.0,.316,0.2,0.2,1.000,.565,0.2,0.2,1.000,0.0,0.5,0.5,1.1,0.5,0.0,0.3,0.5,1.6
118,Jim Ard,ardji01,Career,,,TOT,,431,,13.4,1.7,4.3,.402,0.0,0.1,.235,1.7,4.3,.404,.403,0.9,1.4,.662,1.3,2.9,4.3,0.6,0.2,0.5,1.3,1.7,4.4
119,Gilbert Arenas,arenagi01,Career,,,NBA,,552,455,35.1,6.7,16.0,.421,2.0,5.6,.351,4.8,10.5,.458,.482,5.2,6.5,.803,0.8,3.1,3.9,5.3,1.6,0.2,3.2,3.0,20.7
120,Trevor Ariza,arizatr01,Career,,,NBA,,939,638,29.5,3.8,8.9,.425,1.4,3.9,.354,2.4,5.0,.481,.503,1.6,2.2,.723,1.0,3.8,4.8,2.1,1.5,0.3,1.4,2.0,10.5
122,Joe Arlauckas,arlaujo01,Career,,,NBA,,9,0,9.4,1.6,4.8,.326,0.0,0.0,,1.6,4.8,.326,.326,0.7,0.9,.750,0.7,0.8,1.4,0.9,0.3,0.4,0.4,1.8,3.8
123,B.J. Armstrong,armstbj01,Career,,,NBA,,747,341,23.8,3.8,8.0,.477,0.6,1.4,.425,3.2,6.6,.487,.513,1.6,1.9,.856,0.3,1.5,1.8,3.3,0.7,0.1,1.2,1.5,9.8
125,Brandon Armstrong,armstbr01,Career,,,NBA,,108,0,6.5,0.9,2.7,.352,0.2,0.7,.333,0.7,2.0,.358,.395,0.1,0.2,.600,0.2,0.4,0.6,0.2,0.2,0.0,0.3,0.8,2.2
127,Darrell Armstrong,armstda01,Career,,,NBA,,840,337,23.7,3.2,7.7,.409,1.1,3.3,.334,2.1,4.5,.465,.480,1.7,2.0,.871,0.8,1.9,2.7,4.0,1.3,0.1,1.9,1.7,9.2
128,Hilton Armstrong,armsthi01,Career,,,NBA,,292,40,11.6,1.2,2.4,.501,0.0,0.0,.286,1.2,2.3,.503,.502,0.6,1.1,.582,1.0,1.6,2.6,0.3,0.3,0.5,0.8,1.9,3.0
132,Bob Arnzen,arnzebo01,Career,,,TOT,,111,,8.6,1.7,3.7,.465,0.0,0.1,.200,1.7,3.7,.468,.466,0.5,0.7,.800,0.6,0.6,2.0,0.3,0.2,0.1,0.3,0.8,4.0
133,Carlos Arroyo,arroyca01,Career,,,NBA,,569,191,18.7,2.5,5.7,.438,0.2,0.7,.338,2.3,5.0,.452,.459,1.4,1.7,.806,0.4,1.3,1.7,3.1,0.5,0.0,1.2,1.5,6.6
134,Darrell Arthur,arthuda01,Career,,,NBA,,503,106,17.8,2.7,6.2,.444,0.3,0.9,.352,2.4,5.3,.460,.470,0.7,0.9,.765,1.1,2.4,3.5,0.8,0.6,0.6,0.8,2.5,6.5
136,Jamel Artis,artisja01,Career,,,NBA,,9,0,12.7,0.9,3.0,.296,0.2,1.1,.200,0.7,1.9,.353,.333,0.3,0.6,.600,0.2,1.6,1.8,1.2,0.0,0.1,0.1,0.6,2.3
137,Omer Asik,asikom01,Career,,,NBA,,467,262,19.6,2.0,3.8,.528,0.0,0.0,.000,2.0,3.8,.529,.528,1.3,2.3,.551,2.2,5.0,7.2,0.6,0.4,0.7,1.2,2.0,5.3
138,Vincent Askew,askewvi01,Career,,,NBA,,467,27,20.0,2.6,5.4,.479,0.2,0.5,.300,2.4,4.9,.499,.494,1.7,2.3,.754,0.9,1.7,2.5,2.2,0.7,0.2,1.1,2.1,7.1
139,Keith Askins,askinke01,Career,,,NBA,,486,80,16.4,1.4,3.5,.401,0.6,1.6,.355,0.8,1.9,.440,.483,0.5,0.6,.717,1.1,1.9,2.9,0.8,0.6,0.3,0.7,2.3,3.8
142,Chucky Atkins,atkinch01,Career,,,NBA,,696,325,24.9,3.6,8.7,.412,1.3,3.7,.364,2.2,5.0,.447,.489,1.4,1.8,.772,0.3,1.4,1.7,3.4,0.7,0.1,1.5,1.8,9.9
145,Stacey Augmon,augmost01,Career,,,NBA,,1001,472,21.6,3.0,6.5,.469,0.0,0.1,.152,3.0,6.4,.473,.470,1.9,2.6,.728,1.3,1.9,3.2,1.6,1.0,0.3,1.2,1.7,8.0
146,D.J. Augustin,augusdj01,Career,,,NBA,,720,220,23.7,3.1,7.7,.406,1.3,3.3,.376,1.9,4.3,.429,.488,2.1,2.5,.862,0.3,1.5,1.8,3.8,0.6,0.0,1.5,1.5,9.6
147,James Augustine,augusja01,Career,,,NBA,,27,0,5.8,0.7,1.4,.514,0.0,0.0,,0.7,1.4,.514,.514,0.1,0.3,.500,0.6,0.6,1.2,0.1,0.2,0.1,0.2,0.7,1.6
148,Isaac Austin,austiis01,Career,,,NBA,,432,166,19.3,3.0,6.7,.446,0.0,0.1,.176,3.0,6.6,.451,.448,1.6,2.4,.670,1.4,3.3,4.7,1.2,0.5,0.5,1.6,2.2,7.6
150,Ken Austin,austike01,Career,,,NBA,,7,0,4.0,0.9,1.9,.462,0.0,0.0,,0.9,1.9,.462,.462,0.0,0.0,,0.3,0.1,0.4,0.1,0.1,0.1,0.4,1.0,1.7
151,Anthony Avent,aventan01,Career,,,NBA,,352,156,19.1,2.3,5.7,.403,0.0,0.0,.000,2.3,5.7,.404,.403,0.9,1.4,.686,1.6,2.9,4.5,0.8,0.5,0.6,1.2,2.3,5.6
