,Name,link,Year,Age,Position,Games Played,MinPerGame,FGPerGame,FGAPerGame,FG%PerGame,3pPerGame,3PAPerGame,3p%PerGame,2pPerGame,2pAPerGame,2p%PerGame,eFG%PerGame,FTPerGame,FTAPerGame,FT%PerGame,ORGPerGame,DRBPerGame,TotalRebPerGame,AstPerGame,StealPerGame,BlkPerGame,TOVPerGame,FoulsPerGame,PtsPerGame,FGPer100Poss,FGAPer100Poss,FG%Per100Poss,3pPer100Poss,3PAPer100Poss,3p%Per100Poss,2pPer100Poss,2pAPer100Poss,2p%Per100Poss,FTPer100Poss,FTAPer100Poss,FT%Per100Poss,ORGPer100Poss,DRBPer100Poss,TotalRebPer100Poss,AstPer100Poss,StealPer100Poss,BlkPer100Poss,TOVPer100Poss,FoulsPer100Poss,PtsPer100Poss,ORtg,DRtg,Team,League,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,ROY,All-Rookie Team,Draft_Pick
10,Michael Adams,adamsmi01,1985-86,23.0,PG,18,7.7,0.9,2.4,0.364,0.0,0.2,0.0,0.9,2.3,0.39,0.364,0.4,0.7,0.667,0.1,0.2,0.3,1.2,0.5,0.1,0.6,0.5,2.2,5.4,14.9,0.364,0.0,1.0,0.0,5.4,13.9,0.39,2.7,4.1,0.667,0.7,1.4,2.0,7.5,3.0,0.3,3.7,3.0,13.5,86.0,109.0,SAC,NBA,8.0,0.406,0.068,0.273,1.6,3.2,2.4,20.3,3.0,0.4,18.2,17.5,-0.2,0.1,-0.1,-0.027999999999999997,-5.2,-1.9,-7.1,-0.2,0,0,66.0
11,Steven Adams,adamsst01,2013-14,20.0,C,81,14.8,1.1,2.3,0.503,0.0,0.0,,1.1,2.3,0.503,0.503,1.0,1.7,0.581,1.8,2.3,4.1,0.5,0.5,0.7,0.9,2.5,3.3,3.9,7.8,0.503,0.0,0.0,,3.9,7.8,0.503,3.3,5.7,0.581,6.0,8.0,13.9,1.8,1.7,2.4,3.0,8.5,11.1,108.0,102.0,OKC,NBA,11.2,0.541,0.0,0.735,14.1,17.1,15.6,4.9,1.7,3.9,22.5,11.7,0.9,1.9,2.9,0.114,-2.1,2.4,0.3,0.7,0,1,12.0
12,Rafael Addison,addisra01,1986-87,22.0,SF,62,11.5,2.4,5.3,0.441,0.3,0.8,0.32,2.1,4.5,0.46299999999999997,0.465,0.8,1.0,0.797,0.7,1.0,1.7,0.7,0.4,0.1,0.9,1.2,5.8,9.7,21.9,0.441,1.1,3.3,0.32,8.6,18.6,0.46299999999999997,3.4,4.2,0.797,2.7,4.3,7.0,3.0,1.8,0.5,3.6,5.0,23.8,98.0,111.0,PHO,NBA,11.9,0.5,0.151,0.193,6.6,10.1,8.4,9.1,1.8,0.6,13.1,23.6,-0.1,0.5,0.4,0.024,-2.1,-2.4,-4.4,-0.4,0,0,39.0
13,Jeff Adrien,adrieje01,2010-11,24.0,PF,23,8.5,1.0,2.3,0.426,0.0,0.0,,1.0,2.3,0.426,0.426,0.5,0.8,0.579,1.0,1.5,2.5,0.4,0.2,0.2,0.4,1.2,2.5,5.9,13.9,0.426,0.0,0.0,,5.9,13.9,0.426,2.8,4.9,0.579,5.9,9.0,15.0,2.6,1.0,1.3,2.3,7.2,14.7,102.0,110.0,GSW,NBA,11.3,0.457,0.0,0.35200000000000004,13.0,20.7,16.8,7.3,1.0,1.9,12.6,16.1,0.1,0.1,0.2,0.051,-3.9,-1.2,-5.1,-0.2,0,0,
14,Arron Afflalo,afflaar01,2007-08,22.0,SG,75,12.9,1.3,3.2,0.41100000000000003,0.1,0.6,0.20800000000000002,1.2,2.6,0.461,0.43200000000000005,0.9,1.2,0.782,0.5,1.3,1.8,0.7,0.4,0.1,0.5,1.1,3.7,5.6,13.7,0.41100000000000003,0.6,2.7,0.20800000000000002,5.0,10.9,0.461,3.9,4.9,0.782,2.0,5.7,7.8,2.9,1.8,0.5,1.9,4.7,15.6,104.0,104.0,DET,NBA,10.2,0.494,0.19899999999999998,0.361,4.4,12.5,8.4,8.1,1.8,0.7,10.9,15.2,0.5,1.4,1.9,0.092,-2.3,0.6,-1.6,0.1,0,0,27.0
15,Maurice Ager,agerma01,2006-07,22.0,SG,32,6.7,0.7,2.2,0.314,0.2,0.5,0.33299999999999996,0.5,1.7,0.309,0.35,0.6,1.0,0.606,0.0,0.6,0.7,0.2,0.1,0.1,0.5,0.8,2.2,5.5,17.5,0.314,1.3,3.8,0.33299999999999996,4.3,13.8,0.309,5.0,8.3,0.606,0.3,5.0,5.3,1.8,1.0,0.8,3.8,6.8,17.3,79.0,106.0,DAL,NBA,2.9,0.408,0.214,0.47100000000000003,0.6,11.0,5.9,5.0,1.0,1.1,15.1,21.7,-0.5,0.2,-0.3,-0.06,-7.5,-1.8,-9.3,-0.4,0,0,28.0
16,Mark Aguirre,aguirma01,1981-82,22.0,SF,51,28.8,7.5,16.1,0.465,0.5,1.4,0.35200000000000004,7.0,14.7,0.475,0.48,3.3,4.8,0.68,1.7,3.1,4.9,3.2,0.7,0.4,2.6,3.0,18.7,12.6,27.2,0.465,0.8,2.4,0.35200000000000004,11.8,24.9,0.475,5.6,8.2,0.68,3.0,5.3,8.3,5.4,1.2,0.7,4.5,5.0,31.7,102.0,111.0,DAL,NBA,17.3,0.514,0.087,0.301,6.7,12.9,9.7,18.6,1.2,0.9,12.7,29.8,1.0,0.8,1.9,0.061,1.8,-1.7,0.1,0.8,0,0,1.0
17,Blake Ahearn,ahearbl01,2007-08,23.0,PG,12,14.8,1.3,4.8,0.263,0.8,2.8,0.294,0.4,1.9,0.217,0.35100000000000003,2.5,2.6,0.968,0.1,1.5,1.6,1.6,0.5,0.0,1.3,1.7,5.8,4.5,17.1,0.263,3.0,10.2,0.294,1.5,6.9,0.217,9.0,9.3,0.968,0.3,5.4,5.7,5.7,1.8,0.0,4.8,6.0,21.0,94.0,111.0,MIA,NBA,9.0,0.495,0.596,0.544,0.7,12.4,6.4,17.2,1.8,0.0,18.5,23.2,-0.1,0.1,0.0,-0.006,-2.8,-2.8,-5.6,-0.2,0,0,
18,Danny Ainge,aingeda01,1981-82,22.0,SG,53,10.6,1.5,4.2,0.35700000000000004,0.1,0.3,0.294,1.4,3.8,0.363,0.369,1.1,1.2,0.862,0.5,0.6,1.1,1.6,0.7,0.1,1.0,1.6,4.1,6.6,18.5,0.35700000000000004,0.4,1.4,0.294,6.2,17.1,0.363,4.7,5.5,0.862,2.1,2.6,4.7,7.3,3.1,0.3,4.4,7.2,18.4,94.0,104.0,BOS,NBA,10.1,0.439,0.077,0.294,5.0,5.9,5.5,19.7,3.1,0.3,17.5,21.5,-0.3,0.8,0.5,0.042,-2.6,-0.1,-2.6,-0.1,0,0,31.0
19,Alexis Ajinca,ajincal01,2008-09,20.0,PF,31,5.9,0.8,2.2,0.36200000000000004,0.0,0.1,0.0,0.8,2.2,0.373,0.36200000000000004,0.6,0.9,0.7140000000000001,0.3,0.7,1.0,0.1,0.2,0.2,0.4,1.1,2.3,7.5,20.6,0.36200000000000004,0.0,0.6,0.0,7.5,20.0,0.373,6.0,8.4,0.7140000000000001,2.7,6.3,9.0,0.9,2.1,1.8,3.6,10.2,20.9,86.0,104.0,CHA,NBA,7.0,0.43,0.028999999999999998,0.406,6.2,14.2,10.2,2.8,2.1,2.7,12.9,24.2,-0.3,0.3,-0.1,-0.018000000000000002,-8.1,-1.2,-9.3,-0.3,0,0,20.0
20,Josh Akognon,akognjo01,2012-13,26.0,PG,3,3.0,0.7,1.3,0.5,0.3,0.7,0.5,0.3,0.7,0.5,0.625,0.0,0.0,,0.0,0.3,0.3,0.3,0.0,0.0,0.0,1.0,1.7,11.3,22.7,0.5,5.7,11.3,0.5,5.7,11.3,0.5,0.0,0.0,,0.0,5.7,5.7,5.7,0.0,0.0,0.0,17.0,28.4,130.0,111.0,DAL,NBA,15.3,0.625,0.5,0.0,0.0,12.1,6.2,19.4,0.0,0.0,0.0,20.3,0.0,0.0,0.0,0.196,4.7,-4.9,-0.2,0.0,0,0,
21,Solomon Alabi,alabiso01,2010-11,22.0,C,12,4.9,0.3,1.3,0.2,0.0,0.0,,0.3,1.3,0.2,0.2,0.0,0.2,0.0,0.6,0.6,1.2,0.2,0.2,0.2,0.3,0.4,0.5,2.6,13.1,0.2,0.0,0.0,,2.6,13.1,0.2,0.0,1.8,0.0,6.1,6.1,12.3,1.8,1.8,1.8,2.6,4.4,5.3,61.0,112.0,TOR,NBA,2.0,0.18899999999999997,0.0,0.133,13.7,14.4,14.1,4.6,1.8,2.6,15.9,14.3,-0.2,0.0,-0.2,-0.142,-8.2,0.0,-8.2,-0.1,0,0,50.0
22,Mark Alarie,alarima01,1986-87,23.0,PF,64,17.3,3.4,6.9,0.49,0.0,0.1,0.222,3.4,6.8,0.495,0.49200000000000005,1.0,1.6,0.6629999999999999,1.1,2.2,3.3,1.2,0.3,0.4,0.9,2.2,7.9,8.8,18.0,0.49,0.1,0.4,0.222,8.8,17.7,0.495,2.7,4.1,0.6629999999999999,3.0,5.7,8.7,3.0,0.9,1.1,2.3,5.6,20.5,106.0,111.0,DEN,NBA,12.5,0.516,0.02,0.228,6.5,14.2,10.1,8.9,0.9,1.4,10.3,18.8,0.7,0.7,1.5,0.064,-2.1,-1.5,-3.6,-0.4,0,0,18.0
23,Cole Aldrich,aldrico01,2010-11,22.0,C,18,7.9,0.4,0.8,0.5329999999999999,0.0,0.0,,0.4,0.8,0.5329999999999999,0.5329999999999999,0.1,0.2,0.5,0.7,1.2,1.9,0.2,0.3,0.4,0.4,1.7,1.0,2.9,5.5,0.5329999999999999,0.0,0.0,,2.9,5.5,0.5329999999999999,0.7,1.5,0.5,4.7,8.0,12.8,1.5,1.8,2.6,2.9,10.9,6.6,98.0,104.0,OKC,NBA,7.0,0.537,0.0,0.267,11.1,17.5,14.4,4.0,1.8,3.6,32.3,7.9,0.0,0.2,0.2,0.066,-3.4,2.6,-0.8,0.0,0,0,11.0
24,LaMarcus Aldridge,aldrila01,2006-07,21.0,C,63,22.1,3.8,7.6,0.503,0.0,0.0,0.0,3.8,7.6,0.505,0.503,1.3,1.8,0.722,2.3,2.7,5.0,0.4,0.3,1.2,0.7,3.0,9.0,9.4,18.7,0.503,0.0,0.1,0.0,9.4,18.6,0.505,3.2,4.5,0.722,5.6,6.6,12.2,0.9,0.9,2.8,1.7,7.3,22.1,113.0,109.0,POR,NBA,17.1,0.5329999999999999,0.004,0.24,12.6,15.3,13.9,3.2,0.9,4.2,7.5,19.3,2.5,1.0,3.4,0.11800000000000001,-0.3,-0.6,-0.9,0.4,0,1,2.0
25,Chuck Aleksinas,aleksch01,1984-85,25.0,C,74,15.1,2.2,4.6,0.478,0.0,0.0,0.0,2.2,4.5,0.479,0.478,0.7,1.0,0.733,1.2,2.5,3.6,0.5,0.2,0.2,1.0,2.3,5.1,6.7,14.1,0.478,0.0,0.0,0.0,6.7,14.0,0.479,2.3,3.1,0.733,3.6,7.6,11.3,1.5,0.6,0.6,3.0,7.1,15.7,100.0,114.0,GSW,NBA,9.1,0.509,0.003,0.223,8.1,20.1,13.6,4.4,0.6,0.8,16.3,15.6,0.1,0.4,0.4,0.019,-3.9,-2.0,-5.9,-1.1,0,0,76.0
26,Cory Alexander,alexaco01,1995-96,22.0,PG,60,9.3,1.1,2.6,0.406,0.4,1.1,0.39399999999999996,0.6,1.5,0.41600000000000004,0.49,0.3,0.4,0.64,0.2,0.6,0.7,2.0,0.5,0.0,1.1,1.6,2.8,5.8,14.2,0.406,2.4,6.1,0.39399999999999996,3.4,8.2,0.41600000000000004,1.5,2.3,0.64,0.8,3.0,3.9,11.1,2.5,0.2,6.2,8.6,15.4,92.0,105.0,SAS,NBA,8.7,0.506,0.426,0.161,1.9,6.3,4.2,31.6,2.5,0.3,29.1,18.8,-0.5,0.7,0.2,0.021,-3.1,-1.6,-4.7,-0.4,0,0,29.0
27,Courtney Alexander,alexaco02,2000-01,23.0,PG,65,21.3,3.7,8.8,0.41700000000000004,0.3,0.7,0.37,3.4,8.1,0.42100000000000004,0.43200000000000005,1.9,2.3,0.82,0.6,1.6,2.2,1.0,0.7,0.1,1.2,2.1,9.5,8.9,21.4,0.41700000000000004,0.6,1.7,0.37,8.3,19.7,0.42100000000000004,4.6,5.6,0.82,1.6,3.8,5.3,2.3,1.7,0.2,2.8,5.2,23.1,96.0,109.0,TOT,NBA,11.6,0.484,0.08,0.262,3.5,8.4,5.9,8.0,1.7,0.3,10.5,23.2,0.3,0.5,0.8,0.027000000000000003,-1.8,-2.5,-4.4,-0.8,0,1,13.0
