,Name,link,Year,blank,blank,League,blank,Games Played,TotalMin,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,blank,OWS,DWS,WS,WS/48,blank,OBPM,DBPM,BPM,VORP
1083,Mike Dunleavy,dunlemi02,Career,,,NBA,,986,27340,13.9,.555,.388,.261,2.8,14.3,8.5,13.0,1.3,0.9,12.1,18.3,,33.1,25.5,58.5,.103,,0.5,-0.2,0.3,15.9
1084,Kris Dunn,dunnkr01,Career,,,NBA,,130,2858,11.5,.470,.211,.178,1.8,13.5,7.5,26.8,3.2,1.9,18.5,19.8,,-2.2,3.2,1.0,.017,,-2.5,1.5,-1.0,0.7
1086,T.R. Dunn,dunntr01,Career,,,NBA,,993,23080,10.4,.500,.005,.302,7.7,12.3,10.0,8.2,2.6,0.6,13.9,9.7,,18.2,21.6,39.8,.083,,-0.7,1.8,1.2,18.5
1087,Ronald Dupree,duprero01,Career,,,NBA,,157,1758,10.2,.463,.025,.400,7.5,14.5,11.0,9.7,1.7,1.2,13.0,18.0,,-0.2,2.1,1.9,.052,,-3.6,0.1,-3.5,-0.6
1088,Kevin Durant,duranke01,Career,,,NBA,,766,28439,25.3,.611,.257,.415,2.4,18.5,10.8,18.9,1.6,2.3,12.4,30.2,,92.0,37.8,129.8,.219,,4.8,0.4,5.2,51.4
1089,John Duren,durenjo01,Career,,,NBA,,201,2947,6.9,.461,.034,.137,2.1,6.3,4.2,17.2,1.6,0.2,21.0,13.3,,-1.4,0.5,-0.8,-0.014,,-3.8,-2.0,-5.8,-2.9
1091,Pat Durham,durhapa01,Career,,,NBA,,64,930,11.4,.522,.099,.412,5.5,8.5,7.0,10.6,2.1,2.7,14.4,17.6,,0.2,0.5,0.7,.037,,-2.6,-0.3,-2.8,-0.2
1092,Devin Durrant,durrade01,Career,,,NBA,,63,807,8.6,.464,.010,.359,6.7,10.7,8.7,14.4,1.2,0.7,19.2,20.6,,-0.9,0.7,-0.2,-0.012,,-4.1,-1.2,-5.3,-0.7
1096,Craig Dykema,dykemcr01,Career,,,NBA,,32,103,11.1,.525,.108,.243,3.3,9.4,6.4,20.2,0.9,0.0,14.6,19.2,,0.1,0.1,0.2,.095,,-2.0,-2.6,-4.6,-0.1
1098,Jerome Dyson,dysonje01,Career,,,NBA,,9,180,11.3,.525,.167,.750,1.3,11.1,6.3,16.2,3.3,0.9,23.9,22.0,,-0.1,0.2,0.1,.026,,-3.6,0.5,-3.1,-0.1
1099,Ledell Eackles,eacklle01,Career,,,NBA,,441,8917,13.8,.513,.100,.329,4.4,7.8,6.1,12.8,1.4,0.2,11.4,24.7,,5.6,5.2,10.8,.058,,-0.8,-2.7,-3.4,-3.2
1100,Jim Eakins,eakinji01,Career,,,TOT,,767,19023,16.5,.579,.001,.541,9.5,17.5,14.0,9.4,1.0,2.2,16.9,17.0,,38.1,19.3,57.5,.145,,0.8,0.8,1.5,8.7
1101,Acie Earl,earlac01,Career,,,NBA,,193,2512,10.6,.460,.010,.432,8.7,15.2,11.9,3.9,1.3,3.5,13.8,21.6,,-1.8,2.0,0.3,.005,,-5.4,-1.5,-6.9,-3.1
1103,Cleanthony Early,earlycl01,Career,,,NBA,,56,801,7.2,.435,.390,.205,3.6,14.1,8.8,8.5,1.7,1.5,15.0,18.7,,-1.1,0.5,-0.6,-0.039,,-4.4,-1.3,-5.7,-0.8
1105,Mark Eaton,eatonma01,Career,,,NBA,,875,25169,10.9,.496,.000,.365,8.4,21.1,15.0,4.3,0.7,6.9,19.8,10.7,,-3.2,48.0,44.8,.085,,-3.7,5.2,1.5,22.4
1106,Jerry Eaves,eavesje01,Career,,,NBA,,168,2685,11.8,.538,.016,.439,2.6,5.3,4.0,20.6,1.4,0.2,19.3,19.1,,1.2,1.4,2.6,.046,,-2.1,-2.7,-4.8,-1.9
1107,Devin Ebanks,ebankde01,Career,,,NBA,,63,711,9.6,.458,.169,.338,8.3,10.7,9.6,5.2,1.3,1.2,12.5,17.8,,-0.1,0.6,0.5,.035,,-3.5,-1.2,-4.7,-0.5
1110,Ndudi Ebi,ebind01,Career,,,NBA,,19,86,14.6,.491,.029,.371,11.1,14.0,12.6,8.1,0.6,4.2,12.8,25.4,,0.0,0.1,0.1,.051,,-3.5,-1.9,-5.4,-0.1
1111,Roy Ebron,ebronro01,Career,,,ABA,,40,529,18.7,.502,.005,.398,16.2,18.3,17.3,5.2,1.5,3.4,12.4,22.3,,0.7,0.6,1.3,.118,,-0.5,-1.4,-1.9,0.0
1112,Jarell Eddie,eddieja01,Career,,,NBA,,34,218,10.1,.465,.756,.198,1.5,14.6,7.9,3.4,1.6,0.4,2.1,19.0,,0.0,0.2,0.2,.041,,-1.9,-3.7,-5.6,-0.2
1113,Patrick Eddie,eddiepa01,Career,,,NBA,,4,13,-8.8,.222,.000,.000,0.0,8.7,4.4,0.0,0.0,0.0,0.0,30.2,,-0.1,0.0,-0.1,-0.267,,-16.8,-8.1,-24.9,-0.1
1115,Kenton Edelin,edelike01,Career,,,NBA,,10,143,3.3,.333,.000,.615,5.9,13.4,9.6,8.2,1.6,1.6,15.4,5.4,,0.0,0.2,0.1,.042,,-4.5,2.4,-2.1,0.0
1116,Charles Edge,edgech01,Career,,,ABA,,155,3090,16.3,.527,.004,.293,13.2,19.0,16.1,4.9,1.8,1.9,15.7,17.3,,3.5,2.9,6.5,.101,,-0.7,-0.1,-0.8,0.9
1118,Keith Edmonson,edmonke01,Career,,,NBA,,87,931,12.6,.495,.004,.333,7.6,6.9,7.2,8.4,1.8,0.8,13.3,25.8,,-0.1,0.5,0.4,.022,,-2.1,-2.5,-4.6,-0.6
1119,Tyus Edney,edneyty01,Career,,,NBA,,226,4743,13.6,.505,.140,.429,2.9,6.7,4.8,30.6,2.4,0.1,18.8,19.6,,3.7,3.1,6.8,.068,,-0.8,-1.9,-2.7,-0.9
1120,Bill Edwards,edwarbi01,Career,,,NBA,,3,44,-0.4,.149,.278,.278,12.4,22.5,17.5,12.3,3.4,1.4,16.5,23.9,,-0.3,0.1,-0.3,-0.282,,-11.0,0.6,-10.4,-0.1
1121,Blue Edwards,edwarbl01,Career,,,NBA,,704,18409,12.8,.537,.143,.250,4.4,10.5,7.5,12.5,2.0,1.1,14.4,19.8,,9.4,14.8,24.2,.063,,-0.7,0.0,-0.8,5.7
1122,Corsley Edwards,edwarco01,Career,,,NBA,,10,110,8.6,.372,.000,.387,12.4,14.6,13.5,4.6,1.5,2.9,5.2,16.2,,0.0,0.1,0.1,.026,,-5.1,-0.2,-5.2,-0.1
1123,Doug Edwards,edwardo01,Career,,,NBA,,85,838,8.4,.449,.032,.457,8.2,13.1,10.6,11.2,1.1,2.4,20.2,15.2,,-0.6,0.8,0.2,.013,,-5.4,0.8,-4.6,-0.6
1124,Franklin Edwards,edwarfr01,Career,,,NBA,,296,4436,12.6,.494,.020,.249,2.0,5.4,3.7,24.5,2.6,0.3,17.9,20.2,,0.4,3.5,3.9,.043,,-2.0,-1.9,-3.9,-2.1
1125,James Edwards,edwarja01,Career,,,NBA,,1168,28356,14.7,.539,.002,.398,6.9,16.3,11.6,7.8,0.7,1.7,12.3,22.6,,32.0,27.7,59.7,.101,,-1.0,-1.0,-2.0,0.3
1126,Jay Edwards,edwarja02,Career,,,NBA,,4,26,7.8,.421,.286,.429,4.5,4.3,4.4,21.3,1.9,0.0,10.7,15.0,,0.0,0.0,0.0,.022,,-2.3,-2.7,-5.1,0.0
1127,John Edwards,edwarjo01,Career,,,NBA,,65,435,6.0,.471,.000,.266,7.1,11.5,9.2,3.0,0.7,3.3,16.0,13.3,,-0.2,0.2,0.1,.007,,-5.3,-0.9,-6.2,-0.5
1128,Kevin Edwards,edwarke01,Career,,,NBA,,604,15332,12.7,.480,.084,.223,3.6,8.4,6.0,16.7,2.7,0.8,14.2,21.8,,-1.7,14.3,12.5,.039,,-1.6,0.0,-1.6,1.6
1129,Shane Edwards,edwarsh01,Career,,,NBA,,2,12,-1.0,.333,.000,.000,9.1,9.6,9.3,0.0,0.0,0.0,25.0,14.9,,0.0,0.0,0.0,-0.141,,-10.5,-4.7,-15.2,0.0
1133,Craig Ehlo,ehlocr01,Career,,,NBA,,873,21071,13.4,.523,.256,.202,5.4,11.5,8.5,17.0,2.4,0.7,14.6,17.3,,15.7,25.5,41.2,.094,,0.3,0.9,1.2,16.8
1135,Howard Eisley,eisleho01,Career,,,NBA,,786,16013,11.5,.505,.319,.219,1.6,8.1,4.9,27.3,1.8,0.4,18.8,18.0,,8.4,11.1,19.5,.058,,-0.6,-1.6,-2.2,-1.0
1136,Obinna Ekezie,ekeziob01,Career,,,NBA,,143,1516,11.2,.510,.003,.641,11.0,18.8,14.8,3.3,1.3,1.3,16.0,17.6,,0.8,0.9,1.7,.054,,-3.7,-2.4,-6.1,-1.5
1137,Khalid El-Amin,elamikh01,Career,,,NBA,,50,936,12.2,.458,.270,.232,2.6,7.9,5.1,27.5,2.8,0.2,13.6,19.7,,0.2,0.4,0.6,.030,,-1.0,-2.7,-3.8,-0.4
1139,Mario Elie,eliema01,Career,,,NBA,,732,18654,13.1,.598,.350,.377,3.2,8.8,6.1,14.9,1.8,0.5,15.5,14.7,,30.7,18.2,48.9,.126,,0.8,0.1,0.9,13.7
1141,Henry Ellenson,ellenhe01,Career,,,NBA,,52,375,8.3,.436,.449,.144,4.8,25.0,14.6,9.7,0.5,0.2,13.2,24.1,,-0.7,0.4,-0.3,-0.038,,-5.5,-2.3,-7.9,-0.6
1142,Wayne Ellington,ellinwa01,Career,,,NBA,,587,12298,11.0,.530,.510,.118,1.8,10.3,5.9,8.1,1.2,0.3,8.3,17.3,,9.2,5.5,14.6,.057,,-0.3,-2.0,-2.3,-1.0
1143,Bob Elliott,elliobo01,Career,,,NBA,,141,2324,12.3,.544,.008,.569,8.6,14.9,11.7,12.2,1.3,0.8,20.6,19.0,,0.8,2.3,3.0,.063,,-1.8,-0.4,-2.1,-0.1
1144,Sean Elliott,elliose01,Career,,,NBA,,742,24502,13.9,.553,.190,.340,3.9,10.6,7.3,12.0,1.2,0.8,12.2,19.5,,31.4,24.2,55.7,.109,,0.6,0.0,0.6,16.1
1145,Bo Ellis,ellisbo02,Career,,,NBA,,168,1984,10.2,.484,.005,.352,9.6,15.3,12.5,7.4,1.6,2.2,18.6,15.1,,0.4,2.1,2.5,.060,,-2.7,0.3,-2.4,-0.2
1147,Dale Ellis,ellisda01,Career,,,NBA,,1209,34778,16.0,.567,.279,.220,5.0,8.8,6.9,8.1,1.4,0.3,9.6,22.6,,66.1,18.6,84.7,.117,,2.6,-2.2,0.3,20.5
1148,Harold Ellis,ellisha01,Career,,,NBA,,145,1923,16.4,.570,.035,.556,10.1,6.8,8.5,7.6,4.1,0.7,13.1,18.9,,2.9,1.7,4.6,.114,,0.6,0.1,0.7,1.3
1150,LaPhonso Ellis,ellisla01,Career,,,NBA,,624,17616,14.6,.512,.124,.295,8.4,17.4,12.9,9.6,1.3,1.8,12.1,20.7,,14.6,18.2,32.8,.089,,-0.5,0.1,-0.4,7.1
1151,LeRon Ellis,ellisle02,Career,,,NBA,,91,857,11.9,.470,.000,.366,11.5,16.8,14.2,4.7,1.4,2.7,10.6,16.5,,0.3,0.9,1.2,.069,,-3.0,-0.2,-3.2,-0.3
1153,Monta Ellis,ellismo01,Career,,,NBA,,833,29011,16.0,.523,.185,.273,1.9,9.1,5.5,21.6,2.4,0.8,13.6,24.9,,19.9,22.1,41.9,.069,,0.3,-0.7,-0.3,12.3
1154,Pervis Ellison,ellispe01,Career,,,NBA,,474,11593,15.2,.546,.006,.341,10.3,20.5,15.3,9.0,1.3,4.1,16.2,18.0,,7.9,13.9,21.8,.090,,-1.4,1.9,0.5,7.4
1155,Len Elmore,elmorle01,Career,,,TOT,,658,12389,11.5,.450,.001,.241,9.0,19.0,13.9,6.4,2.1,3.0,15.1,16.1,,-2.2,21.0,18.9,.073,,-3.3,2.3,-1.0,3.1
1156,Francisco Elson,elsonfr01,Career,,,NBA,,472,7207,10.0,.511,.011,.257,8.1,18.5,13.3,5.4,1.6,2.7,17.4,12.9,,1.0,10.7,11.7,.078,,-3.5,2.0,-1.6,0.8
1157,Darrell Elston,elstoda01,Career,,,TOT,,77,1909,8.7,.441,.029,.199,2.6,6.7,4.6,15.5,2.1,0.3,15.9,17.1,,-1.2,0.9,-0.3,-0.008,,-3.0,-0.6,-3.6,-0.8
1158,Melvin Ely,elyme01,Career,,,NBA,,375,6005,10.6,.497,.002,.401,8.3,15.2,11.7,7.1,0.9,2.6,16.4,17.9,,-0.6,4.6,4.0,.032,,-3.6,0.0,-3.6,-2.4
1159,Joel Embiid,embiijo01,Career,,,NBA,,94,2698,23.3,.576,.210,.479,8.4,28.6,18.8,17.6,1.2,5.6,16.3,34.2,,2.8,5.3,8.1,.144,,0.1,2.8,2.9,3.3
1161,Andre Emmett,emmetan01,Career,,,NBA,,14,73,8.5,.534,.077,1.000,3.1,9.8,6.4,2.2,1.5,1.1,13.8,13.8,,0.0,0.0,0.1,.040,,-4.8,-2.0,-6.8,-0.1
1163,Chris Engler,englech01,Career,,,NBA,,195,1405,7.2,.452,.000,.295,10.5,20.5,15.3,4.2,1.1,1.7,19.3,13.5,,-0.8,1.4,0.6,.020,,-5.2,-0.6,-5.8,-1.4
1164,Wayne Englestad,englewa01,Career,,,NBA,,11,50,12.4,.419,.000,.345,9.8,24.0,16.5,18.9,0.9,0.0,8.2,27.9,,0.0,0.1,0.0,.031,,-2.9,-2.2,-5.1,0.0
1165,A.J. English,engliaj01,Career,,,NBA,,151,3108,11.6,.480,.046,.235,4.9,6.2,5.5,15.7,0.9,0.5,11.5,23.9,,-0.3,1.4,1.1,.017,,-2.2,-2.9,-5.1,-2.4
1166,Alex English,englial01,Career,,,NBA,,1193,38063,19.9,.550,.004,.244,7.4,10.6,9.0,17.1,1.3,1.2,10.9,26.5,,77.6,23.1,100.7,.127,,3.0,-1.3,1.7,35.6
1168,Jo Jo English,englijo01,Career,,,NBA,,50,577,6.4,.462,.180,.202,2.4,8.5,5.5,11.6,1.6,1.6,19.2,18.4,,-0.7,0.7,0.0,-0.001,,-5.3,-0.7,-5.9,-0.6
1169,Kim English,engliki01,Career,,,NBA,,41,407,7.9,.477,.446,.259,2.2,8.4,5.2,9.8,2.1,0.6,13.2,16.1,,0.0,0.2,0.2,.021,,-2.5,-1.6,-4.2,-0.2
1170,Scott English,englisc01,Career,,,TOT,,105,1560,11.9,.452,.017,.203,9.3,17.7,13.1,8.8,1.7,0.7,15.0,18.2,,-0.4,1.2,0.9,.026,,-2.6,-0.3,-2.9,-0.3
1172,James Ennis,ennisja01,Career,,,NBA,,215,4414,11.8,.581,.414,.338,5.5,12.8,9.1,7.0,1.5,1.2,12.5,14.1,,5.4,3.8,9.1,.099,,-0.5,0.0,-0.5,1.7
1173,Tyler Ennis,ennisty01,Career,,,NBA,,180,2183,9.9,.480,.277,.122,2.1,9.3,5.7,22.6,2.0,0.6,17.5,18.0,,-0.6,1.6,1.0,.021,,-3.1,-1.8,-4.9,-1.6
1175,Semih Erden,erdense01,Career,,,NBA,,69,928,10.1,.571,.000,.546,7.5,16.8,12.2,4.9,1.4,2.4,17.9,14.0,,0.5,1.3,1.8,.094,,-3.3,1.3,-2.0,0.0
1178,Julius Erving,ervinju01,Career,,,TOT,,1243,45227,23.6,.558,.019,.345,8.6,15.0,11.9,17.7,2.5,2.6,13.5,27.2,,107.3,73.8,181.1,.192,,4.0,2.1,6.2,79.9
1179,Evan Eschmeyer,eschmev01,Career,,,NBA,,153,2138,10.6,.507,.000,.496,11.4,20.6,15.9,5.4,1.7,3.3,18.8,10.8,,1.5,2.5,4.0,.090,,-2.9,1.8,-1.1,0.5
1181,Vincenzo Esposito,esposvi01,Career,,,NBA,,30,282,5.2,.495,.560,.390,1.7,5.1,3.4,12.5,1.3,0.0,25.0,24.4,,-0.6,0.0,-0.6,-0.106,,-5.0,-5.5,-10.5,-0.6
1184,Brian Evans,evansbr01,Career,,,NBA,,102,1097,11.8,.463,.286,.161,5.7,11.9,8.7,11.8,1.7,1.2,9.4,18.3,,0.8,1.0,1.7,.076,,-1.2,-1.0,-2.2,-0.1
1185,Earl Evans,evansea01,Career,,,NBA,,36,381,10.3,.495,.129,.300,7.1,13.6,10.3,12.9,1.6,0.1,18.5,19.6,,-0.1,0.2,0.1,.015,,-2.2,-2.1,-4.3,-0.2
1186,Jawun Evans,evansja01,Career,,,NBA,,48,778,7.2,.421,.213,.194,1.3,10.4,5.9,17.8,2.2,0.6,13.8,17.7,,-0.8,0.7,-0.1,-0.008,,-4.3,-0.4,-4.7,-0.5
1187,Jeremy Evans,evansje01,Career,,,NBA,,249,2621,17.4,.599,.041,.330,10.3,18.1,14.1,6.6,1.8,3.7,10.3,14.2,,5.5,2.7,8.2,.150,,-0.1,1.2,1.1,2.0
1188,Maurice Evans,evansma01,Career,,,NBA,,562,10918,11.9,.537,.363,.183,6.0,8.7,7.4,6.0,1.4,0.6,7.4,15.8,,14.1,7.6,21.7,.096,,0.1,-1.3,-1.2,2.2
1189,Mike Evans,evansmi01,Career,,,NBA,,591,9858,12.0,.514,.185,.192,1.9,6.9,4.3,19.7,2.0,0.3,15.7,20.2,,3.0,6.3,9.3,.045,,-1.1,-2.4,-3.5,-3.7
1190,Reggie Evans,evansre01,Career,,,NBA,,809,15572,11.7,.502,.005,.856,15.0,28.7,21.9,4.3,1.9,0.6,21.5,12.1,,6.6,20.5,27.1,.084,,-2.7,0.7,-2.0,0.0
1191,Tyreke Evans,evansty01,Career,,,NBA,,525,16840,17.6,.520,.182,.308,3.1,14.1,8.5,27.1,2.1,0.9,14.2,25.6,,16.6,11.6,28.2,.080,,1.4,-0.2,1.1,13.3
1192,Daniel Ewing,ewingda01,Career,,,NBA,,127,1683,8.3,.473,.293,.219,2.3,8.6,5.5,16.0,2.2,0.5,19.0,15.5,,-1.0,1.8,0.8,.024,,-3.2,-0.5,-3.7,-0.7
1193,Patrick Ewing,ewingpa01,Career,,,NBA,,1183,40594,21.0,.553,.006,.379,7.9,24.7,16.4,9.8,1.4,4.8,13.6,28.0,,45.0,81.4,126.4,.150,,-0.5,2.5,2.0,40.9
1194,Patrick Ewing,ewingpa02,Career,,,NBA,,7,19,0.6,.222,.400,.800,6.4,6.4,6.4,14.2,0.0,4.4,12.9,19.5,,-0.1,0.0,-0.1,-0.158,,-8.7,-0.6,-9.3,0.0
1195,Dante Exum,exumda01,Career,,,NBA,,157,3178,7.5,.501,.510,.151,2.2,7.9,5.1,16.3,1.1,0.7,19.1,15.9,,-0.7,2.5,1.8,.027,,-2.1,-1.0,-3.0,-0.8
1196,Christian Eyenga,eyengch01,Career,,,NBA,,51,1049,8.6,.461,.284,.109,3.3,11.9,7.5,6.4,1.8,2.4,12.6,17.1,,-1.0,0.6,-0.4,-0.020,,-3.9,0.0,-4.0,-0.5
1197,Festus Ezeli,ezelife01,Career,,,NBA,,170,2394,13.4,.536,.000,.543,13.8,18.9,16.5,3.7,1.0,5.3,16.7,14.6,,2.2,3.8,5.9,.119,,-3.0,1.9,-1.1,0.6
1202,Kenneth Faried,farieke01,Career,,,NBA,,441,11000,19.6,.573,.005,.398,13.8,22.8,18.3,6.6,1.5,2.6,11.9,19.6,,23.4,12.4,35.9,.157,,0.6,0.7,1.3,9.1
1204,Jordan Farmar,farmajo01,Career,,,NBA,,504,9840,13.3,.528,.452,.151,1.9,9.2,5.5,23.6,2.0,0.4,15.9,20.0,,5.9,8.0,13.9,.068,,0.3,-1.6,-1.4,1.6
1205,Desmon Farmer,farmede01,Career,,,NBA,,11,86,6.0,.429,.690,.103,0.0,9.6,4.9,20.5,0.6,0.0,14.2,19.3,,-0.1,0.1,0.0,-0.017,,-3.4,-4.3,-7.6,-0.1
1206,Jim Farmer,farmeji01,Career,,,NBA,,136,1454,10.9,.490,.121,.305,5.6,8.1,6.8,10.9,1.4,0.2,13.9,23.1,,-0.1,0.8,0.7,.024,,-2.3,-2.7,-5.0,-1.1
1208,Tony Farmer,farmeto01,Career,,,NBA,,101,1368,15.5,.533,.145,.833,10.0,15.9,12.7,8.9,2.8,1.0,15.4,18.4,,2.0,1.2,3.2,.114,,-0.7,-0.1,-0.8,0.4
1210,Vitor Faverani,favervi01,Career,,,NBA,,37,488,11.0,.502,.272,.252,9.5,20.6,14.9,5.2,1.5,4.3,20.1,18.6,,-0.3,0.7,0.3,.031,,-4.2,1.1,-3.1,-0.1
1211,Derrick Favors,favorde01,Career,,,NBA,,551,14363,18.6,.551,.016,.365,10.9,21.0,15.9,7.4,1.6,3.9,12.3,20.9,,20.7,20.3,41.0,.137,,-0.6,1.7,1.1,11.1
1212,Nick Fazekas,fazekni01,Career,,,NBA,,26,269,19.6,.584,.024,.268,14.5,23.7,19.1,7.5,1.6,3.1,12.4,18.0,,0.5,0.4,0.8,.148,,-0.8,0.6,-0.1,0.1
1216,Jamie Feick,feickja01,Career,,,NBA,,201,4316,12.4,.472,.036,.378,13.1,25.1,18.9,5.0,1.4,1.5,13.6,11.7,,3.5,4.7,8.2,.091,,-2.3,0.7,-1.7,0.4
1219,Dave Feitl,feitlda01,Career,,,NBA,,275,3001,9.8,.482,.008,.306,8.6,21.4,14.9,5.8,0.7,0.9,15.9,19.8,,-1.4,2.8,1.4,.022,,-4.9,-1.8,-6.7,-3.5
1220,Kay Felder,feldeka01,Career,,,NBA,,57,523,9.1,.437,.181,.270,1.1,10.5,5.9,22.6,2.0,1.2,15.4,25.3,,-0.9,0.4,-0.5,-0.043,,-5.8,-1.8,-7.6,-0.7
1221,Cristiano Felicio,feliccr01,Career,,,NBA,,147,2192,14.5,.607,.011,.405,10.9,18.9,14.8,7.7,0.9,1.5,14.0,13.0,,3.9,2.2,6.1,.133,,-1.3,0.4,-0.9,0.6
1222,Carrick Felix,felixca01,Career,,,NBA,,7,38,13.3,.603,.357,.286,2.9,15.1,8.9,18.2,0.0,0.0,20.2,23.2,,0.0,0.0,0.0,.057,,-1.1,-3.5,-4.7,0.0
1223,Noel Felix,felixno01,Career,,,NBA,,12,82,-1.1,.316,.120,.320,4.4,14.9,9.6,3.5,1.3,2.8,21.9,20.0,,-0.3,0.0,-0.3,-0.197,,-10.4,-2.2,-12.5,-0.2
1225,Raymond Felton,feltora01,Career,,,NBA,,934,28397,13.9,.497,.279,.220,2.2,9.4,5.8,29.0,2.1,0.6,15.6,20.5,,16.1,23.5,39.6,.067,,0.1,-0.6,-0.6,10.2
1228,Desmond Ferguson,fergude01,Career,,,NBA,,7,32,11.3,.505,.667,.167,0.0,14.7,7.4,5.5,0.0,0.0,7.2,20.5,,0.0,0.0,0.0,.021,,-1.3,-5.8,-7.1,0.0
1229,Terrance Ferguson,fergute01,Career,,,NBA,,59,728,7.0,.532,.692,.063,2.8,3.9,3.4,3.2,1.6,1.2,6.3,10.3,,0.5,0.5,1.1,.070,,-1.5,-1.3,-2.8,-0.1
1230,Rudy Fernandez,fernaru01,Career,,,NBA,,249,5965,14.0,.552,.619,.232,2.6,10.0,6.3,14.6,2.3,0.5,12.3,18.3,,8.5,5.7,14.2,.114,,2.2,-0.4,1.8,5.7
1231,Eric Fernsten,fernser01,Career,,,NBA,,218,1643,11.7,.498,.000,.447,9.8,15.5,12.6,6.8,1.5,1.8,15.3,14.4,,1.0,2.4,3.3,.098,,-2.4,0.7,-1.7,0.1
1233,Rolando Ferreira,ferrero01,Career,,,NBA,,12,34,-7.6,.209,.000,.444,12.4,29.7,20.8,3.3,0.0,1.7,21.8,31.2,,-0.3,0.0,-0.2,-0.352,,-18.8,-5.2,-24.0,-0.2
1234,Duane Ferrell,ferredu01,Career,,,NBA,,583,8734,12.9,.538,.049,.370,7.0,7.6,7.3,9.0,1.8,0.8,12.9,19.3,,9.0,6.6,15.7,.086,,-0.9,-0.9,-1.8,0.3
1235,Yogi Ferrell,ferreyo01,Career,,,NBA,,123,3399,11.9,.538,.472,.172,1.5,10.6,5.9,16.5,1.6,0.4,11.0,17.8,,2.1,2.5,4.7,.066,,-0.4,-0.5,-0.9,0.9
1238,Danny Ferry,ferryda01,Career,,,NBA,,917,18133,11.8,.536,.307,.159,4.3,12.5,8.4,10.9,1.1,1.2,11.9,17.6,,15.7,19.0,34.8,.092,,-0.5,-0.4,-0.9,5.0
1239,Kyrylo Fesenko,fesenky01,Career,,,NBA,,135,1107,8.5,.490,.008,.532,10.6,18.5,14.5,5.3,0.9,3.8,17.5,15.4,,-0.4,1.3,0.9,.038,,-4.4,0.4,-4.0,-0.6
1241,Kenny Fields,fieldke01,Career,,,NBA,,184,2692,11.7,.516,.016,.295,7.1,12.1,9.5,9.9,1.7,0.8,14.1,19.2,,1.2,3.0,4.2,.074,,-1.8,-0.3,-2.1,-0.1
1242,Landry Fields,fieldla01,Career,,,NBA,,255,6010,12.1,.539,.250,.252,4.7,16.4,10.5,10.8,1.8,0.6,14.4,14.0,,4.7,5.8,10.5,.084,,-0.8,0.7,-0.1,2.8
1245,Larry Finch,finchla01,Career,,,ABA,,128,3042,9.7,.498,.080,.271,2.2,5.1,3.7,13.6,1.2,0.1,14.3,17.6,,1.4,0.2,1.7,.026,,-1.9,-2.2,-4.1,-1.6
1247,Michael Finley,finlemi01,Career,,,NBA,,1103,37996,16.0,.527,.257,.201,3.3,10.9,7.2,14.5,1.4,0.6,9.0,21.7,,56.9,28.3,85.2,.108,,1.7,-0.7,1.0,29.2
1249,Dorian Finney-Smith,finnedo01,Career,,,NBA,,98,1951,7.4,.484,.585,.179,3.8,12.6,8.0,6.2,1.6,1.3,12.2,11.9,,-0.3,1.8,1.5,.036,,-2.9,1.1,-1.8,0.1
1250,Matt Fish,fishma01,Career,,,NBA,,50,512,11.9,.531,.007,.394,9.4,16.2,12.6,7.9,1.9,2.0,16.5,17.1,,0.1,0.5,0.6,.058,,-3.1,0.0,-3.1,-0.1
1251,Derek Fisher,fishede01,Career,,,NBA,,1287,32719,11.7,.514,.358,.266,1.4,7.6,4.6,17.4,2.1,0.2,12.4,16.2,,32.0,30.2,62.3,.091,,-0.2,-0.7,-0.9,9.3
1253,Gerald Fitch,fitchge01,Career,,,NBA,,18,239,10.2,.424,.292,.258,3.6,10.9,7.4,21.5,1.5,1.6,13.1,22.0,,-0.1,0.3,0.1,.026,,-2.8,-0.8,-3.6,-0.1
1256,Marcus Fizer,fizerma01,Career,,,NBA,,289,6032,13.4,.481,.043,.317,7.0,18.9,12.8,11.0,1.2,1.0,12.9,25.1,,-1.3,4.0,2.7,.022,,-2.8,-1.8,-4.7,-4.1
1260,Vern Fleming,flemive01,Career,,,NBA,,893,24721,15.1,.550,.026,.355,4.5,9.0,6.8,25.2,1.8,0.3,16.3,18.7,,33.2,18.8,52.0,.101,,0.8,-0.5,0.3,14.3
1261,Luis Flores,florelu01,Career,,,NBA,,16,77,10.1,.586,.345,.069,1.5,3.0,2.2,24.5,1.3,0.0,26.9,23.5,,-0.1,0.0,0.0,-0.020,,-3.7,-5.8,-9.6,-0.1
1262,Bruce Flowers,flowebr01,Career,,,NBA,,53,699,15.2,.569,.010,.257,11.3,18.2,14.7,10.1,1.3,1.0,15.8,16.4,,1.1,0.6,1.7,.119,,0.0,0.1,0.1,0.4
1263,Sleepy Floyd,floydsl01,Career,,,NBA,,957,26383,15.5,.531,.160,.349,2.5,7.8,5.1,27.7,2.0,0.5,16.3,21.1,,29.9,20.7,50.6,.092,,0.8,-1.3,-0.5,10.1
1264,Jonny Flynn,flynnjo01,Career,,,NBA,,163,3738,11.3,.490,.253,.255,1.3,8.1,4.6,26.7,1.6,0.1,19.9,22.3,,-2.1,1.0,-1.1,-0.015,,-2.2,-2.7,-4.9,-2.7
