,Name,link,Year,blank,blank,League,blank,Games Played,TotalMin,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,blank,OWS,DWS,WS,WS/48,blank,OBPM,DBPM,BPM,VORP
35,Solomon Alabi,alabiso01,Career,,,NBA,,26,181,10.3,.352,.000,.196,14.3,25.2,19.8,4.2,1.2,4.9,12.6,16.3,,-0.2,0.3,0.0,.010,,-6.4,1.0,-5.4,-0.2
36,Mark Alarie,alarima01,Career,,,NBA,,325,5500,13.0,.514,.062,.191,8.4,13.8,11.0,9.3,1.1,1.1,11.5,19.6,,3.9,4.5,8.4,.073,,-1.2,-1.1,-2.2,-0.3
38,Furkan Aldemir,aldemfu01,Career,,,NBA,,41,540,12.0,.517,.064,.346,14.9,20.7,17.7,8.3,1.6,2.4,15.9,8.6,,0.7,0.7,1.4,.122,,-2.7,2.0,-0.7,0.2
39,Cole Aldrich,aldrico01,Career,,,NBA,,337,3386,16.6,.563,.000,.296,11.2,27.0,19.0,8.6,2.1,5.6,17.6,15.2,,3.8,5.8,9.5,.135,,-2.3,3.4,1.0,2.6
40,LaMarcus Aldridge,aldrila01,Career,,,NBA,,864,29903,20.7,.538,.027,.272,9.0,18.8,13.9,10.2,1.1,2.4,8.0,26.0,,60.3,36.6,96.9,.156,,0.9,0.5,1.4,25.6
41,Chuck Aleksinas,aleksch01,Career,,,NBA,,74,1114,9.1,.509,.003,.223,8.1,20.1,13.6,4.4,0.6,0.8,16.3,15.6,,0.1,0.4,0.4,.019,,-3.9,-2.0,-5.9,-1.1
42,Cliff Alexander,alexacl01,Career,,,NBA,,8,36,11.6,.500,.000,.000,6.0,12.1,9.0,0.0,1.4,4.4,9.1,13.3,,0.0,0.0,0.0,.052,,-5.7,-1.3,-7.0,0.0
43,Cory Alexander,alexaco01,Career,,,NBA,,307,4847,12.4,.504,.444,.233,1.8,9.8,5.7,28.6,2.9,0.6,21.9,20.1,,-0.3,3.3,3.0,.030,,-0.7,-1.4,-2.2,-0.2
44,Courtney Alexander,alexaco02,Career,,,NBA,,187,4067,11.5,.487,.078,.269,3.5,8.2,5.8,9.7,1.4,0.3,10.5,21.7,,2.0,2.1,4.1,.048,,-1.9,-2.1,-4.0,-2.1
45,Gary Alexander,alexaga01,Career,,,NBA,,11,55,8.6,.529,.000,.643,14.7,16.8,15.8,5.4,2.9,0.0,30.8,21.0,,-0.1,0.1,0.0,-0.032,,-5.1,-0.7,-5.8,-0.1
46,Joe Alexander,alexajo01,Career,,,NBA,,67,745,9.9,.488,.187,.343,7.0,12.2,9.5,9.5,1.1,3.3,15.3,20.5,,-0.3,0.8,0.5,.030,,-3.5,0.2,-3.3,-0.2
47,Victor Alexander,alexavi01,Career,,,NBA,,286,5755,13.7,.541,.030,.239,8.6,17.9,13.3,6.7,1.1,1.9,13.9,19.5,,3.9,4.9,8.8,.073,,-1.9,-0.8,-2.6,-0.9
48,Steve Alford,alforst01,Career,,,NBA,,169,1641,14.4,.533,.170,.230,1.7,7.6,4.7,15.4,2.5,0.4,11.3,19.6,,1.8,1.4,3.2,.093,,-0.7,-1.7,-2.4,-0.2
51,Jarrett Allen,allenja01,Career,,,NBA,,67,1322,17.7,.633,.037,.372,11.0,17.9,14.4,5.7,1.0,4.1,15.0,16.8,,2.5,1.3,3.9,.141,,-1.0,1.2,0.2,0.7
52,Jerome Allen,allenje01,Career,,,NBA,,117,1305,8.5,.450,.387,.331,2.7,8.3,5.6,24.0,2.1,0.5,21.6,16.5,,-0.9,1.0,0.2,.006,,-2.9,-1.3,-4.2,-0.7
53,Kadeem Allen,allenka01,Career,,,NBA,,12,39,-1.9,.322,.500,.667,2.9,8.3,5.6,10.0,1.3,0.0,34.0,13.5,,-0.1,0.0,-0.1,-0.100,,-9.0,0.0,-9.0,-0.1
54,Lavoy Allen,allenla01,Career,,,NBA,,388,6905,12.5,.491,.009,.158,11.4,18.2,14.8,8.4,0.9,2.5,12.0,13.9,,5.7,8.1,13.8,.096,,-2.4,1.2,-1.2,1.3
56,Malik Allen,allenma01,Career,,,NBA,,478,7262,9.9,.465,.007,.137,7.4,14.3,10.8,5.3,0.9,2.4,11.3,17.9,,-1.6,8.2,6.6,.044,,-4.2,0.1,-4.0,-3.8
57,Randy Allen,allenra01,Career,,,NBA,,70,789,8.3,.454,.031,.174,7.4,13.3,10.4,4.2,1.1,1.5,9.7,16.8,,-0.4,0.6,0.2,.011,,-4.7,-1.5,-6.2,-0.8
58,Ray Allen,allenra02,Career,,,NBA,,1300,46344,18.6,.580,.392,.260,3.2,10.3,6.8,16.5,1.7,0.4,11.4,23.8,,111.7,33.4,145.1,.150,,4.2,-1.3,3.0,58.1
59,Tony Allen,allento01,Career,,,NBA,,820,18055,14.2,.529,.082,.350,6.6,12.1,9.4,9.6,3.4,1.5,15.1,18.7,,9.1,29.6,38.7,.103,,-1.1,2.1,1.0,13.7
62,Lance Allred,allrela01,Career,,,NBA,,3,10,-1.0,.307,.000,.500,0.0,11.8,5.7,0.0,0.0,0.0,0.0,22.1,,0.0,0.0,0.0,-0.125,,-12.6,-7.1,-19.7,0.0
63,Darrell Allums,allumda01,Career,,,NBA,,22,276,5.3,.385,.015,.328,7.6,19.7,13.4,12.5,0.9,1.7,23.1,15.1,,-0.5,0.2,-0.3,-0.054,,-5.9,0.4,-5.6,-0.2
64,Morris Almond,almonmo01,Career,,,NBA,,38,361,7.0,.463,.212,.310,3.3,11.8,7.5,4.9,1.7,0.9,12.9,18.3,,-0.3,0.3,0.0,.005,,-4.8,-1.6,-6.4,-0.4
65,Derrick Alston,alstode01,Career,,,NBA,,139,2657,11.7,.499,.011,.360,9.8,13.2,11.5,5.9,1.9,2.4,12.9,14.6,,0.8,1.8,2.6,.047,,-2.6,0.4,-2.1,-0.1
66,Rafer Alston,alstora01,Career,,,NBA,,671,19392,13.2,.490,.440,.194,1.5,9.7,5.6,27.4,2.2,0.4,14.7,19.4,,10.3,22.6,32.9,.081,,0.4,-0.2,0.2,10.9
67,Peter Aluma,alumape01,Career,,,NBA,,2,5,3.1,.500,.000,.000,21.2,21.0,21.1,0.0,10.0,12.7,50.0,34.1,,0.0,0.0,0.0,-0.206,,-15.2,8.2,-7.1,0.0
68,John Amaechi,amaecjo01,Career,,,NBA,,294,4811,8.9,.464,.008,.462,5.5,12.9,9.2,7.6,1.0,1.5,16.3,21.6,,-3.8,4.2,0.5,.005,,-4.9,-1.2,-6.1,-5.0
69,Ashraf Amaya,amayaas01,Career,,,NBA,,85,1248,11.5,.512,.007,.606,12.2,21.5,16.7,4.8,1.2,0.8,15.3,15.9,,0.5,1.4,1.9,.071,,-3.8,-0.6,-4.4,-0.7
